sentence number,sentence,value (0/1)
22,"Il Programma per il contrasto, la prevenzione e la riduzione del rischio del Gioco d’Azzardo Patologico (GAP) si sviluppa su più obbiettivi e prevede, pertanto, il coinvolgimento di molte Direzioni Generali di Regione Lombardia, il coordinamento con gli Enti Locali, titolari di molti aspetti previsti dalla legge regionale 21 Ottobre 2013, n. 8, il supporto offerto dal Terzo Settore e dalla società civile in generale (associazionismo, associazioni consumatori, associazioni di categoria, esercenti, scuole, ecc.).",,
23,Si sta istituendo un apposito Gruppo di AZIONE 1 Art.4 c.1 k),,
24,"Lavoro, in capo alla DG Presidenza, composto dalle Direzioni Generali competenti sulla materia, da associazioni di categoria, associazioni di impresa, ANCI, associazioni di volontariato che si occupano di contrasto al GAP, e rappresentanti delle ASL.",,
25,"Il gruppo di lavoro elabora le proposte e le priorità di intervento per l’anno 2014, che vengono di seguito declinate, suddivise in macroazioni, a cui corrispondono gli specifici adempimenti previsti, e il riferimento degli articoli di legge interessati.",,
26,"E’ evidente che molte aree di intervento sono contigue e spesso sinergiche rispetto alle misure previste dalla legge regionale, tali da richiedere sia un coordinamento centrale, sia un coordinamento territoriale.",,
27,"Un primo punto di rilievo è rappresentato, naturalmente, dalle attività di prevenzione.",,
28,"PREVENIRE IL RISCHIO DI DIPENDENZA DA GAP Le attività di prevenzione, condotte su diversi livelli, si collocano in larga misura all’interno del Piano d’Azione Regionale Dipendenze (d.g.r.",,
29,"4225/ 2012), dove già sono citate obbiettivi e linee di intervento specifiche, in riferimento anche alle “Linee guida regionali per la prevenzione delle diverse forme di dipendenza nella popolazione preadolescenziale e adolescenziale” (d.g.r.",,
30,6219/2007) e le “Linee guida regionali per la prevenzione delle diverse forme di dipendenza nella popolazione generale” (d.g.r.,,
31,"10158/ 2009), in cui viene posta una particolare attenzione alle fasce di popolazione più giovani e più deboli.",,
32,"Interventi di prevenzione “a tutto tondo” vengono sviluppate tramite il Programma “Life Skills Training”, attuato nelle Scuole Secondarie di primo grado, la cui strategia prevede un rinforzo delle competenze personali, tale da evitare, o almeno posporre, comportamenti di dipendenza.",,
33,1,,
34,–8–,,
35,Bollettino Ufficiale,,
36,Serie Ordinaria n. 6 - Venerdì 07 febbraio 2014,,
37,"Ai sensi della circolare regionale n. 1/ 2014 della D.G. Famiglia, Solidarietà sociale e Volontariato (DG Famiglia SSV), attuativa di quanto previsto dalla d.g.r.",,
38,"856/ 2013, le ASL presentano, entro il 31 Gennaio 2014, il Piano programma locale delle attività di prevenzione AZIONE 2",,
39,Art.4 c.1 a),,
40,"e informazione, in accordo tra ASL e Conferenza dei Sindaci.",,
41,"La dgr citata, oltre a dare indicazioni mirate, mette a disposizione 1 milione di euro per l’attuazione di questa misura.",,
42,"Il Piano programma locale si svilupperà attraverso interventi di prevenzione specifici, da realizzarsi in contesti scolastici, nel mondo del lavoro e presso gli ambiti di aggregazione e in collaborazione con l’Ente locale, centri di aggregazione giovanili, ecc. Il coordinamento complessivo di questa area avverrà tramite il Tavolo Tecnico Regionale della Prevenzione, coordinato dalla DG Famiglia SSV, già attivo da diversi anni sul tema della prevenzione di tutte le forme di dipendenza, in coerenza con le azioni previste all’interno del presente documento.",,
43,CONOSCERE E MONITORARE LE DIMENSIONI DEL FENOMENO Nei primi mesi del 2014 verrà istituito formalmente (ex d.g.r.,,
44,1185/ 2013) il Tavolo Tecnico,,
45,AZIONE 3 Art.4 c.1 c),,
46,"Regionale degli Osservatori locali sulle Dipendenze (TTRO), già attivo da alcuni anni, a supporto della DG Famiglia SSV.",,
47,"Compito del TTRO sarà quello di produrre uno specifico report sull’andamento del fenomeno dipendenze, con un particolare riguardo al GAP, dipendenza priva di sostanza , ma ugualmente devastante e in rapida evoluzione.",,
48,"Il Tavolo – presieduto dal DG Famiglia SSV ‐ risulta composto dai rappresentanti delle 15 ASL – Dipartimenti delle Dipendenze, da due funzionare regionali ‐e da un rappresentante di Eupolis, organismo al cui interno sono stati collocati tutti gli Osservatori Regionali, tra cui l’Osservatorio Regionale Dipendenze (OReD).",,
49,"Il TTRO avrà anche il mandato di individuare gli appositi “tracciati record” per poter adempiere, anche dal punto di vista informatico, alla predisposizione di un rapporto informativo.",,
50,La collaborazione con l’Osservatorio Nazionale del Dipartimento per le Politiche Antidroga,,
51,AZIONE4,,
52,Art.4 c.1 i),,
53,"della Presidenza del Consiglio dei Ministri – già in atto – consentirà un proficuo scambio di informazioni, anche al fine di una valutazione e di una comparazione dell’andamento del fenomeno su scala nazionale.",,
54,"INFORMARE SUL RISCHIO DI DIPENDENZA DA GAP La legge regionale prevede, nello specifico, di attuare opera di informazione sia sulla popolazione generale, sia su specifici settori quali, ad esempio, gli esercenti, gli operatori sociali, sociosanitari e sanitari, la polizia locale, le associazioni di consumatori, ecc. 2",,
55,Bollettino Ufficiale,,
56,–9– Serie Ordinaria n. 6 - Venerdì 07 febbraio 2014,,
57,"In generale diviene evidente come dovranno essere utilizzati “formati” diversi a seconda del settore di popolazione individuato, così come la comunicazione dovrà basarsi in larga misura sulla “persuasione morale”, oltre che su contenuti oggettivi e corretti, anche (ma non esclusivamente) dal punto di vista scientifico.",,
58,"Il primo passaggio relativo alle attività di informazione avverrà nel Gruppo di Lavoro regionale, al cui interno sono previsti anche i rappresentanti d’impresa , di associazioni che già operano per il contrasto al GAP, dell’ANCI , ecc., in modo da definire modalità di contatto e contenuti, che dovranno essere trasmessi in modo semplice, alla portata di tutti.",,
59,Il supporto operativo verrà garantito anche tramite le ASL: la già citata dgr 856/ 2013 e la relativa circolare 1/2014 prevede l’attuazione di: 1. interventi di sensibilizzazione rivolti alla generalità della popolazione AZIONE 5,,
60,Art.4 c.1 e),,
61,"2. attività informative rivolte a target selezionati relative ai trattamenti di cura esistenti 3. attività formative / informative rivolte a esercenti, associazioni di consumatori e utenti, polizia locale, sportelli welfare, operatori dei servizi.",,
62,"Le ASL, recepite le indicazioni regionali, collaboreranno con la rete locale e avranno il contributo degli Enti locali, Enti e associazioni, sia per la raccolta di materiale informativo già esistente, sia per definire le modalità di distribuzione.",,
63,"Per quanto riguarda, in particolare, gli operatori sociali, sociosanitari e sanitari la DG FSSV, in collaborazione con la DG Presidenza – Comunicazione e la DG IFL valuteranno il materiale più idoneo ad una distribuzione diffusa e di base.",,
64,"Entro il mese di Febbraio verrà approvato, da parte della DG Famiglia SSV, il calendario delle attività da sviluppare a livello regionale e delle specifiche attività da realizzare a livello territoriale.",,
65,"Particolare attenzione verrà data alla valorizzazione del ruolo dei Medici di Medicina generale e dei pediatri di libera scelta, anche attraverso specifiche modalità di coinvolgimento e formazione.",,
66,Per quanto attiene il dettato della l.r.,,
67,"8/ 2013 che prevede misure per la autoregolamentazione degli spazi pubblicitari tramite accordo con gli Enti del trasporto pubblico locale e regionale, si prevederà di poter ottenere spazi pubblicitari a costo",,
68,AZIONE 6,,
69,Art.4 c.9,,
70,calmierato in cui utilizzare il materiale informativo regionale.,,
71,Le DG coinvolte in questa azione sono la DG Infrastrutture e la DG Commercio TT.,,
72,Compito delle ASL – anche tramite i Dipartimenti delle Dipendenze – sarà la realizzazione e la 3,,
73,– 10 –,,
74,Bollettino Ufficiale,,
75,Serie Ordinaria n. 6 - Venerdì 07 febbraio 2014,,
76,AZIONE 7,,
77,Art.4 c.3,,
78,"distribuzione di materiale informativo sui rischi correlati al GAP e sulle possibilità di cura, da utilizzare nell’ambito sociosanitario, offrendo anche informazioni sui servizi di assistenza specialistica presenti sul territorio che saranno diffuse anche tramite il call center regionale 800.318.318 citato nella successiva azione 11..",,
79,Per quanto attiene l’informazione e la divulgazione agli esercenti che già hanno slot,,
80,AZIONE 8 Art.9 c.1,,
81,"machines, ma anche di altre categorie di commercianti, diviene fondamentale il rapporto collaborativo con le associazioni di categoria (anche in considerazione dell’evidente conflitto di interessi) in moda da definire un Patto / Programma di collaborazione in tal senso (DG Commercio TT), da attuare nella seconda parte dell’anno.",,
82,Un primo documento informativo dedicato alle Polizie Locali è già stato predisposto dalla DG Sicurezza PI e verrà successivamente integrato con le altre previsioni normative già definite o,,
83,AZIONE 9 Art.4 c.1 e),,
84,"in via di definizione(“Determinazione della distanza dai luoghi sensibili per la nuova collocazione di apparecchi per il gioco d’azzardo lecito” – “Regolamento per l’accesso alle aree dedicate all’installazione di apparecchi per il gioco d’azzardo lecito, e ai locali destinati a sale da gioco d’azzardo lecito”, ecc.)",,
85,"Non ultimo, va ricordata l’importanza di voler predisporre un marchio regionale “NO SLOT”.",,
86,AZIONE10,,
87,Art.4 c.2,,
88,Poter attuare campagne informative connotate da un identico logo regionale conferisce identità e forza agli interventi informativi / preventivi .,,
89,"Lo stesso marchio verrà utilizzato per rappresentare i gestori di locali che decidessero di rinunciare alle slot machines e, comunque, per ogni iniziativa regionale di contrasto al Gioco d’Azzardo Patologico.",,
90,Per un maggiore impatto delle azioni di contrasto si sta valutando la possibilità di definire un codice etico di autoregolamentazione per gli esercenti che hanno già i dispositivi per il gioco d’azzardo nei loro locali.,,
91,"Relativamente alla definizione del marchio “NO SLOT”, la previsione attuale è quella di attivare un concorso aperto a tutti.",,
92,"Si otterrebbe, in tal modo, una più ampia attenzione al tema in grado di ampliare la diffusione di messaggi e la conoscenza delle azioni attivate, con il relativo ritorno positivo sia in termini di comunicazione che di immagine regionale.",,
93,"Le DG interessate in questa azione sono la DG Presidenza – Comunicazione, la DG Territorio UD e la DG Istruzione FL.",,
94,SOSTENERE LE PERSONE CON UN PROBLEMA DI GAP E LE LORO FAMIGLIE 4,,
95,Bollettino Ufficiale,,
96,– 11 – Serie Ordinaria n. 6 - Venerdì 07 febbraio 2014,,
97,FACILITARE L’ACCESSO AI SERVIZI Per facilitare l’accesso ai servizi di cura verrà utilizzato anche il numero verde del call center AZIONE11,,
98,Art.4 c.1 d),,
99,regionale 800.318.318.,,
100,"Obbiettivo del call center non sarà tanto quello di offrire un intervento specialistico (che, peraltro, viene già offerto da alcune associazioni per via telefonica / online), quanto di indirizzare ai servizi / associazioni esistenti sul territorio, dove potrà avvenire il contatto diretto ed una eventuale presa in carico.",,
101,"La DG Presidenza – Comunicazione e la DG Famiglia SSV collaboreranno, secondo competenza, per l’attivazione del servizio, anche tramite un censimento di tutti i servizi e delle associazioni che si occupano di una presa in carico diretta dei soggetti con dipendenza da GAP e dei loro famigliari.",,
102,"PRENDERE IN CARICO LA PERSONA E LA FAMIGLIA I Dipartimenti delle Dipendenze delle 15 ASL lombarde hanno al loro interno servizi ambulatoriali (SerT e SMI) con unità operative dedicate, in cui avviene una presa in carico complessiva e professionale sia del paziente che dei suoi famigliari.",,
103,"La presa in carico prevede una prima valutazione del bisogno, una diagnosi, un Piano di intervento individualizzato, l’attuazione del medesimo e una serie di azioni che conducano (ove possibile) ad un recupero completo.",,
104,Questo mandato istituzionale è stato facilitato dalla misura 5 “Presa in carico ambulatoriale delle persone affette da gioco d’azzardo patologico” della circolare attuativa della dgr 856/ 2013 che prevede l’erogazione di un voucher utilizzabile nei servizi ambulatoriali accreditati,,
105,AZIONE12 Art.6 c.2,,
106,per le Dipendenze.,,
107,"L’attività svolta verrà attentamente monitorata tramite un sistema di monitoraggio dei voucher erogati e della tipologia degli interventi specialistici erogati, allo scopo di una maggiore conoscenza dell’esistente e di una più mirata programmazione regionale.",,
108,SUPPORTO ALLA PERSONA In regione Lombardia sono numerose le associazioni di volontariato / auto mutuo aiuto che si occupano di GAP.,,
109,"Alcune di queste offrono, oltre ad un supporto ed un sostegno, una vera e propria presa in carico.",,
110,"La dgr 3239/ 2012 (DG FSSV) in previsione di una possibile riorganizzazione / innovazione dell’intervento di contrasto alle dipendenze, ha previsto dei progetti sperimentali.",,
111,"Nell’area “Nuove forme di abuso” la maggioranza dei progetti presentati ( e approvati) era dedicata al GAP, con un finanziamento di oltre 900.000 € per 13 progetti regionali.",,
112,Le sperimentazioni citate termineranno il 31.,,
113,Gennaio 2014 e verrà valutata la possibilità di 5,,
114,– 12 –,,
115,Bollettino Ufficiale,,
116,Serie Ordinaria n. 6 - Venerdì 07 febbraio 2014,,
117,"messa a sistema, anche alla luce di specifici indicatori orientati alla verifica di qualità e di innovazione OFFRIRE UNA FORMAZIONE ADEGUATA A OPERATORI DEI SERVIZI E ESERCENTI La legge regionale prevede corsi di formazione obbligatoria per i gestori dei locali dove sono AZIONE13",,
118,Art.9 c.1,,
119,installate le apparecchiature per il gioco d’azzardo.,,
120,"Al fine di rendere più agevole la partecipazione ai suddetti corsi, diviene indispensabile un raccordo tra le Direzioni Generali interessate e le associazioni di categoria per cercare soluzioni che non penalizzino eccessivamente ‐ in termini orari o di costi – i gestori.",,
121,Deve essere anche considerata una articolazione tale da poter soddisfare l’elevato numero di gestori presente in regione Lombardia.,,
122,"In linea preliminare andranno studiate soluzioni diverse, ad esempio potrebbero essere proposti corsi differenziati per i nuovi gestori rispetto a quelli già abilitati all’esercizio, piuttosto che l’inserimento di un “modulo GAP” nella formazione obbligatori dei nuovi gestori.",,
123,"Le DG interessate sono la DG Istruzione FL, la DG Commercio TT, con la collaborazione della DG Famiglia SSV e di Eupolis.",,
124,"Si ricorda che la misura 5 già citata ( circolare n. 1 / 2014 ) prevede espressamente attività formative / informative rivolte ad esercenti associazioni di consumatori e utenti, polizia locale, sportelli Welfare, operatori sociali, sociosanitari e sanitari.",,
125,"FAVORIRE I GESTORI CHE NON DETENGONO APPARECCHI PER IL GIOCO D’AZZARDO L’art.4, c.5 della legge regionale prevede una riduzione dell’aliquota IRAP (ridotta allo 0,92 per cento) per gli esercizi che provvedono volontariamente alla completa disinstallazione degli apparecchi da gioco.",,
126,AZIONE14 Art.4 c.5,,
127,In tale direttrice si colloca la specifica proposta di delibera di giunta “Modalità applicative per la fruizione dell’agevolazione fiscale prevista dell’art.,,
128,4 comma 8 della l.r.,,
129,"21 ottobre 2013, n. 8 (“Norme per la prevenzione e il trattamento del gioco d’azzardo patologico”).",,
130,Regime d’aiuto prescelto.,,
131,Comunicazione relativa alla compilazione della dichiarazione IRAP” già predisposta da parte della DG Gestione e Programmazione finanziaria.,,
132,FAVORIRE I CONTROLLI E REGOLAMENTARE L’ACCESSO La legge regionale prevede,,
133,AZIONE15 Art.4 c.10 Art.6 c.3,,
134,1. un regolamento per l’accesso alle aree dedicate all’installazione degli apparecchi per il gioco d’azzardo e ai locali destinati a sala gioco d’azzardo 2. il controllo igienico sanitario delle strutture in cui sono installate apparecchiature per 6,,
135,Bollettino Ufficiale,,
136,– 13 – Serie Ordinaria n. 6 - Venerdì 07 febbraio 2014,,
137,il gioco d’azzardo.,,
138,"La DG Commercio TT fornirà specifiche direttive, così come La DG Salute le fornirà alle ASL – Dipartimenti di Prevenzione medica, in coerenza con le linee di indirizzo regionali per le attività di vigilanza e controllo.",,
139,La dgr 1274/14 (DG Territorio UD) ha già definito le distanze minime tra luoghi sensibili AZIONE16,,
140,Art.5 c.1e2,,
141,"(scuole, luoghi di aggregazione giovanile, impianti sportivi, ecc.) e locali dotati di apparecchiature per il gioco d’azzardo, con le relative disposizioni applicative.",,
142,7,,
