sentence number,sentence,value (0/1)
21,"10/2009; Preso atto che il Comune di Ternate, con determina n. 1940 del 16 marzo 2006, ha approvato il Progetto Definitivo di Bonifica, con misure di messa in sicurezza e di messa in sicurezza permanente dello Stabilimento Whirlpool Europe s.r.l.; Considerato che durante la Conferenza di servizi del 9 aprile 2010, convocata dal Comune di Ternate, l’Ufficio presidente ha preso atto della contaminazione delle acque sotterranee sul territorio dei comuni di Ternate e Biandronno e, pertanto, rilevata la responsabilità del procedimento di bonifica in capo alla Regione Lombardia; Richiamata la deliberazione di Giunta regionale 24 gennaio 2007, n. 4033 avente ad oggetto: «Trasferimento ai comuni delle funzioni amministrative inerenti gli interventi di bonifica di siti contaminati in attuazione della l.r. n. 30/2006, modifica alla d.g.r. n. 2838/2006»; Vista la d.g.r. n. 11348 del 10 febbraio 2011 che definisce le linee guida in materia di bonifica di siti contaminati; Preso atto che con nota del 24 maggio 2013, acquisita agli atti regionali con prot. n. 17806 del 31 maggio 2013, la Società Whirlpool Europe s.r.l., con sede in Biandronno (VA), via A. Moro – Località Cassinetta, ha trasmesso il «Documento Riassuntivo del Progetto Esecutivo degli interventi di bonifica delle acque di falda nelle aree Centrale, Nord/Est e Sud/Est», dello stabilimento della Società Whirlpool Europe s.r.l., nei Comuni di Ternate e Biandronno« (VA); Preso atto del principio di trasparenza dell’azione amministrativa di cui alle disposizioni del Capo III, legge 241/1990 e s.m.i., relativo alla partecipazione al procedimento amministrativo; Considerato che ai fini istruttori, è stata convocata in data 25 giugno 2013, presso la Direzione Generale Ambiente, Energia e Reti, una Conferenza di Servizi ai sensi dell’art.",,
22,"14, l. 7 agosto 1990, n. 241 e s.m.i., per l’acquisizione dei pareri sul «Documento Riassuntivo del Progetto Esecutivo degli interventi di bonifica delle acque di falda nelle aree Centrale, Nord/Est e Sud/Est», dello stabilimento della Società Whirlpool Europe s.r.l.», e per la quale è stata richiesta la presenza della Provincia di Varese, dei Comuni di Biandronno e Ternate, dell’A.R.P.A. Lombardia – Dipartimento di Varese, dell’ASL della Provincia di Varese e della Società Whirlpool Europe s.r.l.;",,
23,"Preso atto che la Conferenza predetta ha ritenuto opportuno, visto ed esaminato il documento progettuale presentato dalla società Whirlpool Europe s.r.l., di approvarne i contenuti, con le osservazioni e prescrizioni di cui alle considerazioni finali della Conferenza di Servizi indicate nel relativo verbale (all. 1)(omissis) e di prevedere l’acquisizione formale dei pareri degli Enti di Arpa e Provincia di Varese, assente ai lavori della Conferenza; Preso atto che in data 25 giugno 2013 Arpa Lombardia – Dipartimento di Varese ha trasmesso il parere, agli atti regionali con prot. n. 22111 del 25 giugno 2013, e in data 7 agosto 2013, la provincia di Varese ha trasmesso il parere, agli atti regionali con prot. n. 30844 del 26 agosto 2013, che formano parte integrante del presente atto (all. 2)(omissis); Ritenuto di fissare l’importo della garanzia finanziaria di cui ai disposti dell’art.",,
24,"242, comma 7 del d.lgs.",,
25,"152/2006, in € 167.400,00 (centosessantasettemilaquattrocento), pari al 20% dell’ammontare dei costi degli interventi di bonifica e di ripristino ambientale previsti dal quadro economico del progetto, in ottemperanza agli obiettivi di bonifica approvati, da prestarsi in osservanza ai disposti della d.g.r.",,
26,"15 giugno 2006, n. 2744; Ritenuto, per quanto sopra, di approvare il «Documento Riassuntivo del Progetto Esecutivo degli interventi di bonifica delle acque di falda nelle aree Centrale, Nord/Est e Sud/Est dello stabilimento della stabilimento della Società Whirlpool Europe s.r.l., sita nei comuni di Biandronno e Ternate, in località Cassinetta», e di autorizzare la realizzazione degli interventi previsti, con le osservazioni e prescrizioni espresse dalla Conferenza di Servizi, di cui all’allegato al presente atto; Vista la l.r.",,
27,"7 luglio 2008, n. 20 «Testo Unico delle leggi regionali in materia di organizzazione e personale», nonché i provvedimenti organizzativi della X legislatura; DECRETA 1. di approvare ai sensi dell’art.",,
28,242 del d.lgs.,,
29,"3 aprile 2006, n. 152, il «Documento Riassuntivo del Progetto Esecutivo degli interventi di bonifica delle acque di falda nelle aree Centrale, Nord/Est e Sud/Est dello stabilimento della Società Whirlpool Europe s.r.l.», ubicato nei comuni di Biandronno e di Ternate (VA) ed acquisito agli atti regionali con prot. n. 17806 del 31 maggio 2013, trasmessa dalla Società Whirlpool Europe s.r.l., con sede in Ternate (VA), via Aldo Moro – Località Cassinetta, con le osservazioni e prescrizioni espresse dalla Conferenza di Servizi del 25 giugno 2013 e successive integrazioni; 2. di autorizzare la realizzazione degli interventi previsti nel documento progettuale di cui sopra, di cui al verbale della Conferenza di Servizi del 25 giugno 2013; 3. di fissare l’importo della garanzia finanziaria di cui ai disposti dell’art.",,
30,"242, comma 7 del d.lgs.",,
31,"152/2006, in € 167.400,00 (centosessantasettemilaquattrocento) pari al 20% dell’ammontare dei costi degli interventi di bonifica e ripristino ambientale, in ottemperanza agli obiettivi di bonifica approvati, da prestarsi in osservanza ai disposti della d.g.r.",,
32,"15 giugno 2006, n. 2744; 4. di dare atto che il verbale della Conferenza di Servizi dell’25 giugno 2013 costituisce parte integrante del presente provvedimento (allegato 1)(omissis); 5. di dare atto che il parere Arpa Lombardia, agli atti regionali con prot. n. 22111 del 25 giugno 2013, e della provincia di Varese, agli atti regionali con prot. n. 30844 del 26/08, formano parte integrante del presente atto (all. 2)(omissis); 6. di stabilire che eventuali proroghe ai tempi per la realizzazione degli interventi verranno concesse con apposito provvedimento, previa presentazione da parte della società Whirlpool Europe s.r.l. di idonea documentazione che ne comprovi la reale necessità; 7. di trasmettere il presente atto alla Provincia di Varese, ai Comuni di Biandronno e di Ternate, all’A.R.P.A. Lombardia – Dipartimento di Varese, all’ ASL della Provincia di Varese e alle società Whirlpool Europe s.r.l; 8. di provvedere a pubblicare sul Bollettino Ufficiale della Regione Lombardia il presente provvedimento, con l’esclusione dell’allegato 1; 9. di dare atto, ai sensi dell’art.",,
33,"3, legge 7 agosto 1990, n. 241, che contro il presente provvedimento, potrà essere presentato ricorso giurisdizionale al Tribunale Amministrativo Regionale, entro 60 (sessanta) giorni dalla data di comunicazione dello stesso, ovvero ricorso straordinario al Presidente della Repubblica entro 120 (centoventi) giorni dalla predetta data.",,
34,Il dirigente ad interim della struttura Angelo Elefanti,,
