sentence number,sentence,value (0/1)
11,"12 marzo 2008, n. 3 «Governo della rete degli interventi e dei servizi alla persona in ambito sociale e socio-sanitario»; −− la l.r.",,
12,"30 dicembre 2009, n. 33: «Testo unico delle leggi regionali in materia di sanità»; −− la d.c.r.",,
13,"17 novembre 2010, n. 88 di approvazione del «Piano Socio Sanitario Regionale 2010 – 2014»; Richiamate le dd.g.r.: −− 4 ottobre 2006, n. 3257 «Identificazione, a domanda, in capo ad unico soggetto gestore di una pluralità di strutture socio-sanitarie accreditate»; −− 30 maggio 2012 n. 3540 «Determinazioni in materia di esercizio e accreditamento delle unità di offerta sociosanitarie e razionalizzazione del relativo sistema di vigilanza e controllo»; −− 20 dicembre 2013 n. 1185 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2014»; Preso atto che con le dd.g.r. citate sono state definite le procedure per l’accreditamento delle unità d’offerta socio-sanitarie; Vista la circolare regionale n. 21 del 5 luglio 2007 «Chiarimenti in ordine a d.g.r. n. 3257 del 4 ottobre 2006» che indica, tra l’altro, le modalità per ottenere il riconoscimento di Ente Unico; Rilevato che il Legale Rappresentante dell’ente gestore denominato «Servire Società Cooperativa Sociale a r.l.», con sede legale in Treviolo (BG), Via A. Arioli Dolci n. 12/14, CF 00839900164, ha presentato la richiesta per il riconoscimento di Ente Unico, con istanza pervenuta in data 3 gennaio 2014 prot. n. 74, per le seguenti unità di offerta: C.D.I.: −− «Arioli Dolci», codice struttura n. 301011016, con sede in Treviolo (BG), Via A. Airoli Dolci n. 14, per n. 40 posti accreditati; −− «il Cortile», codice struttura n. 301011030, con sede in Zanica (BG), Via Padre Davide n. 2, per n. 15 posti accreditati; Dato atto che è stata accertata, da parte della struttura «Regolazione, accreditamento e contratti», la corrispondenza della richiesta con la documentazione agli atti; Ritenuto di dover procedere al riconoscimento di Ente Unico per il gestore in oggetto, per le unità di offerta socio sanitarie sopra elencate; Dato atto che il presente provvedimento conclude il relativo procedimento nei termini previsti dalla d.g.r. n. 3540/2012, con scadenza in data 2 febbraio 2014; Viste la l.r.",,
14,"7 luglio 2008, n. 20 e i provvedimenti organizzativi della X legislatura, adottati dalla Giunta Regionale; Richiamata in particolare la d.g.r.",,
15,"20 marzo 2013 n. 3 «Costituzione delle Direzioni Centrali e Generali, incarichi e altre disposizioni organizzative – I provvedimento organizzativo – X legislatura», con la quale è stato affidato l’incarico di Direttore Generale della Direzione Famiglia, Solidarietà sociale e Volontariato a Giovanni Daverio; Stabilito di disporre per la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia, per la trasmissione dello stesso all’ente gestore interessato, e alla ASL territorialmente competente;",,
16,Visti: −− il d.lgs.,,
17,"30 dicembre 1992, n. 502, e successive modificazioni ed integrazioni; −− il d.p.r.",,
18,"14 gennaio 1997 «Approvazione dell’atto di indirizzo e coordinamento alle Regioni ed alle Province autonome di Trento e Bolzano in materia di requisiti strutturali, tecnologici ed organizzativi minimi per l’esercizio delle attività sanitarie da parte delle strutture pubbliche e private»; −− la l.r.",,
19,"5 gennaio 2000, n. 1 «Riordino del sistema delle autonomie in Lombardia.",,
20,Attuazione del d. lgs.,,
21,"31 marzo 1998, n. 112»; −− i dd.p.c.m.",,
22,14 febbraio 2001 «Atto di indirizzo e coordinamento in materia di prestazioni socio sanitarie» e 29 novembre 2001 «Definizione dei livelli essenziali di assistenza»;,,
23,"DECRETA 1. di riconoscere, con decorrenza dalla data di approvazione del presente atto, come Ente Unico l’ente gestore «Servire Società Cooperativa Sociale a r.l.», con sede legale in Treviolo (BG), Via A. Arioli Dolci n. 12/14, CF 00839900164, per le seguenti unità di offerta socio sanitarie: C.D.I.: −− «Arioli Dolci», codice struttura n. 301011016, con sede in Treviolo (BG), Via A. Airoli Dolci n. 14, per n. 40 posti accreditati, −− «il Cortile», codice struttura n. 301011030, con sede in Zanica (BG), Via Padre Davide n. 2, per n. 15 posti accreditati; 2. di fare obbligo all’ente gestore di comunicare tempestivamente alla Regione e alla ASL territorialmente competente, tutti quegli elementi che eventualmente in futuro possano incidere",,
