sentence number,sentence,value (0/1)
12,"Sanità del 15 ottobre 1999 n. 42811 «Direttive in ordine all’attività dei laboratori di analisi mediche a scopo diagnostico», in particolare laddove autorizza «l’utilizzo del «service», definito come il conferimento di campioni biologici per l’esecuzione di determinazioni analitiche a laboratorio diverso da quello al quale afferisce l’utente»; Dato atto che la concentrazione dell’attività di produzione analitica, prevista anche dall’Accordo tra il Governo, le Regioni e le Province Autonome di Trento e di Bolzano, sul documento recante «Criteri per la riorganizzazione delle reti di offerta di Diagnostica di Laboratorio», rep. atti n. 61/esr del 23 marzo 2011, non deve pregiudicare la tempestività dei risultati di alcune prestazioni di laboratorio anche in situazioni periferiche e che questa esigenza può essere tecnicamente soddisfatta utilizzando la modalità Point of Care Testing (POCT); Ricordato che la citata d.g.r. n. VII/3313 del 2 febbraio 2001 prevede la possibilità dell’esecuzione di analisi in POCT e specifica che queste vengono eseguite sotto la responsabilità del Direttore del Servizio di Medicina di Laboratorio (SMeL); Precisato che nel contesto del presente provvedimento: −− dal punto di vista organizzativo, per Point of Care Testing (POCT) si intendono i test eseguiti vicino al punto di cura del paziente, nel caso in cui il risultato delle prestazioni di laboratorio debba essere disponibile in un lasso di tempo molto breve, al fine di permettere ai clinici una diagnosi immediata e/o una immediata decisione terapeutica e che quindi il POCT è l’«estrema ratio» nelle situazioni in cui gli esiti delle prestazioni sono indifferibili perché «salvavita»; −− le analisi con metodologia POCT sono per definizione eseguite al di fuori del Servizio di Medicina di Laboratorio e non ne rappresentano un sostituto, bensì una sua integrazione, siano i POCT collocati in ambito intra-ospedaliero, siano essi collocati in ambito extra-ospedaliero (ad esempio, negli ambulatori medici di cui al d.l. n. 150 del 13 settembre 2012); −− dal punto di vista tecnico, si intendono prestazioni di medicina di laboratorio eseguite con strumentazione completamente automatica, che richiedono l’intervento di un operatore solo per «caricare» un campione biologico non trattato (ad es. sangue non centrifugato), che non necessitano di una aliquotazione precisa (ad es. pipettamento di un definito quantitativo di microLitri) e che producono, in modo completamente ed assolutamente automatico, un risultato analitico stampato; Stabilito che, in ambito di strutture di ricovero e cura: −− l’utilizzo di strumentazione di POCT non può essere inteso come una modalità organizzativa per produrre prestazioni",,
13,"di Medicina di Laboratorio eludendo il possesso dei requisiti minimi strutturali e organizzativi richiesti dalla normativa vigente e che quindi il numero delle prestazioni deve essere limitato e si deve trattare di prestazioni «salvavita» temporalmente indifferibili; −− le analisi eseguibili con POCT sono a titolo di esempio non esaustivo: pH, pO2, pCO2, COHb, MetaHb, Hb, Ht, glucosio, lattato, sodio, potassio, calcio ionizzato; −− in strutture periferizzate che non dispongono di SMeL o in strutture di ricovero che hanno esternalizzato lo SMeL, le analisi urgenti devono essere innanzitutto garantite tramite l’organizzazione di efficienti sistemi di trasporto allo SMeL di riferimento e che la responsabilità della gestione del POCT è in carico alla struttura di laboratorio, della stessa azienda o di diversa azienda, verso cui è stata eseguita l’esternalizzazione; −− le istallazioni dei POCT, in ogni caso, devono essere eseguite in accordo con il laboratorio che ne è unico responsabile, come indica la d.g.r. n. VII/3313/2001; Precisato che non rientrano nella presente normativa i glucometri per glicemia da dito e le varie «card» o «stick» per analisi indicative; Ricordato che le analisi eseguite con POCT di solito sono molto più costose di quelle eseguite su «normale» strumentazione di laboratorio e che la proliferazione di fonti di produzione di esami di laboratorio può generare risultati non confrontabili tra di loro; Stabilito che i Direttori dei Servizi di Medicina di Laboratorio sono responsabili solo delle strumentazioni di POCT di cui hanno definito le modalità d’uso, di verifica della qualità e di cui hanno curato la formazione degli operatori; Stabilito, infine, che in ogni caso per poter utilizzare correttamente le strumentazioni POCT e i loro risultati ci si debba attenere alle procedure tecniche di cui all’allegato 1, parte integrante del presente provvedimento, e che queste procedure debbano consistere in documenti aggiornati ed accessibili agli utilizzatori dei POCT; Ritenuto di procedere alla pubblicazione del presente provvedimento sul Bollettino Ufficiale della Regione Lombardia e sul sito web della Direzione generale Sanità; Vista la l.r.",,
14,20/2008 nonché i provvedimenti organizzativi della IX legislatura; DECRETA 1.,,
15,"Di stabilire che: a) in ambito di strutture di ricovero e cura: −− l’utilizzo di strumentazione di POCT non può essere inteso come una modalità organizzativa per produrre prestazioni di Medicina di Laboratorio eludendo il possesso dei requisiti minimi strutturali e organizzativi richiesti dalla normativa vigente e quindi il numero delle prestazioni deve essere limitato e si deve trattare di prestazioni «salvavita» temporalmente indifferibili; −− le analisi eseguibili con POCT sono a titolo di esempio non esaustivo: pH, pO2, pCO2, COHb, MetaHb, Hb, Ht, glucosio, lattato, sodio, potassio, calcio ionizzato; −− in strutture periferizzate che non dispongono di SMeL o in strutture di ricovero che hanno esternalizzato lo SMeL, le analisi urgenti devono essere innanzitutto garantite tramite l’organizzazione di efficienti sistemi di trasporto allo SMeL di riferimento e la responsabilità della gestione del POCT è in carico alla struttura di laboratorio, della stessa azienda o di diversa azienda, verso cui è stata eseguita l’esternalizzazione; −− le istallazioni dei POCT, in ogni caso, devono essere eseguite in accordo con il laboratorio che ne è unico responsabile, come indica la d.g.r. n. 3313/2001; b) i Direttori dei Servizi di Medicina di Laboratorio sono responsabili solo delle strumentazione di POCT di cui hanno definito le modalità d’uso, di verifica della qualità e di cui hanno curato la formazione degli operatori; c) per poter utilizzare correttamente le strumentazioni POCT e i loro risultati ci si deve attenere alle procedure tecniche di cui all’allegato 1, parte integrante del presente provvedimento, precisato che queste procedure debbano consistere in documenti aggiornati ed accessibili agli utilizzatori dei POCT;",,
16,Bollettino Ufficiale,,
17,–5– Serie Ordinaria n. 4 - Mercoledì 23 gennaio 2013,,
18,2. di procedere alla pubblicazione del presente provvedimento sul Bollettino Ufficiale della Regione Lombardia e sul sito web della Direzione generale Sanità.,,
19,Il direttore generale direzione generale sanità Carlo Lucchina,,
20,——— • ——— ALLEGATO 1,,
21,"Formazione degli utilizzatori E’ indispensabile che il personale autorizzato a usare POCT debba essere opportunamente formato, in conformità delle procedure previste.",,
22,"Il fornitore delle tecnologie POCT può collaborare ai programmi di formazione; in ogni caso la formazione deve essere garantita e certificata dallo SMeL, che è responsabile anche dell’ aggiornamento continuo del personale e della periodica verifica dell’idoneità all’uso dei POCT.",,
23,La formazione deve considerare la fase analitica e le variabili pre-analitiche.,,
24,E’ preferibile che i campioni siano caricati sulle strumentazioni di POCT da personale di laboratorio.,,
25,"Manutenzione della strumentazione La responsabilità della definizione delle procedure di manutenzione ordinaria e straordinaria è a carico dello SMeL a cui afferisce il POCT, in conformità con le linee guida fornite dalla ditta che ha “fornito” la strumentazione.",,
26,La manutenzione programmata e straordinaria può essere gestita dal Servizio di Ingegneria Clinica o anche dalla Ditta fornitrice.,,
27,"La manutenzione ordinaria e la pulizia devono essere eseguite dagli utilizzatori abituali, opportunamente formati.",,
28,"Verifica della qualità analitica Per le prestazioni eseguite su POCT devono essere eseguite le procedure riguardanti la verifica della qualità analitica mediante l’attivazione del Controllo di Qualità Interno (CQI) per tutte le prestazioni analitiche eseguite, secondo le modalità previste dal Decreto del D.g.",,
29,Sanità n. 32856/2000 e dall’allegato 11 della d.g.r. n. VII/19688/2004.,,
30,"In ogni caso deve essere eseguito almeno un campione di controllo o immediatamente prima delle analisi o almeno 2 volte ogni 24 ore, circa ogni 12 ore.",,
31,Le prestazioni eseguite sulla strumentazione POCT devono essere allineate con i risultati ottenuti per le stesse prestazioni con le altre strumentazioni presenti in laboratorio.,,
32,I dati di verifica dell’allineamento devono essere conservati almeno per un anno.,,
33,La verifica della qualità e dell’allineamento sono a carico dello SMeL a cui afferisce il POCT.,,
34,Risultati e conservazione dei dati analitici I risultati hanno valore di referto quando tutti i passaggi sono eseguiti da personale di laboratorio anche avvalendosi della validazione a distanza.,,
35,"I dati analitici devono essere conservati per almeno un anno, o in formato cartaceo o in formato elettronico.",,
36,Responsabilità La responsabilità delle prestazioni è del Direttore dello SMeL a cui afferisce il POCT.,,
37,"Dove possibile, devono essere attivati i sistemi di controllo informatico per via telematica che possano inibire l’uso della strumentazione in caso di mancata manutenzione o di controlli fuori range atteso.",,
38,"I singoli operatori (siano essi del Laboratorio, di altre unità operative o di altre strutture non ospedaliere opportunamente formati) sono responsabili delle operazioni eseguite e del rispetto di quanto indicato nelle procedure scritte fornite dal Direttore dello SMeL.",,
