sentence number,sentence,value (0/1)
16,"387/2003, azioni di monitoraggio: • della soggiacenza della falda e della qualità delle acque sotterranee in piezometri stabili a monte e a valle degli impianti in progetto, nonché dello stato e dell’efficienza della intera linea di veicolazione di liquami e fanghi, per verificare l’assenza di contaminazioni dovute all’esercizio dell’attività zootecnica e alla gestione dei reflui; la prima campagna di misure sia eseguita antecedentemente alla realizzazione delle opere di progetto; • delle emissioni in atmosfera generate dall’allevamento (con particolare riguardo ad ammoniaca e metano) e dall’impianto di trattamento dei reflui, e della propagazione degli odori verso recettori sensibili, soprattutto nel periodo primaverile - estivo; • dell’effluente del depuratore e del corpo idrico recettore in almeno due sezioni a monte e a valle del punto di scarico; • della pressione sonora ad impianto in esercizio nella configurazione di progetto, con almeno una campagna di verifica dell’effettiva rispondenza della situazione al calcolo previsionale; k. presupposti e modalità di conduzione delle suddette azioni di monitoraggio siano definite dal proponente in accordo con ARPA Lombardia, la Provincia di Pavia e il Comune di Dorno, ai quali dovranno essere trasmessi [oltre che conservati presso l’azienda stessa] i relativi risultati, per la loro validazione e l’eventuale assunzione di provvedimenti conseguenti; in base agli esiti del monitoraggio, il proponente dovrà provvedere alla eventuale tempestiva installazione di specifici presìdi e alla loro costante manutenzione; assetto paesaggistico ed ecosistemico: l. il proponente sviluppi al livello esecutivo - in accordo con il Comune, in sede di rilascio degli specifici titoli abilitativi alla realizzazione dell’opera - il progetto delle opere di mitigazione ambientale a partire da quanto proposto nello s.i.a. depositato, mediante lo sviluppo e l’ampliamento della barriera arbustiva e arborea (auspicabilmente fino ad una profondità di 25 m), e comunque perseguendo la massima possibile implementazione delle superfici a verde, anche mediante la formazione di filari e/o siepi di specie autoctone lungo i confini degli appezzamenti agricoli nella aree che sono nella disponibilità dell’azienda, al fine di minimizzare ulteriormente l’impatto visivo, contrastare le emissioni di odori, e contribuire ad un aumento della potenzialità biologica e della rete ecologica locale; m. la realizzazione di tali interventi a verde dovrà anticipare ove possibile le opere edili o comunque dovrà essere terminata prima della richiesta di agibilità; ulteriori prescrizioni di dettaglio e MTD: n. eventuali ulteriori prescrizioni di dettaglio - in particolare finalizzate al maggiore allineamento alle migliori tecniche disponibili sul piano progettuale e/o gestionale (MTD) - potranno essere emesse in sede di autorizzazione integrata ambientale e di autorizzazione ai sensi del d.lgs.",,
17,"387/2003; 2. la Provincia di Pavia, in qualità di autorità competente al rilascio dell’autorizzazione integrata ambientale del progetto in",,
18,"– 36 – Serie Ordinaria n. 3 - Mercoledì 16 gennaio 2013 parola, e il Comune di Dorno, sono tenuti a vigilare sul rispetto delle prescrizioni di cui al precedente punto 1, così come recepite nel provvedimento di autorizzazione, e a segnalare tempestivamente all’autorità competente per la v.i.a. eventuali inadempimenti, ai sensi e per gli effetti dell’art.",,
19,29 del d.lgs.,,
20,152/2006; 3. ai sensi dell’art.,,
21,"26, comma 6, del d.lgs.",,
22,"152/2006, il progetto in parola dovrà essere realizzato entro cinque anni dalla data di pubblicazione del presente provvedimento; 4. di trasmettere copia del presente decreto alla società proponente Società Agricola Agridorno s.s. con sede a Dorno; 5. di informare contestualmente dell’avvenuta decisione finale e delle modalità di reperimento della stessa la Provincia Pavia e il Comune di Dorno; 6. di provvedere alla pubblicazione sul BURL della sola parte dispositiva del presente decreto; 7. di provvedere altresì alla pubblicazione integrale del presente provvedimento sul sito web www.cartografia.regione.lombardia.it/silvia/; 8. di rendere noto che contro il presente provvedimento è ammessa proposizione di ricorso giurisdizionale avanti il Tribunale Amministrativo regionale competente per territorio, entro 60 giorni dalla data di avvenuta notificazione o di piena conoscenza, ovvero ricorso straordinario al Capo dello Stato entro 120 giorni dalla data di avvenuta notificazione, ai sensi del d.p.r.",,
23,24 novembre 1971 n. 1199.,,
24,Il dirigente Filippo Dadone,,
25,Bollettino Ufficiale,,
