sentence number,sentence,value (0/1)
11,"152/06 e dal Piano di Gestione del Distretto Idrografico del Po; d12. qualora i risultati di tali campionamenti evidenziassero una situazione di stress ambientale non sostenibile, dovrà essere previsto - in accordo con gli enti competenti – la modifica dei passaggi, l’adeguamento del",,
12,– 34 –,,
13,Bollettino Ufficiale,,
14,"Serie Ordinaria n. 3 - Mercoledì 16 gennaio 2013 ga recuperata la funzionalità dei microhabitat, nonché la variabilità della popolazione ittica; e. relativamente all’inquinamento acustico: e.1. dovrà essere eseguita prima del rilascio della concessione una valutazione previsionale d’impatto acustico ai sensi della d.g.r.",,
15,"8313/02; in particolare, ai sensi dell’art.",,
16,"4 della citata delibera, dovranno essere concordate con il Comune e con ARPA posizioni significative presso le quali effettuare le rilevazioni fonometriche da realizzarsi ante operam; il monitoraggio post operam negli stessi punti di misura dovrà pertanto indicare gli eventuali interventi mitigativi che risultassero necessari per conseguire il rispetto dei limiti; nel caso specifico dovrà essere tenuta in considerazione la presenza degli adiacenti edifici residenziali e dell’area fruitiva ad uso pubblico del PLIS NaturalSerio e predisposte, qualora necessarie, le più idonee mitigazione alla sorgente al fine di conservare il clima acustico attuale; e.2. in ogni caso venga limitata l’emissione di rumore almeno mediante l’applicazione delle misure proposte nella documentazione integrativa di impatto acustico (caratteristiche tecniche fono isolanti della muratura del vano tecnico, della copertura, dei serramenti e delle ventole di aerazione) con l’adozione di tutti gli accorgimenti necessari per limitare le emissioni sonore della vano che ospiterà la centralina (ad es. evitando aperture in direzione delle abitazioni vicine e dell’area pubblica); e.3. gli impianti tecnologici, quali compressori o macchine da cantiere di dimensioni ridotte, devono essere agonizzate in box fono-isolanti e per quanto possibile evitandone l’impiego durante il periodo notturno; e.4. dovrà essere svolta un’indagine post operam presso i recettori più significativi durante il periodo notturno e presso le zone limitrofe all’impianto concordando un piano di monitoraggio con il dipartimento ARPA competente e il Comune, ai quali andranno trasmessi i risultati per valutare la necessità di interventi di risanamento acustico; f. sotto il profilo idraulico, la derivazione in progetto non dovrà interferire con la derivazione esistente in sponda destra poco a monte della traversa (roggia Morlana); g. l’inserimento paesaggistico di tutte le opere dovrà essere verificato in sede di relativa autorizzazione, ai sensi del d.lgs.",,
17,42/04; si presti particolare attenzione a:,,
18,"• elementi fuori terra (dimensioni, materiali e colori di finitura) coerenti con i consolidati caratteri dell’edilizia tradizionale locale;",,
19,• portata da lasciar fluire sopra la traversa per conservare,,
20,il valore paesaggistico e fruitivo della presenza dell’acqua considerata la prossimità dell’area di sosta pubblica del PLIS NaturalSerio;,,
21,2. di demandare all’autorità competente al rilascio della concessione la verifica di compatibilità dell’opera anche alla luce delle disposizioni di cui al PTUA e alla d.g.r.,,
22,"16065/04; 3. l’autorità competente al rilascio della concessione di derivazione d’acqua è tenuta a vigilare sul rispetto delle prescrizioni di cui al precedente punto 1, e a segnalare tempestivamente alla U.O. Sviluppo Sostenibile e Valutazioni Ambientali eventuali inadempimenti, ai sensi e per gli effetti dell’art.",,
23,29 del d.lgs.,,
24,152/06; 4. di trasmettere copia del presente decreto alla società Gala Green Srl (Proponente); 5. di informare contestualmente i seguenti soggetti dell’avvenuta decisione finale e delle modalità di reperimento della stessa:,,
25,"• Comune di Pradalunga (BG); • Provincia di Bergamo; • Parco Locale di Interesse Sovracomunale NaturalSerio, Nembro (BG);",,
26,"• Comunità Montana Valle Seriana, Albino (BG); • ARPA Lombardia - sede centrale di Milano; • Regione Lombardia – sede territoriale di Bergamo;",,
27,6. di provvedere alla pubblicazione sul BURL della sola parte dispositiva del presente decreto;,,
28,7. di provvedere altresì alla pubblicazione integrale del presente provvedimento sul sito web www.silvia.regione.lombardia. it; 8. di rendere noto che contro il presente decreto è proponibile ricorso giurisdizionale presso il T.A.R della Lombardia secondo le modalità di cui al d.lgs.,,
29,"2 luglio 2010, n. 104, ovvero è ammesso ricorso straordinario al Capo dello Stato, rispettivamente entro 60 o 120 giorni dalla data di avvenuta notificazione del presente atto.",,
30,Il dirigente Filippo Dadone,,
