sentence number,sentence,value (0/1)
11,"IX/3976/12, senza ridurre i servizi oggi resi ai cittadini ma riducendo i punti di offerta di alcune delle discipline sopra ricordate incentivando e favorendo nelle strutture coinvolte da questa riorganizzazione la focalizzazione su altre discipline ritenute più utili dal punto di vista del fabbisogno espresso dalla popolazione; • mantenere inalterata l’attuale offerta relativa alle unità operative di radioterapia sulla base delle risultanze dello specifico gruppo di approfondimento tecnico (GAT) che ha visti coinvolti con i funzioni della DG Sanità i rappresentanti espressi dai radioterapisti; • provvedere, entro il 31 dicembre 2013 e considerando le peculiarità dei bacini di utenza montani e/o caratterizzati da particolari difficoltà viabilistiche, alla riorganizzazione dei punti nascita secondo le indicazioni contenute nelle «Linee di indirizzo per la promozione ed il miglioramento della qualità, della sicurezza e dell’appropriatezza degli interventi assistenziali nel percorso nascita e per la riduzione del taglio cesareo» approvate con specifico accordo stato regioni il 16 dicembre 2010 e quelle contenute nel documento finale prodotto dallo specifico gruppo di approfondimento tecnico (GAT); • dare mandato alla DGS, in collaborazione con le ASL di riferimento territoriale ed AREU, di definire entro il 30 giugno 2013, sulla base della casistica attuale (2012), un piano di ridefinizione della rete delle predette specialità sulla base dei seguenti criteri, non esaustivi, quali - quantitativi e nel rispetto di aspetti generali relativi ad attività rese in emergenza urgenza, assetto accreditato complessivo, ampiezza e contiguità territoriale, popolazione residente, accessibilità ai servizi, casistica oncologica (per la chirurgia toracica e la neurochirurgia), caratteristiche geomorfologiche del territorio, direttrici di mobilità e sulla base di macroaree interessanti circa 2.000.000 di abitanti e garantendo gli standard di accesso temporale: • emodinamiche: esecuzione di almeno 250 procedure di angioplastica all’anno; • cardiochirurgie: esecuzione di almeno 300 procedure in circolazione extracorporea all’anno; • chirurgie vascolari: almeno 200 interventi chirurgici annui al netto di interventi sulle varici venose degli arti inferiori; • neurochirurgie: almeno 200 interventi chirurgici annui al netto degli interventi per artrodesi vertebrali; • chirurgie toraciche: almeno 200 interventi chirurgici annui; Richiamati inoltre: • la d.g.r.",,
12,VIII/10804 del 16 dicembre 2009 in particolare dove norma la macroattività chirurgia a bassa intensità operativa ed assistenziale (BIC); • la d.g.r.,,
13,"IX/937 del 1 dicembre 2010 in particolare dove norma la macroattività ambulatoriale ad alta complessità assistenziale (MAC); • il patto per la Salute 2010 – 2012 allegato B di cui all’articolo 6, comma 5 dove vengono elencati i 108 DRG ad alto rischio di inappropriatezza di erogazione in regime di ricovero; Ritenuto quindi di: • perseguire l’obiettivo di ridurre ulteriormente la casistica afferente ai predetti 108 DRG trattata in regime di ricovero;",,
14,–4–,,
15,Bollettino Ufficiale,,
16,"Serie Ordinaria n. 2 - Giovedì 10 gennaio 2013 te e sostanziale del presente provvedimento, contenente nuove procedure da erogarsi in regime di BIC a partire dalle prestazioni prenotate dal 1 febbraio 2013; Richiamata infine la d.g.r.",,
17,"IX/4334 del 26 ottobre 2012 in particolare dove prevede che venga approvato entro il 31 dicembre 2012 un elenco di procedure chirurgiche che anche in regime di ricovero possono essere effettuate da un unico operatore; Ritenuto quindi di approvare l’allegato b), parte integrante e sostanziale del presente provvedimento, contenente le procedure che anche in regime di ricovero possono essere effettuate da un unico operatore dal 1 gennaio 2013; Preso atto che le precedenti 2 disposizioni sono state condivise con il Gruppo di Lavoro Accreditamento, Appropriatezza e Controlli; Vagliate ed assunte come proprie le predette determinazioni; A voti unanimi espressi nelle forme di legge; DELIBERA per le motivazioni indicate in premessa e qui integralmente richiamate: 1.",,
18,"Di dare indicazione affinché, così come già prevedono le modalità di compilazione dei modelli informativi ministeriali HSP12 ed HSP13 – quadro E, i letti indicati al 1 gennaio di ogni anno siano esclusivamente quelli realmente ed oggettivamente disponibili, conteggiabili da parte degli ispettori ASL, per erogare prestazioni a contratto per il SSR sia per pazienti regionali che extra regionali; 2.",,
19,"Di prendere atto che sulla base della versione disponibile, alla data di approvazione del presente provvedimento, della bozza del regolamento recante: «Definizione degli standard qualitativi, strutturali, tecnologici e quantitativi relativi all’assistenza ospedaliera, in attuazione dell’articolo 1, comma 169 della legge 30 dicembre 2004, n. 311» e dell’articolo 15, comma 13, lettera c) del decreto-legge 6 luglio 2012, n. 95 convertito, con modificazioni, dalla legge 7 agosto 2012, n. 135», i posti letto effettivamente operanti e messi a carico del SSR rispettano già oggi, dati i criteri di calcolo contenuti nel sopracitato regolamento ministeriale, l’indice massimo di 3,84 posti letto per mille abitanti, ivi compresa l’osservanza della ripartizione tra letti per acuti e letti riabilitativi; 3.",,
20,"Di stabilire di: • procedere ad una revisione della rete delle emodinamiche, dei punti nascita, delle radioterapie e delle alte specialità (cardiochirurgia, neurochirurgia, chirurgia toracica e chirurgia vascolare) secondo criteri di appropriatezza, numerosità e tipologia di procedure con l’obiettivo di promuovere ulteriormente la qualità della nostra rete ospedaliera; • prendere atto e di fare in larga parte proprie le indicazioni quali quantitative formulate rispetto alle attività chirurgiche attese, sulla base di criteri orientati alla sicurezza ed alla efficacia delle procedure, nelle discipline sopra elencate.",,
21,"Le predette indicazioni sono contenute nei documenti conclusivi dei GAT (gruppi di approfondimento tecnico), disponibili agli atti presso la DG Sanità, che hanno riguardato l’area materno / infantile, la radioterapia e l’area cerebrocardiovascolare; • provvedere ad una riorganizzazione della rete ospedaliera, nello specifico le specialità già individuate dalla sopra citata d.g.r.",,
22,"IX/3976/12, senza ridurre i servizi oggi resi ai cittadini ma riducendo i punti di offerta di alcune delle discipline sopra ricordate incentivando e favorendo nelle strutture coinvolte da questa riorganizzazione la focalizzazione su altre discipline ritenute più utili dal punto di vista del fabbisogno espresso dalla popolazione; • mantenere inalterata l’attuale offerta relativa alle unità operative di radioterapia sulla base delle risultanze dello specifico gruppo di approfondimento tecnico (GAT) che ha visti coinvolti con i funzioni della DG Sanità i rappresentanti espressi dai radioterapisti; • provvedere, entro il 31 dicembre 2013 e considerando le peculiarità dei bacini di utenza montani e/o caratterizzati da particolari difficoltà viabilistiche, alla riorganizzazione dei punti nascita secondo le indicazioni contenute nelle «Linee di indirizzo per la promozione ed il miglioramento della qualità, della sicurezza e dell’appropriatezza degli interventi assistenziali nel percorso nascita e per la riduzione del taglio cesareo» approvate con specifico accordo stato regioni il 16 dicembre 2010 e quelle contenute nel",,
23,profondimento tecnico (GAT);,,
24,"• dare mandato alla DGS, in collaborazione con le ASL di",,
25,"riferimento territoriale ed AREU, di definire entro il 30 giugno 2013, sulla base della casistica attuale (2012), un piano di ridefinizione della rete delle predette specialità sulla base dei seguenti criteri, non esaustivi, quali - quantitativi e nel rispetto di aspetti generali relativi ad attività rese in emergenza urgenza, assetto accreditato complessivo, ampiezza e contiguità territoriale, popolazione residente, accessibilità ai servizi, casistica oncologica (per la chirurgia toracica e la neurochirurgia), caratteristiche geomorfologiche del territorio, direttrici di mobilità, sulla base di macroaree interessanti circa 2.000.000 di abitanti e garantendo gli standard di accesso temporale: • emodinamiche: esecuzione di almeno 250 procedure di angioplastica all’anno; • cardiochirurgie: esecuzione di almeno 300 procedure in circolazione extracorporea all’anno; • chirurgie vascolari: almeno 200 interventi chirurgici annui al netto di interventi sulle varici venose degli arti inferiori; • neurochirurgie: almeno 200 interventi chirurgici annui al netto degli interventi per artrodesi vertebrali; • chirurgie toraciche: almeno 200 interventi chirurgici annui; 4.",,
26,"Di approvare gli allegati a) e b), parte integrante e sostanziale del presente provvedimento, relativi rispettivamente all’integrazione dell’elenco delle procedure da effettuarsi in BIC a partire dalle prenotazioni del 1 febbraio 2013 e all’elenco delle procedure che, anche in regime di ricovero, possono essere effettuate da un unico operatore dal 1 gennaio 2013; 5.",,
27,Di disporre la pubblicazione del presente provvedimento sul BURL e sul sito Internet della Direzione Generale Sanità.,,
28,II segretario: Marco Pilloni ——— • ———,,
29,Bollettino Ufficiale,,
30,–5– Serie Ordinaria n. 2 - Giovedì 10 gennaio 2013 ALLEGATO A,,
31,Branca,,
32,Nota Codice,,
33,ORT/CH PL/NCH ORT/CH PL/NCH OC,,
34,IHca,,
35,04.44,,
36,IHca,,
37,05.29,,
38,IHca,,
39,13.19,,
40,OC,,
41,IHca,,
42,13.70,,
43,OC,,
44,IHca,,
45,13.71,,
46,OC,,
47,IHca,,
48,13.72,,
49,OC,,
50,IHca,,
51,13.8,,
52,ORL,,
53,IHca,,
54,18.31,,
55,ORL,,
56,IHca,,
57,18.39,,
58,ORL,,
59,IHca,,
60,21.5,,
61,ORL,,
62,IHca,,
63,21.61,,
64,ORL,,
65,IHca,,
66,21.62,,
67,ORL,,
68,IHca,,
69,21.69,,
70,ODT,,
71,IHca,,
72,24.2,,
73,ODT,,
74,IHca,,
75,24.5,,
76,ORL/CH,,
77,IHca,,
78,30.09,,
79,PNM,,
80,IHca,,
81,33.27,,
82,CH,,
83,IHca,,
84,49.39,,
85,CH,,
86,IHca,,
87,53.01,,
88,"Descrizione LIBERAZIONE DEL TUNNEL TARSALE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ALTRE SIMPATECTOMIE E GANGLIECTOMIE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ALTRA ESTRAZIONE INTRACAPSULARE DEL CRISTALLINO - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo INSERZIONE DI CRISTALLINO ARTIFICIALE, SAI - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo INSERZIONE DI CRISTALLINO ARTIFICIALE INTRAOCULARE AL MOMENTO DELLA ESTRAZIONE DI CATARATTA, ESEGUITI IN CONTEMPORANEA - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo IMPIANTO SECONDARIO DI CRISTALLINO ARTIFICIALE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RIMOZIONE DI CRISTALLINO IMPIANTATO - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ASPORTAZIONE RADICALE DI LESIONE DELL’ORECCHIO ESTERNO - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ALTRA ASPORTAZIONE DELL’ORECCHIO ESTERNO - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RESEZIONE SOTTOMUCOSA DEL SETTO NASALE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo TURBINECTOMIA MEDIANTE DIATERMIA O CRIOCHIRURGIA - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo FRATTURA DEI TURBINATI - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ALTRA TURBINECTOMIA - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo GENGIVOPLASTICA - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ALVEOLOPLASTICA - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ALTRA ASPORTAZIONE O DEMOLIZIONE DI LESIONE O TESSUTO DELLA LARINGE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo BIOPSIA ENDOSCOPICA DEL POLMONE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ALTRA ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONE O TESSUTO DELL’ANO - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RIPARAZIONE MONOLATERALE DI ERNIA INGUINALE DIRETTA - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo",,
89,DRG a rischio inappropriatezza (Patto per la Salute 2010-2012) 225 Allegato A,,
90,DRG di provenienza,,
91,Tariffa 1.816 2.075,,
92,"007, 008",,
93,Allegato B,,
94,839,,
95,039,,
96,Allegato A,,
97,843,,
98,039,,
99,Allegato B,,
100,850,,
101,039,,
102,Allegato A,,
103,848,,
104,039,,
105,Allegato A,,
106,847,,
107,039,,
108,Allegato A,,
109,1.368,,
110,055,,
111,Allegato B,,
112,1.373,,
113,055,,
114,Allegato B,,
115,1.373,,
116,055,,
117,Allegato B,,
118,1.381,,
119,055,,
120,Allegato B,,
121,1.382,,
122,055,,
123,Allegato B,,
124,1.381,,
125,055,,
126,Allegato B,,
127,1.366,,
128,"168, 169",,
129,Allegato B,,
130,1.359,,
131,"168, 169",,
132,Allegato B,,
133,1.376,,
134,055,,
135,Allegato B,,
136,2.362,,
137,"076, 077",,
138,Allegato B,,
139,1.194,,
140,"157, 158",,
141,Allegato B,,
142,1.118,,
143,"162, 163",,
144,Allegato A,,
145,–6–,,
146,Bollettino Ufficiale,,
147,Serie Ordinaria n. 2 - Giovedì 10 gennaio 2013,,
148,Branca,,
149,Nota Codice,,
150,CH,,
151,IHca,,
152,53.02,,
153,CH,,
154,IHca,,
155,53.03,,
156,CH,,
157,IHca,,
158,53.04,,
159,CH,,
160,IHca,,
161,53.05,,
162,CH,,
163,IHca,,
164,53.21,,
165,CH,,
166,IHca,,
167,53.29,,
168,CH,,
169,IHca,,
170,53.41,,
171,CH,,
172,IHca,,
173,53.49,,
174,URO,,
175,IHca,,
176,57.33,,
177,CH,,
178,IHca,,
179,63.1,,
180,CH,,
181,IHca,,
182,63.2,,
183,GIN/ OST GIN/ OST GIN/ OST GIN/ OST GIN/ OST ORT/CH PL/NCH ORT/CH PL/NCH ORT/CH PL/NCH ORT/CH PL/NCH,,
184,IHca,,
185,65.91,,
186,IHca,,
187,67.2,,
188,IHca,,
189,67.32,,
190,IHca,,
191,67.39,,
192,IHca,,
193,68.29,,
194,IHca,,
195,77.51,,
196,IHca,,
197,78.60,,
198,IHca,,
199,78.61,,
200,IHca,,
201,78.62,,
202,"Descrizione RIPARAZIONE MONOLATERALE DI ERNIA INGUINALE INDIRETTA - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RIPARAZIONE MONOLATERALE DI ERNIA INGUINALE DIRETTA CON INNESTO O PROTESI - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RIPARAZIONE MONOLATERALE DI ERNIA INGUINALE INDIRETTA CON INNESTO O PROTESI - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RIPARAZIONE MONOLATERALE DI ERNIA INGUINALE CON INNESTO O PROTESI, SAI - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RIPARAZIONE MONOLATERALE DI ERNIA CRURALE CON INNESTO O PROTESI - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ALTRA ERNIORRAFIA CRURALE MONOLATERALE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RIPARAZIONE DI ERNIA OMBELICALE CON PROTESI - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ALTRA ERNIORRAFIA OMBELICALE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo CISTOSCOPIA [TRANSURETRALE] CON BIOPSIA - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ASPORTAZIONE DI VARICOCELE E IDROCELE DEL CORDONE SPERMATICO - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ASPORTAZIONE DI CISTI DELL’EPIDIDIMO O SPERMATOCELE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ASPIRAZIONE DELL’OVAIO - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo CONIZZAZIONE DELLA CERVICE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo DEMOLIZIONE DI LESIONE DELLA CERVICE MEDIANTE CAUTERIZZAZIONE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ALTRA ASPORTAZIONE O DEMOLIZIONE DI LESIONE O TESSUTO DELLA CERVICE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ALTRA ASPORTAZIONE O DEMOLIZIONE DI LESIONE DELL’UTERO - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ASPORTAZIONE DI BORSITE CON CORREZIONE DEI TESSUTI MOLLI ED OSTEOTOMIA DEL PRIMO METATARSO - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RIMOZIONE DI DISPOSITIVO IMPIANTATO, SEDE NON SPECIFICATA - Incluso: visita anestesiologica ed anestesia, esami preintervento, intervento, medicazioni, rimozioni punti, visita di controllo RIMOZIONE DI DISPOSITIVO IMPIANTATO DA SCAPOLA, CLAVICOLA E TORACE (COSTE E STERNO) - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RIMOZIONE DI DISPOSITIVO IMPIANTATO DALL’OMERO - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo",,
203,1.063,,
204,"DRG a rischio inappropriatezza (Patto per la Salute 2010-2012) 162, 163 Allegato A",,
205,1.122,,
206,161-163,,
207,Allegato B,,
208,1.120,,
209,161-163,,
210,Allegato B,,
211,1.114,,
212,161-163,,
213,Allegato B,,
214,1.120,,
215,"162, 163",,
216,Allegato A,,
217,1.105,,
218,"162, 163",,
219,Allegato A,,
220,"1.502 159, 160, 163",,
221,Allegato A,,
222,1.467,,
223,"160, 163",,
224,Allegato A,,
225,"310, 311, 344, 345, 365 1.472 338-340",,
226,Allegato B,,
227,1.580,,
228,338-340,,
229,Allegato B,,
230,"354,355, 357-359 1.114 363, 364, 375",,
231,Allegato B,,
232,DRG di provenienza,,
233,Tariffa,,
234,1.335,,
235,2.096,,
236,Allegato B,,
237,Allegato B,,
238,981,,
239,"360, 375",,
240,Allegato B,,
241,974,,
242,"360, 375",,
243,Allegato B,,
244,2.133,,
245,Allegato B,,
246,1.978,,
247,"354, 355, 357-359 225",,
248,Allegato A,,
249,2.333,,
250,"537, 538",,
251,Allegato B,,
252,2.306,,
253,"537, 538",,
254,Allegato B,,
255,2.332,,
256,"537, 538",,
257,Allegato B,,
258,Bollettino Ufficiale,,
259,–7– Serie Ordinaria n. 2 - Giovedì 10 gennaio 2013,,
260,Branca,,
261,Nota Codice,,
262,ORT/CH PL/NCH ORT/CH PL/NCH ORT/CH PL/NCH ORT/CH PL/NCH ORT/CH PL/NCH ORT/CH PL/NCH ORT/CH PL/NCH ORT/CH PL/NCH ORT/CH PL/NCH ORT/CH PL/NCH ORT/CH PL/NCH ORT/CH PL/NCH ORT/CH PL/NCH CH,,
263,IHca,,
264,78.63,,
265,IHca,,
266,78.64,,
267,IHca,,
268,78.65,,
269,IHca,,
270,78.66,,
271,IHca,,
272,78.67,,
273,IHca,,
274,78.68,,
275,IHca,,
276,78.69,,
277,IHca,,
278,80.20,,
279,IHca,,
280,82.35,,
281,IHca,,
282,83.39,,
283,IHca,,
284,84.01,,
285,IHca,,
286,84.02,,
287,IHca,,
288,84.11,,
289,IHca,,
290,85.20,,
291,CH,,
292,IHca,,
293,85.21,,
294,CH PL/ DER CH PL,,
295,IHca,,
296,86.4,,
297,IHca,,
298,86.60,,
299,CH PL,,
300,IHca,,
301,86.61,,
302,CH PL,,
303,IHca,,
304,86.62,,
305,CH PL,,
306,IHca,,
307,86.63,,
