sentence number,sentence,value (0/1)
11,Preso atto che per tutti i corpi idrici elencati al punto precedente la classificazione del Piano di Gestione indica uno stato complessivo attuale «buono» con obiettivo ecologico e chimico «buono» al 2015; Dato atto che le derivazioni Edison presenti nel bacino della Val Belviso e nei Torrenti Bondone e Caronella sono le seguenti: ID PRESA 1,,
12,NOME CORSO D’ACQUADERIVAZIONE Torrente Belviso Diga di Frera,,
13,IMPIANTO IDROELETTRICO INTERESSATO Ganda,,
14,DMV SPERIMENTALE 0,,
15,2,,
16,Valle Soffia,,
17,Ganda,,
18,3,,
19,Valle Nembra,,
20,Ganda,,
21,4,,
22,Valle del Latte,,
23,Ganda,,
24,5,,
25,Valle Carognera,,
26,Ganda,,
27,6 7 8 9,,
28,Valle Magnola Valle Frotto Valle Lavazza Valle Aperta Torrente Belviso Diga di Ganda Torrente Aprica Torrente Caronella presa superiore Torrente Caronella presa inferiore Torrente Bondone presa superiore Torrente Bondone presa inferiore,,
29,Ganda Ganda Ganda Ganda,,
30,fluente (media annua 36 l/s) fluente (media annua 24 l/s) 0 fluente (media annua 39 l/s) 0 0 0 0,,
31,Belviso,,
32,147 l/s,,
33,10 11 12 13 14 15,,
34,Belviso,,
35,0,,
36,Ganda,,
37,30 l/s,,
38,Belviso,,
39,0,,
40,Ganda,,
41,20 l/s,,
42,Belviso,,
43,16 l/s,,
44,"Precisato, con riferimento alla tabella precedente, che:",,
45,• la sperimentazione prevede che non sia rilasciata alcuna,,
46,portata a valle dell’opera di presa n. 1 «Diga di Frera» e che il relativo DMV sia garantito attraverso la dismissione delle derivazioni nn.,,
47,"2 «Soffia», 3 «Nembra» e 5 «Carognera», i cui contributi medi naturali annui complessivamente ammontano a 99 l/s;",,
48,"• il valore del DMV sperimentale a valle della derivazione n. 10 «Diga di Ganda», pari a 147 l/s, è stato stabilito in seguito agli approfondimenti effettuati nella prima fase sperimentale ai sensi di quanto indicato dal ddg 8190/2009;",,
49,• gli atti relativi alla sperimentazione non sono intervenuti,,
50,sui mancati rilasci di DMV dalle derivazioni nn.,,
51,"4-6-7-8-911, limitandosi a recepire quanto stabilito in sede di adeguamento degli impianti ed in applicazione del principio di compensazione da parte del precedente decreto del Dirigente dell’Unità Organizzativa STER Sondrio n. 15499 del 22 dicembre 2008;",,
52,Bollettino Ufficiale,,
53,– 37 – Serie Ordinaria n. 5 - Lunedì 28 gennaio 2013,,
54,• lo stesso dduo 15499/2008 prevedeva l’applicazione,,
55,del principio di compensazione anche per le derivazioni nn.,,
56,2-3-5-13-15; • in seguito agli approfondimenti conoscitivi effettuati ai sensi del d.d.g.,,
57,"10461/2010 nel tratto terminale del T. Caronella, sulla base di prove e verifiche in diversi regimi di portata, comprendenti anche misure effettuate in occasione di precipitazioni atmosferiche di entità considerevole, è stato stabilito in accordo con il Tavolo tecnico (cfr. verbale incontro del 18 ottobre 2011) di non dover imporre alcun rilascio di DMV, in quanto si è constatato che - anche in condizioni idrologicamente abbondanti - l’acqua rilasciata si infiltra in subalveo poche centinaia di metri a valle della forra, rendendo impossibile il mantenimento della continuità idraulica attraverso rilasci di portate nell’ordine di grandezza del DMV idrologico; • in seguito agli approfondimenti conoscitivi effettuati ai sensi del ddg 10461/2010 nel tratto terminale del T. Bondone, è stato stabilito in accordo con il Tavolo tecnico (cfr. verbale incontro del 18 ottobre 2011) di attuare un rilascio di DMV sperimentale fissato in 16 l/s al fine di verificare se tale portata consenta di garantire la continuità idraulica fino all’immissione in Adda; • le derivazioni nn.",,
58,"12 «Caronella superiore» e 14 «Bondone superiore» non sono state inserite nel programma sperimentale e sono quindi soggette ai rilasci di DMV stabiliti dal citato dduo STER Sondrio 15499/2008 e riportati in tabella; Preso atto che la sperimentazione non interessa direttamente alcun sito appartenente alla Rete Natura 2000, mentre la porzione superiore del tratto del T. Belviso compreso tra l’invaso di Frera e l’invaso di Ganda è incluso nel Parco regionale delle Orobie Valtellinesi; Dato atto che: • durante la prima fase sperimentale sono stati effettuati sul T. Belviso monitoraggi di indicatori biologici (macroinvertebrati, diatomee, fauna ittica) e chimico-fisici, attraverso l’applicazione dei rispettivi indici di qualità ai sensi del DM 260/2010, oltre a misure di portata ed approfondimenti sull’habitat acquatico e spondale, presso le seguenti stazioni di monitoraggio: COD.",,
59,STAZIONE BEL1 BEL2 BEL3 BEL4,,
60,COMUNI Teglio e Aprica Teglio e Aprica Teglio Teglio,,
61,LOCALITA’ San Paolo Ganda Carona Foce Adda,,
62,"• oltre alle stazioni specificate nella precedente tabella, nel",,
63,"corso della sperimentazione sono stati effettuati campionamenti e indagini anche nei seguenti tratti: −− nel tratto iniziale del T. Belviso immediatamente a valle della confluenza del T. Soffia (tratto denominato BEL0), durante la stagione estiva 2011 sono state effettuate indagini integrative attraverso campionamenti di macrobenthos e verifiche sulla presenza di ittiofauna, secondo quanto stabilito in sede di Tavolo tecnico negli incontri del 5 aprile 2011 e del 4 maggio 2011; −− sui Torrenti Caronella e Bondone, a valle delle rispettive prese inferiori, sono stati effettuati approfondimenti tecnici conoscitivi in ottemperanza a quanto disposto dal d.d.g.",,
64,"10461/2010; • in località San Paolo in corrispondenza della stazione BEL1, come prescritto dal ddg 8190/2009, è stata realizzata una soglia munita di apposita asta idrometrica al fine di effettuare il monitoraggio dei deflussi presenti in alveo; Dato atto che: • il d.d.g 8190/2009, coerentemente con quanto previsto dalle Linee Guida, prevedeva un primo periodo sperimentale di durata triennale al termine del quale, sulla base della valutazione dei risultati, stabilire le modalità di prosecuzione della sperimentazione, con durata massima complessiva pari a 6 anni; • il successivo d.d.g.",,
65,"10461/2010 ha esteso la sperimentazione anche ai tratti terminali dei Torrenti Belviso, Caronella e Bondone, stabilendo anche in tali ambiti di indagine l’allineamento delle medesime scadenze temporali; • nelle date 2 marzo 2010, 15 luglio 2010, 30 novembre 2010,",,
66,"zo 2012, 25 ottobre 2012 si sono svolti incontri del Tavolo tecnico durante i quali sono stati commentati i monitoraggi effettuati sulla base dello stato di avanzamento e sono state discusse problematiche specifiche inerenti diversi aspetti della sperimentazione; • in particolare, al termine del primo e del secondo anno di attività il Proponente ha predisposto e consegnato a tutti i referenti del Tavolo tecnico i report annuali delle attività «Monitoraggio biologico dei corsi d’acqua della Val Belviso - risultati per l’anno 2010» e «Sperimentazione del DMV in Val Belviso a valle delle opere di presa Edison - risultati per l’anno 2011», poi illustrati e discussi in sede di Tavolo tecnico; • come richiesto dal Tavolo tecnico inoltre, in occasione della seduta del 4 maggio 2011, il Proponente ha depositato e presentato il documento »Valutazione dell’efficacia del rilascio del DMV idrologico dalle prese basse dei Torrenti Bondone e Caronella»; • in occasione dell’ultima riunione del Tavolo tecnico tenutasi presso la sede della Regione Lombardia-DG Ambiente, Energia e Reti il 25 ottobre 2012 è stata presentata e discussa la relazione triennale «Sperimentazione del DMV in Val Belviso a valle delle opere di presa Edison – Rapporto finale del triennio 2009-2012», inviata dal Proponente a tutti i referenti del Tavolo tecnico in data 5 ottobre 2012; • in data 26 ottobre 2012 infine il Proponente ha inviato a tutti i referenti del Tavolo tecnico, a titolo di integrazione, un ulteriore documento intitolato «Il Torrente Belviso a monte del primo punto di monitoraggio» quale nota di dettaglio relativa alle dimensioni ed alle condizioni idrauliche del primo tratto di T. Belviso, appena a valle della diga di Frera; Preso atto che il Proponente durante l’incontro del Tavolo tecnico del 25 ottobre 2012 ha esplicitato le proprie richieste per la valutazione della sperimentazione, secondo quanto riportato nel verbale dell’incontro stesso e di seguito qui richiamato: • per quanto riguarda il T. Belviso, tutti gli obiettivi sono da considerare raggiunti e di conseguenza si chiede di rendere definitivi i valori sperimentali attuati durante la sperimentazione e le modalità di rilascio del DMV; • per quanto riguarda la derivazione bassa sul T. Caronella, si chiede che sia ratificata la decisione già assunta nel corso dei lavori del Tavolo tecnico relativa alla non necessità di attuare alcun rilascio, preso atto che qualunque fosse l’entità dello stesso risulterebbe inutile; • per quanto riguarda la derivazione bassa sul T. Bondone, si chiede che anche in questo caso non sia rilasciato alcun DMV, in quanto la portata sperimentale pari a 16 l/s si è rivelata inefficace al mantenimento della continuità idraulica ed inoltre il tratto interessato dai rilasci comunque non consentirebbe di perseguire obiettivi di tipo ecologico; Considerato che il Comitato di valutazione ha chiesto a tutti i referenti del Tavolo tecnico di fare pervenire i propri pareri sulla documentazione presentata da parte di Edison e alle relative richieste presentate in sede di Tavolo tecnico per la valutazione della prima fase sperimentale; Preso atto che sono pervenuti pareri da parte dei seguenti soggetti: • Ster sondrio, con nota prot.",,
67,"AE11.2012.4669 del 12 novembre 2012; • Provincia di Sondrio, con nota prot.",,
68,"2012/35357 del 16 novembre 2012; • Unione Pesca Sportiva di Sondrio, con nota prot.",,
69,"368/2012 del 19 novembre 2012; Considerato che la DG Ambiente, Energia e Reti con nota n. T1.2012.7829 del 17 aprile 2012 ha formalmente richiesto ad ARPA Lombardia di supportare, con proprio contributo specialistico, l’attività del Comitato di Valutazione nell’interpretazione dei dati relativi alle sperimentazioni DMV; Preso atto del parere trasmesso da ARPA Lombardia con nota prot. gen. n. 167781 del 30 novembre 2012, quale contributo tecnico-scientifico ai lavori del Comitato di Valutazione, redatto anche sulla base dei contributi dei propri rappresentanti nel Tavolo tecnico; Ritenuto, sulla base dell’istruttoria tecnica effettuata dal Comitato di Valutazione avvalendosi del contributo e del supporto di ARPA Lombardia e considerati anche i pareri espressi, per quanto di rispettiva competenza, dai referenti del Tavolo tecnico, che:",,
70,– 38 –,,
71,Bollettino Ufficiale,,
72,Serie Ordinaria n. 5 - Lunedì 28 gennaio 2013 giunti dai parametri indagati nelle 4 stazioni di monitoraggio BEL1-BEL2-BEL3-BEL4 sul T. Belviso;,,
73,"mità rispetto alle metodiche di campionamento indicate da ARPA Lombardia, i risultati dei monitoraggi siano affetti da basso livello di incertezza;",,
74,"• di conseguenza, presso le 4 stazioni di monitoraggio sul T. Belviso, gli obiettivi della sperimentazione possano essere considerati sostanzialmente raggiunti;",,
75,• permangono alcune necessità di approfondimento conoscitivo in relazione ai seguenti aspetti:,,
76,"−− mantenimento delle condizioni di continuità idraulica nel tratto iniziale a valle della diga di Frera, identificato come tratto BEL0; −− stato qualitativo del T. Belviso a valle della confluenza del T. Aprica, nel quale recapita l’omonimo depuratore, durante i periodi ad alta affluenza turistica; Valutato di conseguenza, per quanto riguarda le derivazioni sul T. Belviso, che:",,
77,• non sia necessaria la prosecuzione delle attività di monitoraggio degli indicatori chimico-fisici e biologici;,,
78,"• per quanto riguarda il Tratto 1 del T. Belviso, compreso tra gli invasi di Frera e Ganda:",,
79,"−− fatto salvo quanto precisato al punto successivo, siano confermate le modalità di attuazione del DMV sperimentale, attraverso la non captazione dalle prese nn.",,
80,"2 «Soffia», 3 «Nembra» e 5 «Carognera»; −− presso il tratto denominato BEL0, debbano essere ulteriormente indagate le condizioni di continuità idraulica, con contestuali indagini sulla presenza di ittiofauna, attraverso l’effettuazione di verifiche degli effetti di rilasci temporanei integrativi dall’invaso di Frera mediante apposita tubazione fino al termine del tratto di canale artificiale, di entità pari ad almeno 40 l/s, nel periodo compreso tra il 1 dicembre ed il 31 marzo;",,
81,"• per quanto riguarda il Tratto 2 del T. Belviso, compreso tra l’invaso di Ganda e la confluenza in Adda:",,
82,"−− sia confermata l’entità del rilascio del DMV sperimentale dalla derivazione n. 10 «Diga di Ganda», pari a 147 l/s; −− sia necessario che il Proponente definisca un miglior metodo di attuazione, verifica e controllo delle portate rilasciate, da validare in sede di Tavolo tecnico; −− a tal fine, la stazione automatica gestita dal Proponente per la misura del livello, utilizzata per la determinazione delle portate alla stazione BEL3, sia dotata di asta idrometrica e mantenuta in efficienza mediante pulizie periodiche; siano inoltre adeguatamente documentate la curva di durata delle portate e l’incertezza di misura complessiva presso la stazione BEL3; −− siano effettuati a cura del Proponente approfondimenti nel tratto di T. Belviso a valle della confluenza del T. Aprica durante i periodi a maggiore affluenza turistica, con indagini qualitative attraverso l’applicazione di tutti i macrodescrittori compresi nell’indice LIM, secondo un programma da concordare in sede di Tavolo tecnico; Valutato inoltre, per quanto riguarda le prese inferiori sul T. Caronella (derivazione n. 13) e sul T. Bondone (derivazione n. 15), che:",,
83,"feriore», si debba prendere atto dell’inefficacia di rilasci dell’ordine del DMV idrologico e pertanto sia da confermare la decisione già assunta in sede di Tavolo tecnico relativamente alla non necessità di rilascio di alcun DMV;",,
84,• per quanto riguarda invece la derivazione n. 15 «Bondone,,
85,"inferiore», il rilascio in via sperimentale di una portata di 16 l/s, pari al 5% della media naturale annua, nel periodo invernale non si è rivelata efficace rispetto all’obiettivo di mantenimento in alveo di condizioni di continuità idraulica; si ritiene quindi necessario che – almeno nel periodo invernale compreso tra il 1 dicembre e il 31 marzo - sia incrementato lo scenario di rilascio del DMV almeno fino al valore della componente idrologica, pari a 32 l/s, e sia assicurata nell’intero corso dell’anno a cura del Proponente la verifica della continuità idraulica fino all’immissione nel F. Adda;",,
86,"Ritenuto di fissare entro l’autunno 2013 un momento di verifica, in sede di Tavolo tecnico, delle risultanze delle indagini disposte dal presente decreto, al fine di valutare l’eventuale necessità o meno di proseguire la sperimentazione anche nell’anno successivo; Demandata al Tavolo tecnico la definizione di tutti gli aspetti di dettaglio non specificati dal presente decreto; Dato atto che tutte le modifiche alla sperimentazione introdotte dal presente decreto avranno decorrenza dalla data della sua pubblicazione sul BURL; Dato atto che al termine della sperimentazione saranno stabiliti i valori di DMV da rilasciare a valle di ogni derivazione interessata; Vista la legge regionale 7 luglio 2008, n. 20 «Testo unico delle leggi regionali in materia di organizzazione e personale», nonché i Provvedimenti Organizzativi della IX Legislatura: DECRETA: 1.",,
87,Si prende atto del sostanziale raggiungimento degli obiettivi della sperimentazione presso le stazioni di monitoraggio BEL1-BEL2-BEL3-BEL4.,,
88,2.,,
89,Sono confermate le modalità di attuazione del DMV sperimentale dall’invaso di Frera attraverso la non captazione dalle prese nn.,,
90,"2 «Soffia», 3 «Nembra» e 5 «Carognera».",,
91,3.,,
92,"Presso il tratto del T. Belviso denominato BEL0 immediatamente a valle della confluenza del T. Soffia, dovranno essere indagate le condizioni di continuità idraulica, con contestuali indagini sulla presenza di ittiofauna, attraverso l’effettuazione di verifiche degli effetti di rilasci temporanei integrativi dall’invaso di Frera, di entità pari ad almeno 40 l/s, nel periodo compreso tra il 1 dicembre ed il 31 marzo, secondo quanto dettagliato in premessa.",,
93,4.,,
94,"È confermata l’entità del rilascio del DMV sperimentale dalla derivazione n. 10 «Diga di Ganda», pari a 147 l/s, a condizione che il Proponente definisca un miglior metodo di attuazione, verifica e controllo delle portate rilasciate, da validare in sede di Tavolo tecnico, secondo quanto dettagliato in premessa.",,
95,5.,,
96,"Dovranno essere effettuati a cura del Proponente approfondimenti nel tratto di T. Belviso a valle della confluenza del T. Aprica durante i periodi a maggiore affluenza turistica, con indagini qualitative attraverso l’applicazione di tutti i macrodescrittori compresi nell’indice LIM.",,
97,6.,,
98,Si conferma la decisione già assunta in sede di Tavolo tecnico relativamente alla non necessità di rilascio di alcun DMV presso la derivazione n. 13 «Caronella inferiore».,,
99,7.,,
100,"Nel periodo compreso tra il 1 dicembre e il 31 marzo dovrà essere incrementato lo scenario di rilascio del DMV presso la derivazione n. 15 «Bondone Inferiore» almeno fino a 32 l/s e, a cura del Proponente, dovrà essere assicurata nell’intero corso dell’anno la verifica della continuità idraulica fino all’immissione nel F. Adda.",,
101,8.,,
102,Tutte le modifiche alla sperimentazione disposte dal presente decreto avranno decorrenza a partire dalla data di pubblicazione sul BURL.,,
103,9.,,
104,"La definizione di tutti gli aspetti di dettaglio non specificate dal presente decreto è demandata al Tavolo tecnico, nell’ambito del quale sarà anche valutata entro l’autunno 2013 l’eventuale necessità o meno di proseguire la sperimentazione anche nell’anno successivo.",,
105,10.,,
106,Al termine della sperimentazione saranno stabiliti i valori di DMV da rilasciare a valle di ogni derivazione interessata.,,
107,11.,,
108,"Copia del presente decreto sarà trasmessa ad Edison s.p.a., alla Sede Territoriale di Sondrio, alla Provincia di Sondrio, al Parco regionale delle Orobie Valtellinesi e ad ARPA Lombardia.",,
109,12.,,
110,Il presente decreto sarà pubblicato sul BURL.,,
111,Il direttore generale Franco Picco,,
