sentence number,sentence,value (0/1)
21,Che la trasmissione dei dati relativi alle sperimentazioni cliniche debbano essere trasmesse con le modalità previste nell’allegato A Il dirigente u.o. governo dei servizi sanitari territoriali e politiche di appropriatezza e controllo Luca Merlino ——— • ———,,
22,Bollettino Ufficiale,,
23,– 15 – Serie Ordinaria n. 5 - Giovedì 31 gennaio 2013 ALLEGATO A,,
24,"Modalità di trasmissione della documentazione riguardante le sperimentazioni cliniche, nelle more della riattivazione dell’OsSC.",,
25,A seguito della nota AIFA del 21 dicembre 2012 (“Nuovi sistemi informativi e adempimenti relativi a sperimentazione clinica”) e al fine di ottemperare a quanto previsto dall’art.,,
26,"11 del d. l.vo 211/2003 in materia di trasmissione dei dati relativi alle sperimentazioni interventistiche, nelle more della riattivazione dell’Osservatorio, si comunicano le modalità di trasmissione della documentazione per la Regione Lombardia.",,
27,Le tempistiche di trasmissione sono le medesime previste dalla circolare AIFA.,,
28,"Tabella I della nota AIFA (sperimentazioni interventistiche: comunicazioni e notifiche da inviare a cura dei promotori o delle CRO delegate) Tutta la documentazione prevista dalla tabella I va trasmessa alla casella di posta certificata: sanita@pec.regione.lombardia.it. con oggetto: Sperimentazione clinica <titolo sperimentazione> presentata da: <nome proponente> - allegati <nome allegati, come da tabella I (es. domanda di sperimentazione, lista documentale ecc.)> .",,
29,"La documentazione deve essere presentata in un unico invio, allegando la documentazione pertinente indicata nella tabella I. La documentazione prevista come invio cartaceo deve essere inviata in formato .pdf.",,
30,"Ove la documentazione fosse trasmessa in momenti differenti dalla domanda iniziale (es. emendamenti, dichiarazione di conclusione ecc.) l’oggetto dovrà essere sempre: Sperimentazione clinica <titolo sperimentazione> presentata da: <nome proponente> - allegati <nome allegati, come da tabella I (emendamenti ecc.)> Tabella III (sperimentazioni interventistiche: comunicazioni e notifiche da inviare a cura dei Comitati etici) Tutta la documentazione prevista dalla tabella III va trasmessa, in formato .pdf, e nei tempi previsti dalla nota Aifa, alla casella di posta certificata: sanita@pec.regione.lombardia.it. con oggetto: CE di <nome ente> documenti <nome documento, come indicato nella tabella III (es. parere unico, emendamento sostanziale ecc.) sperimentazione <titolo sperimentazione> L’unica modalità di trasmissione di documentazione sarà quella informatica.",,
31,Non è previsto l’invio di materiale cartaceo.,,
32,La ricevuta della PEC rappresenterà prova dell’avvenuto invio della documentazione prevista dalla vigente normativa.,,
