sentence number,sentence,value (0/1)
23,"29 – decies comma 3 del d.lgs 152/06 e smi; Preso atto che i nuovi criteri stabiliti si applicheranno alle istruttorie relative ad istanze ovvero ai controlli ordinari avviati successivamente all’entrata in vigore del presente provvedimento; Ad unanimità dei voti espressi nelle forme di legge; DELIBERA richiamate le premesse che qui si intendono integralmente recepite: 1.  di aggiornare le modalità di determinazione delle tariffe da applicare in relazione alle istruttorie e ai controlli previsti dalla Parte Seconda del d.lgs 152/06 e smi; 2. di approvare, pertanto, l’Allegato 1 «modalità di determinazione delle tariffe da applicare in relazione alle istruttorie e ai controlli previsti dalla Parte Seconda del d.lgs 152/06 e smi.», parte integrante e sostanziale del presente provvedimento; 3.  di disporre che i nuovi criteri stabiliti si applicheranno alle istruttorie relative ad istanze ovvero ai controlli di cui all’art.",,
24,"29 – decies comma 3 del d.lgs 152/06 e s.m.i. avviati successivamente all’entrata in vigore del presente provvedimento di abrogare la d.g.r. del 7 agosto 2009 n. 10124 «adeguamento ed integrazione delle modalità, anche contabili, e delle tariffe da applicare in relazione alle istruttorie e ai controlli previsti dal d.lgs.",,
25,59/05 (art.,,
26,"9, comma 4, d.m.",,
27,24 aprile 2008)» e la successiva circolare di chiarimenti e precisazioni del 13 novembre 2009 n. 23327; 4.  di abrogare i punti 4) e 5) della d.g.r. n. 11287/2010 «ulteriori determinazioni in ordine alle modalità e alle tariffe per il rilascio delle autorizzazioni integrate ambientali in relazione alle attività produttive di cui al punto 6.6 dell’Allegato I al d.lgs 59/05; 5. di disporre la pubblicazione del presente provvedimento sul Bollettino Ufficiale di Regione Lombardia.,,
28,Il segretario: Marco Pilloni ——— • ———,,
29,– 56 –,,
30,Bollettino Ufficiale,,
31,Serie Ordinaria n. 2 - Venerdì 11 gennaio 2013 ALLEGATO 1 MODALITÀ DI DETERMINAZIONE DELLE TARIFFE DA APPLICARE ALLE ISTRUTTORIE E AI CONTROLLI IN MATERIA DI AUTORIZZAZIONE INTEGRATA AMBIENTALE,,
32,Sommario PARTE 1 – DISPOSIZIONI GENERALI – 1.,,
33,"Tariffa relativa all’istruttoria in caso di riesame (rif.: DM 24.04.2008, art.",,
34,"1, c. 1, lett.d) e art.",,
35,"2, c. 6) 2.",,
36,"Modalità di versamento per le tariffe delle istruttorie (rif.: DM 24.04.2008, art.",,
37,"5, c. 1) 3.",,
38,"Modalità di versamento delle tariffe dei controlli (rif.: DM 24.04.2008, art.",,
39,"6, commi 1 e 2) PARTE 2 – DETERMINAZIONE DELLA TARIFFE PER LE ISTRUTTORIE E I CONTROLLI DEL COMPARTO INDUSTRIALE E GESTIONE RIFIUTI A. CRITERI GENERALI B.",,
40,"CALCOLO DELLA TARIFFA CONNESSA A RILASCIO E MODIFICA SOSTANZIALE DELL’AUTORIZZAZIONE INTEGRATA AMBIENTALE (RIF.: DM 24.04.2008, ALLEGATO I)",,
41,"C. DETERMINAZIONE DELLE TARIFFE PER LE ISTRUTTORIE CONNESSE A RINNOVO DI AUTORIZZAZIONE INTEGRATA AMBIENTALE (RIF.: DM 24.04.2008, ALLEGATO II) D. DETERMINAZIONE DELLA TARIFFA PER LE ISTRUTTORIE IN CASO DI MODIFICHE NON SOSTANZIALI (RIF.: DM 24.04.2008, ALLEGATO III) E.",,
42,"TARIFFA RELATIVA ALLE ATTIVITÀ DA CONDURRE COMUNQUE IN OGNI CONTROLLO (RIF.: DM 24.04.2008, ALLEGATO IV)",,
43,F.,,
44,"TARIFFA RELATIVA AI CONTROLLI DERIVANTI DALLA EVENTUALE PROGRAMMAZIONE DI PRELIEVI ED ANALISI (RIF.: DM 24.04.2008, ALLEGATO V)",,
45,"PARTE 3 – DETERMINAZIONE DELLE TARIFFE PER LE ISTRUTTORIE E I CONTROLLI DEL COMPARTO ZOOTECNICO (ATTIVITA’ 6.6) A. CALCOLO DELLA TARIFFA CONNESSA A RILASCIO E MODIFICA SOSTANZIALE DELL’AUTORIZZAZIONE INTEGRATA AMBIENTALE (RIF.: DM 24.04.2008, ALLEGATO I) B.",,
46,"DETERMINAZIONE DELLE TARIFFE PER LE ISTRUTTORIE CONNESSE A RINNOVO DI AUTORIZZAZIONE INTEGRATA AMBIENTALE (RIF.: DM 24.04.2008, ALLEGATO II)",,
47,"C. DETERMINAZIONE DELLA TARIFFA PER LE ISTRUTTORIE IN CASO DI MODIFICHE NON SOSTANZIALI (RIF.: DM 24.04.2008, ALLEGATO III) D. TARIFFA RELATIVA ALLE ATTIVITÀ DI CONTROLLO (RIF.: DM 24.04.2008, ALLEGATO IV E V)",,
48,"PARTE 1 – DISPOSIZIONI GENERALI – Di seguito si riportano i criteri e le disposizioni generali in merito alle modalità di versamento delle tariffe e l’individuazione dei parametri necessari alla quantificazione della stessa, articolate nei punti da A a C facenti riferimento ai corrispondenti articoli di cui al DM 24.04.2008.",,
49,"Le indicazioni riportate ai punti successivi si applicano ad istanze di autorizzazione (nuovi impianti, modifiche sostanziali, rinnovi) e comunicazioni (modifiche non sostanziali che comportano l’aggiornamento dell’autorizzazione vigente) presentate dai Gestori di impianti soggetti ad Autorizzazione Integrata Ambientale (AIA) successivamente all’entrata in vigore del presente documento.",,
50,"Ai fini del calcolo della tariffa per le istruttorie secondo i criteri di seguito riportati, sono resi disponibili sul sito www.reti.regione.lombardia. it i fogli di calcolo appositamente predisposti.",,
51,1.,,
52,"Tariffa relativa all’istruttoria in caso di riesame (rif.: DM 24.04.2008, art.",,
53,"1, c. 1, lett.d) e art.",,
54,"2, c. 6)",,
55,"In caso di richiesta di riesame, ai sensi dell’art.29-octies comma 4 del D.Lgs.",,
56,"152/06 e smi, i costi istruttori sono a carico dell’Autorità Competente al rilascio/modifica dell’autorizzazione integrata ambientale.",,
57,2.,,
58,"Modalità di versamento per le tariffe delle istruttorie (rif.: DM 24.04.2008, art.",,
59,"5, c. 1)",,
60,All’istanza di autorizzazione integrata ambientale (D.Lgs.,,
61,"152/06, art.29-ter), di rinnovo (D.Lgs.",,
62,"152/06, art.29-octies) ed alla comunicazione di modifica (D.Lgs.",,
63,"152/06, art.29-nonies ) della stessa, deve essere allegata, con relativo report del foglio di calcolo, copia della quietanza dell’avvenuto pagamento dell’importo tariffario dovuto, ovvero dell’acconto secondo le modalità previste dall’Autorità competente.",,
64,Bollettino Ufficiale,,
65,– 57 – Serie Ordinaria n. 2 - Venerdì 11 gennaio 2013,,
66,"Qualora la tariffa corrisposta dal Gestore non risulti corrispondente ai criteri di calcolo definiti dal presente documento, anche a seguito di elementi emersi nel corso dell’istruttoria, l’Autorità Competente provvederà direttamente alla rideterminazione della tariffa medesima, procedendo, nel caso ai relativi conguagli.",,
67,"Laddove l’Autorità Competente preveda il versamento di un acconto, sarà la Stessa a determinare e a comunicare al Gestore l’importo della tariffa e del relativo saldo da versare da parte del Gestore.",,
68,3.,,
69,"Modalità di versamento delle tariffe dei controlli (rif.: DM 24.04.2008, art.",,
70,"6, commi 1 e 2)",,
71,Le tariffe relative alle attività di controllo di cui all’art.,,
72,3 del d.m.,,
73,24 aprile 2008 devono essere versate dai Gestori direttamente ad ARPA Lombardia con le seguenti modalità: a),,
74,"la quota fissa, di cui all’allegato IV al d.m.",,
75,"24 aprile 2008, così come adeguata alla Tabella L1 del presente Allegato, all’atto della comunicazione della visita ispettiva ordinaria da parte di ARPA Lombardia;",,
76,b),,
77,"la quota, di cui all’Allegato V al d.m.",,
78,"24 aprile 2008, così come adeguata alla Tabella M1 del presente Allegato, all’atto della comunicazione degli esiti di eventuali prelievi ed analisi, effettuati da ARPA Lombardia.",,
79,PARTE 2 – DETERMINAZIONE DELLA TARIFFE PER LE ISTRUTTORIE E I CONTROLLI DEL COMPARTO INDUSTRIALE E GESTIONE RIFIUTI A.,,
80,CRITERI GENERALI,,
81,I seguenti criteri si applicano a tutte le attività ad eccezione di quelle di cui al punto 6.6 “Impianti per l’allevamento intensivo di pollame o di suini” dell’allegato VIII alla Parte 2^ del D.Lgs.,,
82,"152/06 e s.m.i., per le quali si rimanda alla Parte III del presente Allegato.",,
83,"La tariffa è calcolata con riferimento all’intero stabilimento oggetto della domanda AIA, indipendentemente dal fatto che esso sia costituito da una o più attività IPPC o anche da attività non IPPC, tecnicamente connesse e non.",,
84,Al fine di individuare il numero di emissioni in atmosfera e scarichi e dei relativi inquinanti da utilizzare per il calcolo delle componenti tariffarie CAria e CH2O devono essere adottati i seguenti criteri: 1),,
85,Per i punti di emissione (in atmosfera e scarichi) Sono da considerare ‘significativi’ ai fini del calcolo della tariffa istruttoria:,,
86,2),,
87,a),,
88,"le emissioni in atmosfera progettate/esistenti soggette ad autorizzazione ai sensi della Parte Quinta del d.lgs 152/06 e smi, con l’eccezione delle fattispecie di cui agli art.",,
89,"272, comma 1 e 5 (emissioni scarsamente rilevanti);",,
90,b),,
91,"gli scarichi idrici progettati/esistenti, soggetti ad autorizzazione ai sensi della Parte III del d.Lgs 152/06 e smi e del R.R. n°4/06; vanno esclusi dal conteggio gli scarichi costituiti da: •",,
92,"acque meteoriche non soggette a R.R. n. 4/06, o acque reflue domestiche e assimilate ex RR n3/06;",,
93,•,,
94,scarichi di emergenza quali troppo pieni o valvole di sicurezza sugli allacciamenti alla pubblica fognatura;,,
95,•,,
96,scarichi di condensa di soli compressori o acque di raffreddamento indiretto di impianti produttivi o similari.,,
97,"Per gli inquinanti: Sono da considerare ‘significativi’ ai fini del calcolo della tariffa istruttoria, gli inquinanti soggetti a limiti ai sensi della normativa: a)",,
98,"in materia di scarichi idrici e contemplati nelle tabelle di cui all’Allegato 5 alla Parte Terza del d.lgs 152/06 e smi ad eccezione dei parametri chimico-fisici quali pH, temperatura, colore, odore, materiali grossolani, caratteristici del ciclo produttivo dell’attività in questione;",,
99,b),,
100,"in materia di emissioni in atmosfera e contemplati nelle tabelle di cui all’Allegato 1 alla Parte Quinta del d.lgs 152/06 e smi, caratteristici del ciclo produttivo dell’attività in questione.",,
101,"Fermo restando quanto riportato ai punti 1) e 2) di cui sopra, al fine dell’individuazione delle emissioni e degli inquinanti ‘significativi’ per il calcolo della tariffa, i Gestori di impianti già in possesso di AIA potranno utilizzare quanto riportato nel Piano di Monitoraggio (Quadro F) dell’autorizzazione in essere, tenendo conto delle ulteriori seguenti indicazioni:",,
102,"non vanno conteggiati gli inquinanti previsti ai fini conoscitivi (ad es. inquinanti per cui è previsto un monitoraggio limitato nel tempo al fine di verificarne la presenza); qualora il Piano di Monitoraggio non consenta una rapida identificazione degli inquinanti soggetti a controllo, o qualora l’AIA precedentemente rilasciata abbia fatto generico riferimento alle tabelle desunte dalle normative settoriali, si farà riferimento agli inquinanti individuati nel quadro delle emissioni autorizzate (Quadro E), ovvero, qualora non esplicitati, alle indicazioni contenute nel punto successivo (impianti nuovi o soggetti a modifica sostanziale).",,
103,"Il gestore dell’impianto IPPC, una volta individuati i punti di emissione e gli inquinanti significativi, calcola le componenti della tariffa per la verifica del rispetto della disciplina in materia di inquinamento atmosferico (CAria) e di inquinamento delle acque (CAria) nel seguente modo: •",,
104,"indipendentemente dalla attività IPPC o non IPPC cui sono associati, i punti di emissione verranno raggruppati, “per classi”, in base al numero di inquinanti emessi;",,
105,•,,
106,"ad ogni “classe” (ossia la combinazione di “numero di emissioni” e “numero di inquinanti”), facendo riferimento alle tabelle B e C del documento, sarà associata la tariffa corrispondente;",,
107,– 58 –,,
108,Bollettino Ufficiale,,
109,Serie Ordinaria n. 2 - Venerdì 11 gennaio 2013 •,,
110,la tariffa per la componente (CAria) o (CAria) verrà calcolata come sommatoria delle cifre ottenute per ogni raggruppamento.,,
111,B.,,
112,"CALCOLO DELLA TARIFFA CONNESSA A RILASCIO E MODIFICA SOSTANZIALE DELL’AUTORIZZAZIONE INTEGRATA AMBIENTALE (RIF.: DM 24.04.2008, ALLEGATO I)",,
113,"La Tariffa Finale relativa al rilascio dell’Autorizzazione Integrata Ambientale per nuovi impianti, impianti esistenti e modifiche sostanziali, ad eccezione delle attività di cui al punto 6.6 dell’All.VIII alla Parte Seconda del d.lgs 152/06 e smi, è determinata utilizzando la seguente formula:",,
114,TF = TI *K1 dove:,,
115,•,,
116,TI = CD – CDOM + CARIA + CH2O + CRP + CRNP + (CCA + CRI + COD + CST +CRA),,
117,•,,
118,K1: coefficiente moltiplicativo da determinare secondo le modalità riportate al punto 8 del presente paragrafo,,
119,Per l’individuazione dei coefficienti della formula si faccia riferimento a quanto riportato ai punti (1. – 8.) del presente paragrafo.,,
120,Tutte le cifre riportate nelle tabelle riferite alle tariffe sono espresse in euro.,,
121,"Sconto per certificazioni ambientali In caso di adozione da parte del Gestore dell’impianto, di certificazioni ambientali, alla Tariffa così calcolata si applicherà un ulteriore sconto (CSGA) secondo le modalità specificate al punto 6 del presente paragrafo.",,
122,"Modifica sostanziale In caso di Modifica sostanziale (come definita dalla dgr 2 febbraio 2012 n.2970) si applicano gli stessi criteri, tenendo presente che si considerano le attività interessate dalla modifica sostanziale ed i relativi impatti (emissioni, scarichi, inquinanti, rifiuti trattati), come indicato all’art.",,
123,"2 comma 4, del d.m.",,
124,24 aprile 2008.,,
125,1),,
126,"Costo istruttorio per acquisizione e gestione della domanda, per analisi delle procedure di gestione degli impianti e per la definizione delle misure relative a condizioni diverse da quelle di normale esercizio dell’impianto: CD Attività",,
127,"Impianti di cui all’Allegato VIII Parte Seconda del 152/06 s.m.i. , ad esclusione degli impianti di cui al punto 6.6 “Impianti per l’allevamento intensivo di pollami e di suini”",,
128,Tariffa,,
129,Tipologia impianto,,
130,2500,,
131,Impianti con attività ricadenti nel D.Lgs 334/99 e s.m.i. (art.6 e 8),,
132,2000,,
133,Grandi e Medie imprese,,
134,1000,,
135,Micro e Piccole imprese,,
136,"tabella A1 NB: il Gestore nell’ambito della istanza o comunicazione deve indicare se l’impresa è classificabile come “Piccola”,“Media” o “Grande” impresa Per l’identificazione di Piccole, Medie e Grandi Imprese si fa riferimento alle definizioni di cui alla Raccomandazione della Commissione CE 2003/361/CE (già utilizzate nella d.G.R. 27 gennaio 2005, n. 20378, con la quale venivano stabiliti l’ammontare e le modalità di versamento dell’acconto per le spese istruttorie), applicate alla situazione dell’impresa alla data di presentazione della domanda AIA.",,
137,Nello specifico:  Piccola Impresa: impresa che occupa meno di 50 persone e realizza un fatturato annuo o un totale di bilancio annuo non superiori a 10 milioni di euro;  Media Impresa: impresa che occupa meno di 250 persone il cui fatturato annuo non supera i 50 milioni di euro oppure il cui totale di bilancio annuo non superi i 43 milioni di euro;  Grande Impresa: impresa che occupa un numero di persone maggiore o uguale a 250 oppure il cui fatturato annuo sia superiore o uguale ai 50 milioni di euro oppure il cui totale di bilancio annuo sia superiore o uguale ai 43 milioni di euro; 2),,
138,"Costo istruttoria per verifica del rispetto della disciplina in materia di inquinamento atmosferico, valutazione ed eventuale integrazione del piano di monitoraggio e controllo relativo, alle emissioni in atmosfera, conduzione della quota parte delle analisi integrate riferibili alla componente “qualità dell’aria”: CARIA",,
139,Bollettino Ufficiale,,
140,– 59 – Serie Ordinaria n. 2 - Venerdì 11 gennaio 2013,,
141,"L’importo per la componente CARIA viene determinato dalla seguente tabella B ‘Numero di emissioni in atmosfera’, utilizzando, per l’individuazione delle emissioni convogliate in atmosfera e degli inquinanti significativi ai fini del calcolo della tariffa, i criteri e le modalità definiti nei CRITERI GENERALI, sopra riportati, nonché le seguenti ulteriori indicazioni: metalli: se il limite è espresso come sommatoria, nel conteggio degli inquinanti significativi ai fini del calcolo della tariffa, si conterà ogni sommatoria cui è associato un limite come un singolo inquinante; COV: se non sono espressamente indicati i singoli composti nel Piano di monitoraggio o nel Quadro prescrittivo, i COV vanno conteggiati come singolo inquinante; Emissioni ‘dismesse’, ossia emissioni che, secondo quanto dichiarato dal Gestore e/o riportato nel Decreto AIA, sono state dismesse definitivamente, non risultando più autorizzate all’esercizio, non vanno conteggiate ai fini della determinazione della tariffa; possono considerarsi dismesse anche emissioni per le quali è già indicata esplicitamente nel decreto AIA la data di dismissione; Camini di ‘by-pass’ o emissioni di emergenza non vanno conteggiati ai fini della determinazione della tariffa.",,
142,"Emissioni ‘non attive’, ossia emissioni che secondo quanto dichiarato dal Gestore e riportato nel Decreto AIA, non sono temporaneamente in esercizio ma continuano ad essere autorizzate e pertanto riattivabili vanno conteggiate ai fini della determinazione della tariffa;",,
143,Numero di sostanze inquinanti tipicamente e significativamente emesse dall’attività Nessun inquinante da 1 a 4 inquinanti da 5 a 10 inquinanti da 11 a 17 inquinanti più di 17 inquinanti,,
144,3),,
145,Numero di emissioni in atmosfera,,
146,1,,
147,da 2 a3,,
148,da 4 a8,,
149,800 1500 3000 3500,,
150,1250 2500 7500 8000,,
151,2000 4000 12000 16000 tabella B,,
152,da 9 a 20 200 3000 5000 16500 30000,,
153,da 21 a 60,,
154,oltre 60,,
155,4500 7000 20000 34000,,
156,12000 20000 33000 49000,,
157,"Costo istruttoria per verifica del rispetto della disciplina in materia di inquinamento delle acque, valutazione ed eventuale integrazione del piano di monitoraggio e controllo relativo alle emissioni in acqua, conduzione della quota parte analisi integrate riferibili alla componente “qualità delle acque”: CH2O",,
158,"L’importo per la componente CH2O viene determinato dalla seguente tabella C ‘numero di scarichi’, utilizzando, per l’individuazione degli scarichi e degli inquinanti significativi ai fini del calcolo della tariffa, i criteri definiti nei CRITERI GENERALI, sopra riportati nonché le seguenti ulteriori indicazioni: ",,
159,"Scarichi ‘parziali’ di acque reflue, ossia scarichi recapitanti in un tratto di fognatura interno al complesso ed a sua volta recapitante in uno scarico finale (immissione nel corpo recettore/fognatura) dotato di pozzetto di campionamento e incluso nel Piano di Monitoraggio, non sono da considerare ai fini del calcolo della tariffa istruttoria;",,
160,,,
161,"Scarichi recapitanti esclusivamente reflui derivanti da operazioni di bonifica, non sono da considerare ai fini del calcolo della tariffa istruttoria; Numero di sostanze inquinanti tipicamente e significativamente emesse dall’attività Nessun inquinante da 1 a 4 inquinanti da 5 a 7 inquinanti da 8 a 12 inquinanti da 13 a 15 inquinanti più di 15 inquinanti",,
162,4),,
163,Numero di scarichi 1,,
164,da 2 a 3,,
165,50 950 1750 2300 3500 4500,,
166,da 4 a 8,,
167,oltre 8,,
168,2000 4200 5800 15000 20000,,
169,400 5000 8000 10000 29000 30000,,
170,100 1500 2800 3800 7500 10000 tabella C,,
171,Costo Istruttoria per verifica del rispetto della disciplina in materia di rifiuti e conduzione della quota parte delle analisi integrate riferibili alla componente “rifiuti”: CRP e CRNP,,
172,"L’importo per le componenti CRP e CRNP viene determinato applicando le seguenti tabelle D1 e D2 e tenendo presente che: devono essere considerate le quantità medie giornaliere di rifiuti sottoposte ad operazioni R o D, calcolate con riferimento alla capacità massima richiesta dell’impianto e rispetto alla quale è definito il calcolo della fidejussione secondo i criteri di cui alla d.G.R. 19 novembre 2004 n.19461; il valore giornaliero è calcolabile a partire dalla quantità annua autorizzata (o di cui è richiesta l’autorizzazione), su cui è stata calcolata la fideiussione, dividendo per il numero di giorni di esercizio riportati nell’AIA o, se non esplicitato, per 220 (5 giorni lavorativi a settimana) o 340 (7 giorni a settimana); per le discariche (attività D1) si deve fare riferimento alla capacità autorizzata espressa in termini di volume (mc); nel calcolo delle quantità giornaliere di rifiuti non pericolosi trattati devono essere esclusi i quantitativi sottoposti alle operazioni di recupero R10 (utilizzo fanghi in agricoltura); per gli impianti che effettuano operazioni di deposito temporaneo (compreso il deposito autorizzato che supera i limiti di cui all’art 183 comma 1 lett. bb) del Dlgs.",,
173,"152/06 e s.m.i.) prima della raccolta, nel luogo di produzione, si applica una tariffa forfetaria pari a 300 euro (da sommare alla eventuale componente di costo relativa alle operazioni di gestione rifiuti); Tonnellate/die oggetto della domanda* Rifiuti pericolosi (RP) Rifiuti non pericolosi (RNP)",,
174,* esclusi i fanghi utilizzati in agricoltura,,
175,0 0 0,,
176,fino ad 1 500 0 tabella D1,,
177,oltre 1 fino a 10 1000 500,,
178,oltre 10 fino a 50 2200 1200,,
179,Oltre 50,,
180,Sigla,,
181,3200 1800,,
182,CRP CRnP,,
183,– 60 –,,
184,Bollettino Ufficiale,,
185,Serie Ordinaria n. 2 - Venerdì 11 gennaio 2013 Volume [mc] oggetto della domanda Rifiuti pericolosi (RP) Rifiuti non pericolosi (RNP),,
186,5),,
187,0 0 0,,
188,da 400.000 mc a 800.000 1200 2400 1000 2000 tabella D2,,
189,fino a 400.000 mc,,
190,da 800.000 mc a 1.600.000 3600 3000,,
191,Oltre 1.600.000,,
192,Sigla,,
193,4800 4000,,
194,CRP CRnP,,
195,"Costi istruttori per verifica del rispetto della ulteriore disciplina in materia ambientale, valutazione ed eventuale integrazione del piano di monitoraggio e controllo relativo ad altre componenti ambientali, conduzione della quota parte delle analisi integrate riferibili alle ulteriori componenti ambientali: CCA, CRI, COD, CST, E CRA",,
196,"In merito ai costi istruttori (v. la seguente tabella E1) per la verifica del rispetto della ulteriore disciplina in materia ambientale, di cui al punto 5. dell’Allegato I al d.m.",,
197,"24 aprile 2008 (CCA, CRI, COD, CST, e CRA), il proponente considererà nel calcolo le componenti ambientali di fatto interessate, utilizzando le informazioni contenute nella seguente tabella E2, inerente gli impianti tipicamente interessati o motivandone la non assoggettabilità.",,
198,"L’Autorità Competente potrà eventualmente integrare, sulla base degli esiti dell’istruttoria, le indicazioni fornite dal proponente, rideterminando eventualmente la tariffa, secondo quanto previsto al paragrafo B del presente Allegato).",,
199,Ulteriore componente ambientale da considerare,,
200,Sigla,,
201,Costo istruttoria,,
202,Clima acustico Tutela quantitativa della risorsa idrica Odori Sicurezza del territorio Ripristino ambientale,,
203,CCA CRI COD CST CRA,,
