sentence number,sentence,value (0/1)
15,"3 aprile 2006, n. 152, del Piano della caratterizzazione delle aree che ospiteranno l’Esposizione Universale 2015, ubicate nei Comuni di Milano e Rho (MI), presentato dalla Società Expo 2015 s.p.a.; Preso atto altresì che il Piano della caratterizzazione approvato prevede, quale approccio metodologico, l’intervento per singole sub-aree, in riferimento alle diverse caratteristiche delle porzioni di territorio comprese nel sito, in particolare per il loro uso pregresso, nonché per conciliare, su un sito di ampie dimensioni, le operazioni di bonifica e la realizzazione delle infrastrutture ed opere pubbliche previste dall’evento; Visti i decreti regionali del dirigente dell’Unità Organizzativa Tutela ambientale: • 23 dicembre 2011, n. 12818 di approvazione, ai sensi dell’art.",,
16,242 del d.lgs.,,
17,"3 aprile 2006, n. 152, della riperimetrazione delle aree oggetto di bonifica insistenti nel sito che ospiterà l’Esposizione Universale 2015, ubicato nei Comuni di Milano e Rho (MI), secondo la documentazione trasmessa dalla Società Metropolitana Milanese s.p.a. per conto dalla Società Expo 2015 s.p.a. ad esclusione del ridimensionamento del comparto della subarea ex Deposito Pessina; • 10 luglio 2012, n. 6144, di approvare ai sensi dell’art.",,
18,242 del d.lgs.,,
19,"3 aprile 2006, n. 152, a seguito delle risultanze della caratterizzazione effettuata, la riperimetrazione delle aree oggetto di bonifica, escludendo dal relativo procedimento i Comparti 4 – 9 – e 10 risultati non contaminati, insistenti nel sito che ospiterà l’Esposizione Universale 2015, ubicato nei Comuni di Milano e Rho (MI), secondo la documentazione trasmessa dalla Società Metropolitana Milanese s.p.a. per conto dalla Società Expo 2015 s.p.a.; • 18 luglio 2012, n. 6445 di approvazione ai sensi del comma 7, dell’art.",,
20,242 del d.lgs.,,
21,"3 aprile 2006, n. 152, del «Progetto operativo di bonifica dell’areale 5» della riperimetrazione",,
22,"del Comparto 5 delle aree che ospiteranno l’Esposizione Universale 2015, ubicate nei Comuni di Milano e Rho (MI), presentato dalla Società Metropolitana Milanese s.p.a. per conto della Società Expo 2015 s.p.a. e di autorizzazione degli interventi in esso previsti;",,
23,"• 18 luglio 2012, n. 6447 di approvazione ai sensi del comma",,
24,"7, dell’art.",,
25,242 del d.lgs.,,
26,"3 aprile 2006, n. 152, del «Progetto operativo di bonifica dell’areale 7» della riperimetrazione del Comparto 7 delle aree che ospiteranno l’Esposizione Universale 2015, ubicate nei Comuni di Milano e Rho (MI), presentato dalla Società Metropolitana Milanese s.p.a. per conto della Società Expo 2015 s.p.a. e di autorizzazione degli interventi in esso previsti;",,
27,"• 18 luglio 2012, n. 6448 di approvazione ai sensi del comma",,
28,"7, dell’art.",,
29,242 del d.lgs.,,
30,"3 aprile 2006, n. 152, del «Progetto operativo di bonifica dell’areale 11» della riperimetrazione del Comparto 11 delle aree che ospiteranno l’Esposizione Universale 2015, ubicate nei Comuni di Milano e Rho (MI), presentato dalla Società Metropolitana Milanese s.p.a. per conto della Società Expo 2015 s.p.a. e di autorizzazione degli interventi in esso previsti;",,
31,"ma 7, dell’art.",,
32,242 del d.lgs.,,
33,"3 aprile 2006, n. 152, del «Progetto operativo di bonifica degli areali 3A e 3B della riperimetrazione del Comparto 3 delle aree che ospiteranno l’Esposizione Universale 2015, ubicate nei Comuni di Milano e Rho (MI), presentato dalla Società Metropolitana Milanese s.p.a. per conto della Società Expo 2015 s.p.a. e di autorizzazione degli interventi in esso previsti;",,
34,"• 23 ottobre 2012, n. 9443 di approvazione ai sensi dell’art.",,
35,242 del d.lgs.,,
36,"3 aprile 2006, n. 152 della riperimetrazione delle aree oggetto di bonifica, escludendo dal relativo procedimento il Comparto 6 risultato non contaminato, insistente nel sito che ospiterà l’Esposizione Universale 2015, ubicate nei Comuni di Milano e Rho (MI);",,
37,"• 23 ottobre 2012, n. 9444 di approvazione di approvazione",,
38,"ai sensi del comma 7, dell’art.",,
39,242 del d.lgs.,,
40,"3 aprile 2006, n. 152, del Progetto operativo di bonifica degli areali 2A e 2B e della riperimetrazione del Comparto 2, delle aree che ospiteranno l’Esposizione Universale 2015, ubicate nei Comuni di Milano e Rho (MI), presentato dalla Società Metropolitana Milanese s.p.a. per conto della Società Expo 2015 s.p.a. e di autorizzazione degli interventi in esso previsti;",,
41,"Vista la nota n. 726 PG 63648 del 15 novembre 2012, agli atti regionali con protocollo 23106 del 19 novembre 2012, con la quale la Società Metropolitana Milanese s.p.a. per conto della Società Expo 2015 s.p.a., con sede in Milano – Via Rovello 2, ha trasmesso il Progetto Operativo di Bonifica degli areali 8A e 8B risultante dalla riperimetrazione del Comparto 8 del sito di cui trattasi; Preso atto di quanto indicato nel documento progettuale di cui sopra, ed in particolare della strategia dell’intervento di bonifica che ha come obiettivo il raggiungimento delle Concentrazioni Soglia di Contaminazione (C.S.C.) per la specifica destinazione d’uso; Atteso che gli areali 8A e 8B interessati dal Progetto Operativo di Bonifica ricadono all’interno di un’area ad uso residenziale e verde pubblico/privato, nel territorio comunale di Milano, tale per cui l’obiettivo dell’intervento di bonifica relativamente ai terreni, è il raggiungimento dei limiti di cui alla colonna A della Tabella 1 dell’Allegato 5 al Titolo V, parte quarta del d.lgs.",,
42,"152/2006; Preso atto del principio di trasparenza dell’azione amministrativa di cui alle disposizioni del Capo III, legge 241/1990 s.m.i., relativo alla partecipazione al procedimento amministrativo; Considerato che ai fini istruttori, è stata convocata in data 14 dicembre 2012, presso la Direzione Generale Ambiente, Energia e Reti, una Conferenza di Servizi ai sensi dell’art.",,
43,"14, l. 7 agosto 1990, n. 241, e s.m.i., per l’acquisizione dei pareri sul Progetto Operativo di bonifica degli areali 8A e 8B e per la quale è stata richiesta la presenza della Provincia di Milano, dei Comuni di Milano e Rho, dell’A.R.P.A. Lombardia – Dipartimento Provinciale di Milano, della Società Metropolitana Milanese s.p.a. e della Società Expo 2015 s.p.a.; Preso atto che la Conferenza predetta, ha ritenuto opportuno, visto ed esaminato il documento progettuale presentato, di approvarne i contenuti, con le osservazioni e prescrizioni di cui alle considerazioni finali della Conferenza di Servizi indicate nel relativo verbale;",,
44,"– 68 – Serie Ordinaria n. 2 - Venerdì 11 gennaio 2013 Ritenuto necessario che il verbale della Conferenza di Servizi costituisca parte integrante del presente provvedimento (allegato 1)(omissis); Ritenuto pertanto, di approvare ai sensi del comma 7, dell’art.",,
45,242 del d.lgs.,,
46,"3 aprile 2006, n. 152, il «Progetto operativo di bonifica degli areali 8A e 8B» delle aree che ospiteranno l’Esposizione Universale 2015, ubicate nei Comuni di Milano e Rho (MI), presentato dalla Società Metropolitana Milanese s.p.a. per conto della Società Expo 2015 s.p.a. e di autorizzare gli interventi in esso previsti, con le osservazioni e prescrizioni espresse dalla Conferenza di Servizi, di cui all’allegato 1 al presente atto(omissis); Ritenuto altresì di approvare ai sensi dell’art.",,
47,242 del d.lgs.,,
48,"3 aprile 2006, n. 152, a seguito delle risultanze della caratterizzazione effettuata, la riperimetrazione delle aree oggetto di bonifica, escludendo dal relativo procedimento la restante parte del Comparto 8 risultata non contaminata, secondo la documentazione trasmessa dalla Società Metropolitana Milanese s.p.a. per conto dalla Società Expo 2015 s.p.a., ed in particolare secondo la Figura 19 che costituisce parte integrante del presente provvedimento (allegato 2)(omissis), del Progetto Operativo di Bonifica degli Areali 8A e 8B di cui alla nota di parte 726/2012; Evidenziato che al fine dei necessari controlli a garanzia degli interventi di cui trattasi la Società Metropolitana Milanese s.p.a. per conto della Società Expo 2015 s.p.a. dovrà trasmettere agli Enti territorialmente interessati, ogni documento necessario per una corretta informazione tecnico-procedurale, relativa all’esecuzione dei lavori di cui al progetto in oggetto, a mente del programma temporale degli interventi e delle azioni connesse; Dato atto che il presente provvedimento conclude il relativo procedimento nei termini previsti ai sensi di legge; Vista la l.r.",,
49,"7 luglio 2008, n. 20 «Testo Unico delle leggi regionali in materia di organizzazione e personale», nonché i provvedimenti organizzativi della IX legislatura; DECRETA 1. di approvare ai sensi del comma 7, dell’art.",,
50,242 del d.lgs.,,
51,"3 aprile 2006, n. 152, il «Progetto operativo di bonifica degli areali 8A e 8B» delle aree che ospiteranno l’Esposizione Universale 2015, ubicate nei Comuni di Milano e Rho (MI), presentato dalla Società Metropolitana Milanese s.p.a. per conto della Società Expo 2015 s.p.a. e di autorizzare gli interventi in esso previsti, con le osservazioni e prescrizioni espresse dalla Conferenza di Servizi, il cui verbale costituisce parte integrante del presente provvedimento (allegato 1)(omissis); 2. di autorizzare gli interventi previsti dal documento progettuale di cui sopra; 3. di approvare ai sensi dell’art.",,
52,242 del d.lgs.,,
53,"3 aprile 2006, n. 152, a seguito delle risultanze della caratterizzazione effettuata, la riperimetrazione delle aree oggetto di bonifica, escludendo dal relativo procedimento la restante parte del Comparto 8 risultata non contaminata, secondo la documentazione trasmessa dalla Società Metropolitana Milanese s.p.a. per conto dalla Società Expo 2015 s.p.a., ed in particolare secondo la Figura 19 che costituisce parte integrante del presente provvedimento (allegato 2)(omissis), del Progetto Operativo di Bonifica degli Areali 8A e 8B di cui alla nota di parte 726/2012; 4. di dare atto che ai fini dei necessari controlli a garanzia degli interventi di cui trattasi la Società Metropolitana Milanese s.p.a. per conto della Società Expo 2015 s.p.a. dovrà trasmettere agli Enti territorialmente interessati, ogni documento necessario per una corretta informazione tecnico-procedurale, relativa all’esecuzione dei lavori di cui al progetto in oggetto, a mente del programma temporale degli interventi e delle azioni connesse; 5. di comunicare il presente atto alla Società Metropolitana Milanese s.p.a. e alla Società Expo 2015 s.p.a. e di inviarne copia alla Provincia di Milano, ai Comuni di Milano e Rho, all’A.R.P.A. Lombardia – Dipartimento Provinciale di Milano, e al Collegio di Vigilanza dell’Accordo di Programma; 6. di provvedere a pubblicare sul Bollettino Ufficiale della Regione Lombardia, il presente provvedimento, ad esclusione degli allegati 1 e 2; 7. di dare atto, ai sensi dell’art.",,
54,"3, legge 7 agosto 1990, n. 241, che contro il presente provvedimento, potrà essere presentato ricorso giurisdizionale al Tribunale Amministrativo Regionale, entro 60 (sessanta) giorni dalla data di comunicazione dello stesso, ovvero ricorso straordinario al Presidente della Repubblica entro 120 (centoventi) giorni dalla predetta data.",,
55,Il dirigente dell’unità organizzativa Angelo Elefanti,,
56,Bollettino Ufficiale,,
