sentence number,sentence,value (0/1)
31,"Considerata la particolare importanza delle presenti linee guida e l’obiettiva necessità di poterle mantenere quanto maggiormente possibile aggiornate anche negli anni a venire, tenuto altresì conto delle nuove e future evidenze scientifiche, viene determinato che AREU, previo accordo con la Direzione generale Sanità, potrà aggiornare e adeguare il presente documento, affinché questo costituisca il riferimento a livello regionale.",,
32,"Le finalità del presente documento sono quelle di fornire indicazioni organizzative, operative e didattiche per l’utilizzo dei DAE, sia nel contesto della rete dell’emergenza-urgenza della Regione Lombardia (AREU) sia nel mondo laico con la diffusione di DAE e di progetti PAD, in accordo con le indicazioni della Direzione generale alla Sanità per il tramite di AREU.",,
33,2.,,
34,Premessa Dopo dieci anni di vigenza della normativa regionale in materia di defibrillazione (D.g.r. n. VII/10306/2002) “Approvazione linee guida regionali sulla defibrillazione semi-automatica” si rende necessario effettuare un suo aggiornamento anche al fine di adeguare le tecniche di defibrillazione agli attuali protocolli internazionali e le modalità di formazione degli operatori.,,
35,"AREU, in tale ambito, ricopre un preciso ruolo e una funzione in tale materia, attribuitole con: •",,
36,•,,
37,•,,
38,•,,
39,D.g.r. n. VIII/6994 del 2 aprile 2008 “Attivazione dell’Azienda Regionale Emergenza Urgenza (A.R.E.U.) in attuazione della l.r.,,
40,"12 dicembre 2007 n. 32 (…)”, nella quale sono indicate le attività di competenza dell’Azienda, tra le quali quelle relative alla programmazione ed all’erogazione dei percorsi formativi del personale e alla definizione dei requisiti dei mezzi di trasporto utilizzati; D.g.r. n. IX/893 dell’1 dicembre 2010 “Trasporto sanitario da parte di soggetti privati - Aggiornamento d.g.r. n. VIII/1743 del 18 gennaio 2006” che approva le linee di indirizzo in materia di trasporto sanitario semplice e sanitario nonché i percorsi formativi del personale addetto a tale trasporto; D.g.r. n. IX/1964 del 6 luglio 2011 “Soccorso sanitario extraospedaliero - Aggiornamento dd.g.r. n. VI/37434 del 17 luglio 1998, n. VI/45819 del 22 ottobre 1999, n. VII/16484 del 23 febbraio 2004 e n. VIII/1743 del 18 gennaio 2006”, con la quale viene stabilito che AREU, nell’ambito della diffusione dei defibrillatori semiautomatici (DAE) sul territorio regionale, in attuazione della normativa vigente e nell’ambito dei finanziamenti messi a disposizione dalla normativa regionale, provvede a predisporre il Piano relativo alla diffusione e all’utilizzo dei defibrillatori semiautomatici esterni, individuando luoghi, eventi, strutture e mezzi di trasporto laddove è necessario garantire la disponibilità dei DAE, nonché le modalità di formazione degli operatori; D.g.r. n. IX/2869 del 29 dicembre 2011 “Realizzazione di programmi regionali per la diffusione e l’utilizzo di defibrillatori semiautomatici esterni (DAE): approvazione progetto ‘A prova di cuore.",,
41,Diffusione delle tecniche di rianimazione cardiopolmonare e dei defibrillatori nei luoghi pubblici in Regione Lombardia’ (D.m.,,
42,"18 marzo 2011)” che approva il progetto esecutivo di che trattasi di durata biennale predisposto e presentato da AREU, al quale è stato assegnato, entro la misura dei costi rendicontati per voci di spesa, il relativo finanziamento ministeriale per la realizzazione del progetto in Regione Lombardia;",,
43,3.,,
44,"Riferimenti normativi specifici La normativa nazionale sui DAE consente all’operatore addestrato e abilitato ad usare il dispositivo in tutta sicurezza, limitatamente alle competenze maturate nel corso di formazione specifico.",,
45,La normativa di riferimento attualmente è la seguente: a) Legge n. 120 del 3 aprile 2001 Art.,,
46,"1: “E’ consentito l’uso del defibrillatore semi-automatico in sede extra-ospedaliera anche al personale non medico, nonché al personale non sanitario che abbia ricevuto una formazione specifica nelle attività di rianimazione cardio-polmonare”. b) Accordo Stato-Regioni 27 febbraio 2003 Art.",,
47,"2, comma b1: “(…) L’operatore che somministra lo shock con il defibrillatore semiautomatico è responsabile, non della corretta indicazione di somministrazione dello shock che è determinato dall’apparecchio, ma dell’esecuzione di questa manovra in condizioni di sicurezza per lo stesso e per tutte le persone presenti intorno al paziente”. c) Legge n. 69 del 15 marzo 2004 Art.",,
48,"1, comma 1 che sostituisce il precedente comma 1 della legge 120 del 03.04.2001: “E’ consentito l’uso del defibrillatore semiautomatico in sede intra ed extraospedaliera anche al personale non medico, nonché al personale non sanitario che abbia ricevuto una formazione specifica nelle attività di rianimazione cardio-polmonare”. d) Decreto Ministero della Salute 18 marzo 2011 ■ Allegato 1, art.",,
49,"2, comma b1: “(…) L’operatore che somministra lo shock con il defibrillatore semiautomatico è responsabile, non della corretta indicazione di somministrazione dello shock che è determinato dall’apparecchio, ma dell’esecuzione di questa manovra in condizioni di sicurezza per lo stesso e per tutte le persone presenti intorno al paziente”; ■ Allegato 1, art.",,
50,"2, comma b5: “(…) Il soggetto autorizzato è tenuto a comunicare immediatamente, secondo modalità indicate dalle Regioni e Province Autonome, l’utilizzo del defibrillatore semiautomatico, al fine di garantire la catena della sopravvivenza”;",,
51,Bollettino Ufficiale,,
52,–5– Serie Ordinaria n. 5 - Giovedì 31 gennaio 2013,,
53,"■ Allegato 1, art.",,
54,"2, comma d: “L’autorizzazione all’uso del defibrillatore semiautomatico, in sede extraospedaliera, è nominativa ed ha durata di dodici mesi”. e) Decreto legge n. 158 del 13 settembre 2012 - Disposizioni urgenti per promuovere lo sviluppo del Paese mediante un più alto livello di tutela della salute Art.",,
55,"7 “Disposizioni in materia di vendita di prodotti del tabacco, misure di prevenzione per contrastare la ludopatia e per l’attività sportiva non agonistica”, comma 11: “Al fine di salvaguardare la salute dei cittadini che praticano un’attività sportiva non agonistica o amatoriale, il Ministro della salute, con proprio decreto, adottato di concerto con il Ministro delegato al turismo e allo sport, dispone garanzie sanitarie mediante l’obbligo di idonea certificazione medica, nonché linee guida per l’effettuazione di controlli sanitari sui praticanti e per la dotazione e l’impiego, da parte di società sportive sia professionistiche che dilettantistiche, di defibrillatori semiautomatici e di eventuali altri dispositivi salvavita”.",,
56,4.,,
57,Riferimenti bibliografici,,
58,• • •,,
59,2010 International Consensus on Cardiopulmonary Resuscitation and Emergency Cardiovascular Care Science with Treatment Recommendations.,,
60,"Resuscitation, 2010; 81s:e1-e330.",,
61,(Documento di Consenso ILCOR).,,
62,European Resuscitation Council Guidelines for Resuscitation 2010.,,
63,"Resuscitation, 2010; 81:1219-1451.",,
64,(Linee Guida ERC).,,
65,2010 American Heart Association Guidelines for Cardiopulmonary Resuscitation and Emergency Cardiovascular Care.,,
66,Circulation 2010; 122:S640-S946.,,
67,(Linee Guida AHA).,,
68,5.,,
69,Definizioni e abbreviazioni Definizioni Abilitazione,,
70,"Nel presente documento il termine “abilitazione” è utilizzato per identificare la capacità dei soggetti che hanno frequentato e superato il corso di Basic Life Support and Defibrillation (BLSD) e che sono quindi autorizzati a usare, in caso di necessità e secondo le indicazioni AREU, i defibrillatori semi-automatici indipendentemente dal tipo di modello.",,
71,"Il termine viene considerato, in questo contesto, sinonimo di “certificazione”, limitatamente alla defibrillazione semi-automatica, utilizzato in altri documenti.",,
72,Defibrillazione,,
73,"Nel presente documento, il termine “defibrillazione” identifica unicamente la defibrillazione precoce con l’utilizzo di un DAE.",,
74,Laico,,
75,Il termine “laico” viene utilizzato nel contesto di professioni e ambiti specialistici per riferirsi a chi non pratica la stessa professione.,,
76,"Nel linguaggio dell’emergenza sanitaria (e di conseguenza nel presente documento) laico è il comune cittadino, o più genericamente il non-sanitario, che non dispone delle conoscenze e delle competenze di chi professionalmente esercita questa attività.",,
77,Laici volontari del soccorso con certificazione “Soccorritore Esecutore” Il termine si riferisce ai volontari del soccorso che hanno ottenuto la certificazione in accordo con la normativa regionale (D.g.r. n. 45819 del 22 ottobre 1999 e decreto Direzione generale Sanità Regione Lombardia n. 7474 del 9 luglio 2008).,,
78,DAE Defibrillatore semi-Automatico Esterno.,,
79,I DAE si differenziano dai defibrillatori manuali che presuppongono conoscenze e competenze di utilizzo e di riconoscimento dei ritmi cardiaci da parte degli operatori e costituiscono parte integrante della dotazione tecnologica dei sistemi di emergenza.,,
80,DAE Operativo,,
81,"Nel presente documento il termine “operativo” è utilizzato per indicare un DAE perfettamente funzionante, controllato e con le dotazioni non scadute.",,
82,"Personale Sanitario Il termine identifica il personale professionista, nella fattispecie medici e infermieri.",,
83,Soggetti,,
84,"Nel presente documento, il termine “soggetti” individua sia persone fisiche che Enti, Associazioni, Gruppi, Ditte, ecc.",,
85,–6–,,
86,Bollettino Ufficiale,,
87,Serie Ordinaria n. 5 - Giovedì 31 gennaio 2013 Abbreviazioni AAT AC ACC ACR AHA AREU ASL BLSD CeFRA COEU CONI DAE D.G.R. DGS DL DM ERC FV ILCOR MSA MSI MSB PAD RCP,,
88,= = = = = = = = = = = = = = = = = = = = = = = =,,
89,ROSC,,
90,=,,
91,SOREU SSUEm TV,,
92,= = =,,
93,Articolazione Aziendale Territoriale Arresto Cardiaco Arresto Cardio-Circolatorio Arresto Cardio-Respiratorio American Heart Association Azienda Regionale Emergenza Urgenza Azienda Sanitaria Locale Basic Life Support and Defibrillation Centri di Formazione Riconosciuti e Accreditati Centrale Operativa Emergenza Urgenza Comitato Olimpico Nazionale Italiano Defibrillatore semi-Automatico Esterno Deliberazione di Giunta Regionale Direzione Generale Sanità Decreto Legge Decreto Ministeriale European Resuscitation Council Fibrillazione Ventricolare International Liaison Committee On Resuscitation Mezzo di Soccorso Avanzato Mezzo di Soccorso Intermedio Mezzo di Soccorso di Base Public Access Defibrillation Rianimazione Cardio-Polmonare Return Of Spontaneous Circulation (Ripristino di un circolazione autonoma ed efficace) Spontaneous Circulation) Sala Operativa Regionale Emergenza Urgenza Servizio Sanitario Emergenza Urgenza Tachicardia Ventricolare,,
94,6.,,
95,Indice 1.	Introduzione 2.	 Destinatari per l’uso dei DAE 3.	 Raccomandazioni sulla collocazione dei DAE 4.	 Attivazione dei progetti di Defibrillazione Precoce semi-Automatica 5,,
96,Formazione nell’ambito dei progetti di Defibrillazione Precoce Semiautomatica,,
97,6.	 Abilitazione all’uso del DAE 7.	 Retraining e abilitazioni successive 8.	 Progressione e implementazione 9.	 Monitoraggio dell’attività 10.	Appendice __________________,,
98,1.,,
99,"INTRODUZIONE La ripresa cardio-circolatoria da un Arresto Cardio-Respiratorio (ACR), i cui sinonimi sono Arresto Cardiaco (AC) e Arresto CardioCircolatorio (ACC) è criticamente tempo-dipendente.",,
100,"Nel caso di arresto cardiaco in fibrillazione ventricolare (FV) o tachicardia ventricolare (TV), se senza polso, la defibrillazione elettrica rappresenta l’elemento terapeutico indispensabile per interrompere l’aritmia.",,
101,"Infatti, per ogni minuto trascorso dall’esordio della FV/TV e la prima defibrillazione, la sopravvivenza si riduce del 7-10% in assenza di manovre di rianimazione.",,
102,La rianimazione cardio-polmonare permette di limitare al 3-4% per minuto la progressiva diminuzione della sopravvivenza.,,
103,La rianimazione cardiopolmonare di base senza defibrillazione è quindi in grado di prolungare il persistere di un ritmo defibrillabile mantenendo una minima perfusione ma non rappresenta il trattamento definitivo.,,
104,Un’ampia letteratura scientifica supporta i progetti di defibrillazione precoce estesa ai laici.,,
105,"L’implementazione di un programma di rianimazione cardio-polmonare e di defibrillazione precoce (entro 5 minuti dalla chiamata) è pertanto indispensabile per rafforzare questo anello della “catena della sopravvivenza” attraverso la diffusione del defibrillatore semi-automatico (DAE) ad altri soggetti, sia sanitari che non sanitari, al di fuori del personale professionista dell’emergenza.",,
106,"L’obiettivo di salute pubblica che si mira a raggiungere è l’aumento della sopravvivenza a breve termine (ROSC) dei pazienti in ACC e un miglioramento dell’outcome a medio (dimissione dall’ospedale) e lungo termine (sopravvivenza a un anno e a 5 anni), per mezzo dell’incremento del numero dei DAE disponibili sul territorio regionale, contestualmente all’insegnamento delle manovre di rianimazione cardio-polmonare a larghe fasce di popolazione.",,
107,Bollettino Ufficiale,,
108,–7– Serie Ordinaria n. 5 - Giovedì 31 gennaio 2013,,
109,2.,,
110,"DESTINATARI PER L’USO DEI DAE Per una funzionale ed efficace diffusione dei DAE e delle manovre di RCP, è opportuno che, in ordine di priorità, i soggetti sotto elencati siano addestrati alle manovre di rianimazione cardiopolmonare di base e abilitati all’uso dei defibrillatori semiautomatici: 2.1",,
111,"Infermieri che operano nel sistema di emergenza sanitario extraospedaliero (SOREU/COEU/AAT e sui relativi mezzi di soccorso terrestri, aerei e acquatici) Il personale infermieristico operante su MSB, MSI e MSA deve essere addestrato alle manovre di rianimazione cardiopolmonare di base e avanzate e abilitato all’uso dei defibrillatori semiautomatici.",,
112,"È altresì opportuno che gli infermieri di MSI e MSA siano anche addestrati e abilitati a manovre avanzate di rianimazione cardiopolmonare e in grado di utilizzare oltre ai DAE anche i defibrillatori manuali data la necessità, nel contesto dell’emergenza, di lettura di una traccia elettrocardiografica sullo schermo, della registrazione di un tracciato elettrocardiografico a 12 derivazioni, dell’eventuale utilizzo di un stimolatore cardiaco (pacing) transcutaneo e di altri moduli accessori, quali ad esempio l’End-Tidal CO2, nel rispetto di criteri e procedure definiti da AREU.",,
113,"2.2 Soccorritori esecutori che operano nel sistema di emergenza sanitaria extraospedaliera I soccorritori in possesso della certificazione di “soccorritore-esecutore” di cui alle d.g.r. n. 37434/1998 e d.g.r. n. 45819/1999 e al decreto della D.G.S. di Regione Lombardia n. 7474/2008, devono essere addestrati alle manovre di rianimazione cardiopolmonare di base ed abilitati all’uso dei defibrillatori semiautomatici.",,
114,"Nelle more dell’abilitazione al DAE di tutti i soccorritori esecutori, gli Enti/Organizzazioni/Cooperative Sociali che operano per AREU nel sistema di emergenza sanitaria extra-ospedaliera si impegnano a far conseguire tale abilitazione entro il 31 dicembre 2013.",,
115,2.3,,
116,"Personale operante nel contesto di Società Sportive, sia professionistiche che dilettantistiche (dirigenti, allenatori, accompagnatori sportivi, istruttori di discipline sportive, ecc)",,
117,"In accordo con quanto previsto dal DL 158 (13 settembre 2012), si rende obbligatorio per Regione Lombardia che ogni Società Sportiva, sia professionistica che dilettantistica, disponga di un numero sufficiente di affiliati addestrati alle manovre di rianimazione cardiopolmonare di base e abilitati all’utilizzo dei DAE tali da consentire la presenza in ogni attività sportiva di almeno una persona addestrata ed abilitata all’uso del DAE.",,
118,2.4 Personale operante sulle ambulanze deputate alle funzioni di trasporto sanitario e trasporto sanitario semplice Tutto il personale operante sulle ambulanze deputate al trasporto sanitario e al trasporto sanitario semplice deve essere addestrato alle manovre di rianimazione cardiopolmonare di base e abilitato all’utilizzo dei DAE in accordo con le indicazioni contenute nelle d.g.r. n. 893/2010 e n. 3542/2012.,,
119,"Anche in questo caso, per la finalità della progressiva abilitazione, vengono applicate le estensioni del termine di adeguamento richiamate al punto 2.2.",,
120,"2.5 Infermieri e operatori dei servizi delle strutture sanitarie e socio-sanitarie, pubbliche e private, accreditate o autorizzate Per quanto concerne l’utilizzo dei DAE nelle strutture di cui sopra, le scelte decisionali in merito sono di competenza delle rispettive Direzioni Strategiche.",,
121,2.6,,
122,"Personale appartenente ad organismi istituzionali (Polizia di Stato, Carabinieri, Guardia di Finanza, Vigili del Fuoco, Corpo Forestale, Polizia Locale, Polizia Penitenziaria, Capitanerie di Porto, Guardia Costiera, Forze Armate, Protezione Civile, Corpo Nazionale del Soccorso Alpino e Speleologico, ecc) È opportuno che il personale appartenente agli organismi istituzionali, prioritariamente coloro che prestano servizio sui mezzi operativi, sia addestrato alle manovre di rianimazione cardiopolmonare di base e abilitato all’utilizzo dei DAE.",,
123,2.7,,
124,"Personale appartenente a Compagnie, Enti, Ditte, Associazioni, ecc. ove vi sia un elevato afflusso di utenti (aerei ed aeroporti, navi e stazioni marittime, treni e stazioni ferroviarie, metropolitane, stadi, , ipermercati, centri commerciali, hotel, ecc) E’ utile che il personale operante in strutture di cui sopra, tendenzialmente ad elevata densità di popolazione o in ambienti non rapidamente raggiungibili dal sistema di emergenza, sia addestrato alle manovre di rianimazione cardiopolmonare di base e abilitato all’utilizzo dei DAE sia per il pubblico che per il proprio personale 2.8 Laici rientranti in un Progetto di Defibrillazione Precoce (Public Access Defibrillation, PAD) I progetti di defibrillazione precoce sul territorio con uso dei DAE da parte di laici comprendono la collocazione di DAE in specifici ambiti con la formazione di un gruppo di persone abilitate ad usare il DAE in caso di necessità.",,
125,E’ pertanto fondamentale che i laici rientranti nei Progetti PAD siano addestrati alle manovre di rianimazione cardiopolmonare di base ed abilitati all’utilizzo dei defibrillatori semiautomatici.,,
126,2.9,,
127,"Soggetti singoli, gruppi, studenti di ogni ordine e grado, lavoratori inseriti nelle squadre di emergenza secondo i criteri definiti dalle normative sulla sicurezza sui posti di lavoro, insegnanti, istruttori delle Scuole Guida, farmacisti ecc. non rientranti in uno specifico progetto PAD E’ utile che le persone di cui sopra siano addestrate alle manovre di rianimazione cardiopolmonare di base ed abilitate all’utilizzo dei DAE.",,
128,"2.10 Medici operanti nelle strutture sanitarie (ambulatori) e territoriali (studi medici, ambulatori dentistici, ambulatori delle ASL, ecc.)",,
129,"Pur nella non obbligatorietà di atto formale nell’uso dei defibrillatori, è comunque fondamentale che i medici di cui sopra siano in grado di eseguire le manovre di rianimazione cardiopolmonare di base e di utilizzare i DAE.",,
130,"2.11 Familiari di persone cardiopatiche o con precedenti di arresto cardiaco Si ritiene accettabile, pur con limitata evidenza scientifica, che familiari o accompagnatori di persone definibili “a rischio” di evento cardiaco acuto (morte cardiaca improvvisa), siano addestrati alle manovre di rianimazione cardiopolmonare di base e abilitati all’uso dei DAE.",,
131,Nota L’utilizzo del defibrillatore manuale o del defibrillatore semiautomatico in modalità manuale non è consentito al personale non medico fatte salve le eccezioni di cui al punto 2.1.,,
132,–8–,,
133,Bollettino Ufficiale,,
134,Serie Ordinaria n. 5 - Giovedì 31 gennaio 2013 3.,,
135,"RACCOMANDAZIONI SULLA COLLOCAZIONE DEI DAE Stanti le premesse sull’efficacia dei DAE e soprattutto di una tempestiva RCP da parte di persone addestrate, si definiscono le seguenti collocazioni per i DAE: a) b) c)",,
136,d),,
137,e),,
138,f),,
139,g) h),,
140,i) j) k),,
141,"è obbligatoria la presenza di un DAE operativo su ogni Mezzo di Soccorso di Base (MSB) e Intermedio (MSI) inserito nel sistema di emergenza sanitaria regionale; è obbligatoria la presenza di un DAE operativo sui mezzi di soccorso che prestano assistenza a manifestazioni sportive o eventi organizzati per i quali è prevista dalla normativa vigente o da regolamenti specifici un’assistenza sanitaria; è obbligatoria la presenza di un DAE presso Società Sportive sia professionistiche che dilettantistiche e all’interno di impianti sportivi, secondo quanto previsto dal decreto legge sanità n. 158 (13 settembre 2012) nonché durante lo svolgimento delle attività sportive. è obbligatoria la presenza di un DAE sui mezzi deputati al trasporto sanitario e sanitario semplice soltanto per i soggetti che beneficiano dell’assegnazione delle predette apparecchiature, nei termini e con le modalità di cui al decreto ministeriale del 18 marzo 2011 (acquisite con le risorse statali previste dall’art.",,
