sentence number,sentence,value (0/1)
11,Bollettino Ufficiale,,
12,– 11 – Serie Ordinaria n. 5 - Lunedì 28 gennaio 2013,,
13,"sopra descritto, non è contenuta negli elenchi della BIC e qualcuna delle altre invece lo sia, l’episodio segue le normali modalità di rendicontazione in uso per le attività di day surgery o di degenza ordinaria; Ricordato infine che: • le attività di BIC e di MAC, laddove la stessa sia prevista, comportano da parte dei cittadini il pagamento del ticket secondo le regole vigenti per le attività di specialistica ambulatoriale; • per tutto quanto non espressamente richiamato nel presente atto in materia di BIC, si rimanda ai precedenti dispositivi regionali citati; Stabilito che entro il 31 ottobre 2013 le ASL ed i soggetti erogatori dovranno effettuare una modifica al valore contrattualizzato per le attività di ricovero e per quelle di specialistica ambulatoriale prevedendo, ad integrazione del cosiddetto 97%, di spostare le quote attribuibili alle nuove attività di BIC dal ricovero all’ambulatoriale così come nel 2012 è stato fatto per le MAC; Ricordato che la Regione Lombardia persegue l’obiettivo di un contenimento dei costi, non tramite la riduzione delle prestazioni, ma tramite il migliore utilizzo delle risorse disponibili e che nel caso delle prestazioni di medicina di laboratorio la strategia già utilizzata nei provvedimenti succitati è il miglioramento dell’appropriatezza prescrittiva che limiti il più possibile le prestazioni inutili o ridondanti, soprattutto in aree diagnostiche complesse e in cui le prestazioni hanno un alto costo e una elevata difformità di richiesta di rimborso al Servizio Sanitario Regionale; Preso atto che attualmente aree diagnostiche di laboratorio che rivestono le caratteristiche succitate sono sicuramente quelle di «Genetica Medica» e di Oncologia ed Onco-ematologia molecolare, con particolare riguardo a quelle prodromiche alla prescrizione di terapie genomiche o a terapia con farmaci ad alto costo; Ritenuto quindi necessario per le prestazioni delle succitate aree di medicina di laboratorio, definire linee guida per la richiesta di prestazioni in cui indicare i possibili prescrittori e descrivere le modalità analitiche minime necessarie per la completezza delle prestazioni stesse, la tariffa comprensiva di tutti i passaggi analitici, il materiale biologico su cui viene eseguita e l’appropriatezza prescrittiva; Ritenuto pertanto di approvare i seguenti allegati, parti integranti del presente provvedimento: • Allegato B, approvato dal Comitato Regionale per i Servizi di Medicina di Laboratorio (CReSMeL) nella seduta del 4 dicembre 2012, in cui sono riportate le prestazioni di Genetica Medica e le prestazioni di Onco-ematologia e Oncologia molecolare già approvate dalla Commissione Oncologica Regionale nella seduta del 29 novembre 2011; • Allegato C in cui sono specificati i possibili prescrittori e sono dettagliate le modalità di prescrizione e di raccolta del «consenso informato» per le prestazioni di cui all’allegato B; Precisato: • che non si tratta dell’introduzione di nuove prestazioni ma di prestazioni già presenti nel Nomenclatore Tariffario che vengono meglio specificate e associate al fine di definire in modo più appropriato il percorso diagnostico e per cui si prevede l’identificazione di un nuovo codice che consente la definizione di una unica tariffa comprensiva di tutti i passaggi analitici; • che in presenza di richieste di prescrizioni di prestazioni non ricomprese nell’allegato B, perché le stesse possano essere a carico del SSR, sarà necessario che le stesse rappresentino un test effettivamente consolidato nella pratica clinica; Precisato che, trattandosi di prestazioni di Medicina di Laboratorio, se le prestazioni non sono eseguite presso la struttura sanitaria che le richiede per i propri pazienti ricoverati o presso la struttura sanitaria in cui ha avuto luogo l’accesso dell’utente ambulatoriale: • le stesse possono essere inviate ad altre strutture sanitarie secondo quanto previsto dal decreto del DG Sanità n. 42811 del 15 ottobre 1999; • l’invio dei campioni da analizzare da una struttura all’altra deve essere eseguito a cura della struttura inviante, sulla base di specifiche convenzioni/accordi tra laboratori o Enti che li rappresentano, in modo tecnicamente e professionalmente adeguato, nel rispetto anche delle norme relative al trasporto di materiali potenzialmente infetti, e non può essere eseguito tramite gli stessi utenti;",,
14,"Precisato infine che nel caso di utenti ambulatoriali, le impegnative devono essere conservate presso la struttura che ha provveduto all’accettazione amministrativa dell’utente, al conseguente prelievo del campione, in conformità alle indicazioni della normativa vigente, e che ne provvede alla rendicontazione tramite il flusso informativo di cui alla circolare 28 San; Ritenuto di provvedere: • a modificare, laddove possibile, le modalità di prescrizione informatizzata del sistema CRS-SISS in modo da renderlo compatibile con quanto previsto dal presente provvedimento; • a introdurre nei controlli delle prestazioni ambulatoriali dei meccanismi automatici che permettano alle ASL di individuare comportamenti sia degli erogatori che dei prescrittori non conformi a quanto previsto nel presente provvedimento; Dato atto che le disposizioni relative alle modalità di prescrizione delle prestazioni di laboratorio di cui agli Allegati B, C, entrano in vigore dal 90° giorno dalla data di pubblicazione sul BURL; Stabilito di disporre la pubblicazione del presente provvedimento sul BURL e sul sito internet della Direzione Generale Sanità; Vagliate ed assunte come proprie le predette determinazioni; A voti unanimi espressi nelle forme di legge; DELIBERA per le motivazioni indicate in premessa e qui integralmente richiamate: 1. di riconfermare il principio di salvaguardia, espresso dalla citata dgr n. IX/3976 del 6 agosto 2012, delle attività che fino al 2012 erano classificate come extrabudget, utilizzando ai fini della definizione degli importi contrattuali 2013 la casistica extrabudget prodotta e consuntivata nel 2012; 2. di procedere alla revisione dell’elenco delle procedure da afferire alla BIC, di cui all’Allegato A, parte integrante del presente atto, che supera e sostituisce integralmente l’elenco allegato alla d.g.r. n. IX/4605/2012; 3. di stabilire: • che le procedure chirurgiche contenute nel presente Allegato A, influenzanti l’attribuzione del DRG (MPR), a partire dalle prestazioni prenotate dal 1° giugno 2013, devono essere rendicontate, parimenti alle attività di specialistica ambulatoriale, con il flusso informativo di cui alla Circolare 28 San, anche nel caso in cui esse si riferiscano ad episodi assistenziali con pernottamento di una notte, in quanto la suddetta notte è considerata di semplice osservazione e non di assistenza; • che continueranno ad essere considerati e rendicontati come attività di ricovero solo i casi con almeno due notti di degenza, pur prevedendo per gli stessi la medesima tariffa unica di cui all’Allegato A; • che nel caso in cui vengano effettuate contestualmente più procedure di cui solo la principale (MPR) è contenuta negli elenchi della BIC, tutte le procedure chirurgiche effettuate devono essere ricondotte alla principale e quindi deve essere rendicontata una sola prestazione con il flusso di cui alla circolare 28 San; • che entro il 31 ottobre 2013 le ASL ed i soggetti erogatori dovranno effettuare una modifica al valore contrattualizzato per le attività di ricovero e per quelle di specialistica ambulatoriale prevedendo, ad integrazione del cosiddetto 97%, di spostare le quote attribuibili alle nuove attività di BIC dal ricovero all’ambulatoriale; 4. di approvare i seguenti allegati, parti integranti del presente provvedimento: • Allegato B, in cui sono riportate le prestazioni di Genetica Medica e le prestazioni di Onco-ematologia e Oncologia molecolare; • Allegato C in cui sono specificati i possibili prescrittori e sono dettagliate le modalità di prescrizione e di raccolta del «consenso informato» per le prestazioni di cui all’allegato B; 5. di stabilire che: −− in presenza di richieste di prescrizioni di prestazioni non ricomprese nell’allegato B, perché le stesse possano essere a carico del SSR, sarà necessario che le stesse rappresentino un test effettivamente consolidato nella pratica clinica;",,
15,"– 12 – Serie Ordinaria n. 5 - Lunedì 28 gennaio 2013 −− trattandosi di prestazioni di Medicina di Laboratorio, se le prestazioni non sono eseguite presso la struttura sanitaria che le richiede per i propri pazienti ricoverati o presso la struttura sanitaria in cui ha avuto luogo l’accesso dell’utente ambulatoriale: • le stesse possono essere inviate ad altre strutture sanitarie secondo quanto previsto dal decreto del DG Sanità n. 42811 del 15 ottobre 1999; • l’invio dei campioni da analizzare da una struttura all’altra deve essere eseguito a cura della struttura inviante, sulla base di specifiche convenzioni/accordi tra laboratori o Enti che li rappresentano, in modo tecnicamente e professionalmente adeguato, nel rispetto anche delle norme relative al trasporto di materiali potenzialmente infetti, e non può essere eseguito tramite gli stessi utenti; −− nel caso di utenti ambulatoriali, le impegnative devono essere conservate presso la struttura che ha provveduto all’accettazione amministrativa dell’utente, al conseguente prelievo del campione, in conformità alle indicazioni della normativa vigente, e che ne provvede alla rendicontazione tramite il flusso informativo di cui alla circolare 28 San; 6. di modificare, laddove possibile, le modalità di prescrizione informatizzata del sistema CRS-SISS in modo da renderlo compatibile con quanto previsto dal presente provvedimento; 7. di introdurre nei controlli delle prestazioni ambulatoriali dei meccanismi automatici che permettano alle ASL di individuare comportamenti sia degli erogatori che dei prescrittori non conformi a quanto previsto nel presente provvedimento; 8. di stabilire che le disposizioni relative alle modalità di prescrizione delle prestazioni di laboratorio di cui agli Allegati B, C, entrano in vigore dal 90° giorno dalla data di pubblicazione sul BURL; 9. di disporre la pubblicazione del presente provvedimento sul BURL e sul sito internet della Direzione Generale Sanità.",,
16,II segretario: Luca Dainotti ——— • ———,,
17,Bollettino Ufficiale,,
18,Bollettino Ufficiale,,
19,– 13 – Serie Ordinaria n. 5 - Lunedì 28 gennaio 2013 ALLEGATO A,,
20,Descrizione,,
21,Tariffa in euro,,
22,DRG di provenienza,,
23,DRG a rischio inappropriatezza (Patto per la Salute 2010-2012),,
24,04.44,,
25,"LIBERAZIONE DEL TUNNEL TARSALE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo",,
26,1.816,,
27,"008, 225",,
28,Allegato A,,
29,IHca,,
30,05.29,,
31,"ALTRE SIMPATECTOMIE E GANGLIECTOMIE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo",,
32,2.075,,
33,"007, 008",,
34,Allegato B,,
35,OCULISTICA,,
36,IHca,,
37,13.19,,
38,839,,
39,039,,
40,Allegato A,,
41,OCULISTICA,,
42,IHca,,
43,13.70,,
44,843,,
45,039,,
46,Allegato B,,
47,OCULISTICA,,
48,IHca,,
49,13.71,,
50,850,,
51,039,,
52,Allegato A,,
53,OCULISTICA,,
54,IHca,,
55,13.72,,
56,848,,
57,039,,
58,Allegato A,,
59,OCULISTICA,,
60,IHca,,
61,13.8,,
62,847,,
63,039,,
64,Allegato A,,
65,OTORINOLARINGOIATRIA,,
66,IHca,,
67,18.31,,
68,1.100,,
69,"055, 270",,
70,Allegato B,,
71,OTORINOLARINGOIATRIA,,
72,IHca,,
73,18.39,,
74,1.200,,
75,"055, 270",,
76,Allegato B,,
77,OTORINOLARINGOIATRIA,,
78,IHca,,
79,21.5,,
80,1.373,,
81,055,,
82,Allegato B,,
83,OTORINOLARINGOIATRIA,,
84,IHca,,
85,21.61,,
86,1.381,,
87,055,,
88,Allegato B,,
89,OTORINOLARINGOIATRIA,,
90,IHca,,
91,21.62,,
92,1.382,,
93,055,,
94,Allegato B,,
95,OTORINOLARINGOIATRIA,,
96,IHca,,
97,21.69,,
98,1.381,,
99,055,,
100,Allegato B,,
101,IHca,,
102,24.5,,
103,1.359,,
104,"168, 169",,
105,Allegato B,,
106,IHca,,
107,30.09,,
108,1.376,,
109,055,,
110,Allegato B,,
111,2.600,,
112,"076, 077, 402, 408",,
113,Allegato B,,
114,1.118,,
115,"162, 163",,
116,Allegato A,,
117,1.063,,
118,"162, 163",,
119,Allegato A,,
120,Branca ORTOPEDIA E TRAUMATOLOGIA/ CHIRURGIA PLASTICA/ NEUROCHIRURGIA CHIRURGIA GENERALE/ CHIRURGIA PLASTICA/ NEUROCHIRURGIA,,
121,ODONTOSTOMATOLOGIACHIRURGIA MAXILLOFACCIALE/ OTORINOLARINGOIATRIA OTORINOLARINGOIATRIA/ CHIRURGIA GENERALE PNEUMOLOGIA/CHIRURGIA GENERALE,,
122,Nota,,
123,Codice,,
124,IHca,,
125,IHca,,
126,CHIRURGIA GENERALE,,
127,IHca,,
128,CHIRURGIA GENERALE,,
129,IHca,,
130,"ALTRA ESTRAZIONE INTRACAPSULARE DEL CRISTALLINO - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo INSERZIONE DI CRISTALLINO ARTIFICIALE, SAI - Incluso: visita anestesiologica ed anestesia, esami preintervento, intervento, medicazioni, rimozioni punti, visita di controllo INSERZIONE DI CRISTALLINO ARTIFICIALE INTRAOCULARE AL MOMENTO DELLA ESTRAZIONE DI CATARATTA, ESEGUITI IN CONTEMPORANEA - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo IMPIANTO SECONDARIO DI CRISTALLINO ARTIFICIALE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RIMOZIONE DI CRISTALLINO IMPIANTATO - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ASPORTAZIONE RADICALE DI LESIONE DELL’ORECCHIO ESTERNO - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ALTRA ASPORTAZIONE DELL’ORECCHIO ESTERNO - Incluso: visita anestesiologica ed anestesia, esami preintervento, intervento, medicazioni, rimozioni punti, visita di controllo RESEZIONE SOTTOMUCOSA DEL SETTO NASALE - Incluso: visita anestesiologica ed anestesia, esami preintervento, intervento, medicazioni, rimozioni punti, visita di controllo TURBINECTOMIA MEDIANTE DIATERMIA O CRIOCHIRURGIA - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo FRATTURA DEI TURBINATI - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ALTRA TURBINECTOMIA - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ALVEOLOPLASTICA - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo",,
131,"ALTRA ASPORTAZIONE O DEMOLIZIONE DI LESIONE O TESSUTO DELLA LARINGE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo BIOPSIA ENDOSCOPICA DEL POLMONE - Incluso: visita anestesiologica ed anestesia, esami pre-interven33.27 to, intervento, medicazioni, rimozioni punti, visita di controllo RIPARAZIONE MONOLATERALE DI ERNIA INGUINALE DIRETTA - Incluso: visita anestesiologica ed anestesia, 53.01 esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RIPARAZIONE MONOLATERALE DI ERNIA INGUINALE INDIRETTA - Incluso: visita anestesiologica ed aneste53.02 sia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo",,
132,Bollettino Ufficiale,,
133,– 14 – Serie Ordinaria n. 5 - Lunedì 28 gennaio 2013,,
134,Branca,,
135,Nota,,
136,Codice,,
137,CHIRURGIA GENERALE,,
138,IHca,,
139,53.03,,
140,CHIRURGIA GENERALE,,
141,IHca,,
142,53.04,,
143,CHIRURGIA GENERALE,,
144,IHca,,
145,53.05,,
146,CHIRURGIA GENERALE,,
147,IHca,,
148,53.21,,
149,CHIRURGIA GENERALE,,
150,IHca,,
151,53.29,,
152,CHIRURGIA GENERALE,,
153,IHca,,
154,53.41,,
155,CHIRURGIA GENERALE,,
156,IHca,,
157,53.49,,
158,IHca,,
159,63.1,,
160,IHca,,
161,63.2,,
162,IHca,,
163,67.2,,
164,IHca,,
165,67.39,,
166,IHca,,
167,68.29,,
168,ORTOPEDIA E TRAUMATOLOGIA/ CHIRURGIA PLASTICA,,
169,IHca,,
170,77.51,,
171,ORTOPEDIA E TRAUMATOLOGIA/ CHIRURGIA PLASTICA,,
172,IHca,,
173,78.60,,
174,ORTOPEDIA E TRAUMATOLOGIA/ CHIRURGIA PLASTICA,,
175,IHca,,
176,78.61,,
177,IHca,,
178,78.62,,
179,IHca,,
180,78.63,,
181,IHca,,
182,78.64,,
183,IHca,,
184,78.65,,
185,IHca,,
186,78.66,,
187,CHIRURGIA GENERALE/ UROLOGIA CHIRURGIA GENERALE/ UROLOGIA OSTETRICIA E GINECOLOGIA/ CHIRURGIA GENERALE OSTETRICIA E GINECOLOGIA/ CHIRURGIA GENERALE OSTETRICIA E GINECOLOGIA/ CHIRURGIA GENERALE,,
188,ORTOPEDIA E TRAUMATOLOGIA/ CHIRURGIA PLASTICA ORTOPEDIA E TRAUMATOLOGIA/ CHIRURGIA PLASTICA ORTOPEDIA E TRAUMATOLOGIA/ CHIRURGIA PLASTICA ORTOPEDIA E TRAUMATOLOGIA/ CHIRURGIA PLASTICA ORTOPEDIA E TRAUMATOLOGIA/ CHIRURGIA PLASTICA,,
189,"Descrizione RIPARAZIONE MONOLATERALE DI ERNIA INGUINALE DIRETTA CON INNESTO O PROTESI - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RIPARAZIONE MONOLATERALE DI ERNIA INGUINALE INDIRETTA CON INNESTO O PROTESI - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RIPARAZIONE MONOLATERALE DI ERNIA INGUINALE CON INNESTO O PROTESI, SAI - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RIPARAZIONE MONOLATERALE DI ERNIA CRURALE CON INNESTO O PROTESI - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ALTRA ERNIORRAFIA CRURALE MONOLATERALE - Incluso: visita anestesiologica ed anestesia, esami preintervento, intervento, medicazioni, rimozioni punti, visita di controllo RIPARAZIONE DI ERNIA OMBELICALE CON PROTESI - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ALTRA ERNIORRAFIA OMBELICALE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ASPORTAZIONE DI VARICOCELE E IDROCELE DEL CORDONE SPERMATICO - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ASPORTAZIONE DI CISTI DELL’EPIDIDIMO O SPERMATOCELE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo CONIZZAZIONE DELLA CERVICE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ALTRA ASPORTAZIONE O DEMOLIZIONE DI LESIONE O TESSUTO DELLA CERVICE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ALTRA ASPORTAZIONE O DEMOLIZIONE DI LESIONE DELL’UTERO - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo ASPORTAZIONE DI BORSITE CON CORREZIONE DEI TESSUTI MOLLI ED OSTEOTOMIA DEL PRIMO METATARSO - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RIMOZIONE DI DISPOSITIVO IMPIANTATO, SEDE NON SPECIFICATA - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RIMOZIONE DI DISPOSITIVO IMPIANTATO DA SCAPOLA, CLAVICOLA E TORACE (COSTE E STERNO) - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RIMOZIONE DI DISPOSITIVO IMPIANTATO DALL’OMERO - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RIMOZIONE DI DISPOSITIVO IMPIANTATO DA RADIO E ULNA - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RIMOZIONE DI DISPOSITIVO IMPIANTATO DA CARPO E METACARPO - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RIMOZIONE DI DISPOSITIVO IMPIANTATO DAL FEMORE - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo RIMOZIONE DI DISPOSITIVO IMPIANTATO DALLA ROTULA - Incluso: visita anestesiologica ed anestesia, esami pre-intervento, intervento, medicazioni, rimozioni punti, visita di controllo",,
190,Tariffa in euro,,
191,DRG di provenienza,,
192,DRG a rischio inappropriatezza (Patto per la Salute 2010-2012),,
193,1.122,,
194,161-163,,
195,Allegato B,,
196,1.120,,
197,161-163,,
198,Allegato B,,
199,1.114,,
200,161-163,,
201,Allegato B,,
202,1.120,,
203,162,,
204,Allegato A,,
205,1.105,,
206,"162, 163",,
207,Allegato A,,
208,1.502,,
209,"159, 160, 163",,
210,Allegato A,,
211,1.467,,
212,"159, 160, 163",,
213,Allegato A,,
214,1.472,,
215,"339, 340",,
216,Allegato B,,
217,1.580,,
