Sentence Number;Text;Label
20;Dato atto che : • durante la prima fase sperimentale sono stati effettuati sul T  Belviso monitoraggi di indicatori biologici ( macroinvertebrati , diatomee , fauna ittica ) e chimico - fisici , attraverso l’ applicazione dei rispettivi indici di qualità ai sensi del DM 260/2010 , oltre a misure di portata ed approfondimenti sull’ habitat acquatico e spondale , presso le seguenti stazioni di monitoraggio : COD;1
21;• oltre alle stazioni specificate nella precedente tabella , nel;1
22;corso della sperimentazione sono stati effettuati campionamenti e indagini anche nei seguenti tratti : −− nel tratto iniziale del T  Belviso immediatamente a valle della confluenza del T  Soffia ( tratto denominato BEL0 ) , durante la stagione estiva 2011 sono state effettuate indagini integrative attraverso campionamenti di macrobenthos e verifiche sulla presenza di ittiofauna , secondo quanto stabilito in sede di Tavolo tecnico negli incontri del 5 aprile 2011 e del 4 maggio 2011;1
23;−− sui Torrenti Caronella e Bondone , a valle delle rispettive prese inferiori , sono stati effettuati approfondimenti tecnici conoscitivi in ottemperanza a quanto disposto dal d d g;1
24;• in località San Paolo in corrispondenza della stazione BEL1 , come prescritto dal ddg 8190/2009 , è stata realizzata una soglia munita di apposita asta idrometrica al fine di effettuare il monitoraggio dei deflussi presenti in alveo;1
25;• nelle date 2 marzo 2010 , 15 luglio 2010 , 30 novembre 2010 ,;1
26;zo 2012 , 25 ottobre 2012 si sono svolti incontri del Tavolo tecnico durante i quali sono stati commentati i monitoraggi effettuati sulla base dello stato di avanzamento e sono state discusse problematiche specifiche inerenti diversi aspetti della sperimentazione;1
27;• come richiesto dal Tavolo tecnico inoltre , in occasione della seduta del 4 maggio 2011 , il Proponente ha depositato e presentato il documento » Valutazione dell’ efficacia del rilascio del DMV idrologico dalle prese basse dei Torrenti Bondone e Caronella »;1
28;• in data 26 ottobre 2012 infine il Proponente ha inviato a tutti i referenti del Tavolo tecnico , a titolo di integrazione , un ulteriore documento intitolato « Il Torrente Belviso a monte del primo punto di monitoraggio » quale nota di dettaglio relativa alle dimensioni ed alle condizioni idrauliche del primo tratto di T  Belviso , appena a valle della diga di Frera;1
29;Serie Ordinaria n  5 - Lunedì 28 gennaio 2013 giunti dai parametri indagati nelle 4 stazioni di monitoraggio BEL1-BEL2-BEL3-BEL4 sul T  Belviso;1
30;mità rispetto alle metodiche di campionamento indicate da ARPA Lombardia , i risultati dei monitoraggi siano affetti da basso livello di incertezza;1
31;• di conseguenza , presso le 4 stazioni di monitoraggio sul T  Belviso , gli obiettivi della sperimentazione possano essere considerati sostanzialmente raggiunti;1
32;• per quanto riguarda invece la derivazione n  15 « Bondone;1
33;inferiore » , il rilascio in via sperimentale di una portata di 16 l / s , pari al 5 % della media naturale annua , nel periodo invernale non si è rivelata efficace rispetto all’ obiettivo di mantenimento in alveo di condizioni di continuità idraulica;1
34;si ritiene quindi necessario che – almeno nel periodo invernale compreso tra il 1 dicembre e il 31 marzo - sia incrementato lo scenario di rilascio del DMV almeno fino al valore della componente idrologica , pari a 32 l / s , e sia assicurata nell’ intero corso dell’ anno a cura del Proponente la verifica della continuità idraulica fino all’ immissione nel F  Adda;1
35;Si prende atto del sostanziale raggiungimento degli obiettivi della sperimentazione presso le stazioni di monitoraggio BEL1-BEL2-BEL3-BEL4;1
36;È confermata l’ entità del rilascio del DMV sperimentale dalla derivazione n  10 « Diga di Ganda » , pari a 147 l / s , a condizione che il Proponente definisca un miglior metodo di attuazione , verifica e controllo delle portate rilasciate , da validare in sede di Tavolo tecnico , secondo quanto dettagliato in premessa;1
37;−− la deliberazione della Giunta regionale n  VIII/7271 del 19 maggio 2008 « Reg   CE 1698/2005 Programma di Sviluppo Rurale 2007 - 2013   Criteri di riparto delle risorse finanziarie relative alle misure : 111 , 112 , 121 , 123 , 124 , 132 , 211 , 214 , 221 , 311 A , 311 B , 311 C »;1
38;Visti gli elenchi , per complessive 41domande , che le Province della Lombardia dichiarano di aver istruito con esito favorevole , secondo le priorità stabilite dalle disposizioni attuative della Misura 221 , relativi all’ ottavo periodo di raccolta delle domande ( 14 maggio 2011 – 1° agosto 2011 );1
39;Considerato che la Struttura Foreste della D G  Sistemi Verdi e Paesaggio , nell’ esercizio dell’ attività di controllo , ha accertato che i progetti di intervento relativi a cinque delle domande contenute negli elenchi inviati dalle province di Pavia e di Milano non rispettano compiutamente i criteri tecnici di ammissibilità stabiliti dal bando , in particolare per quanto concerne il limite;1
40;massimo di n  270 piante di pioppo per ettaro , previste per impianti di tipologia B;1
41;Ritenuto di ammettere a finanziamento n  36 domande , in quanto istruite favorevolmente dalle Province competenti e rispondenti al criterio relativo al limite massimo di piante di pioppo per ettaro;1
42;Ritenuto di subordinare l’ ammissione delle cinque domande , sopra menzionate , i cui progetti sono risultati difformi , a seguito dell’ approvazione , da parte delle province competenti , delle varianti progettuali che dovranno essere presentate dai richiedenti il contributo , al fine di assolvere alle prescrizioni tecniche del bando , con particolare riferimento al suddetto limite massimo di n  270 piante di pioppo per ettaro;1
43;Ritenuto che , sulla base dei criteri stabiliti dalla sopra citata d g r   7271/2008 , si può provvedere al riparto delle risorse finanziarie a favore delle Province per un importo totale di contributi ammissibili di € 633 680,97= , relativi a una quota parte dei soli costi di impianto , verificato che la disponibilità finanziaria per la Misura 221 del PSR 2007 - 2013 è sufficiente a coprire la spesa derivante dall’ ammissione a finanziamento di n  36 domande;1
44;158/2012 , convertito con l  189/2012 , prevede che : • entro il 30 giugno 2013 ciascuna delle regioni e delle province autonome di Trento e di Bolzano provvede a riorganizzare i comitati etici istituiti nel proprio territorio , attenendosi ai seguenti criteri ( … ) • con decreto del Ministro della salute , su proposta dell’ AIFA per i profili di sua competenza , d’ intesa con la Conferenza permanente per i rapporti tra lo Stato , le regioni e le province autonome di Trento e di Bolzano , sono dettati criteri per la composizione dei comitati etici e per il loro funzionamento ( … ) Richiamata la la d g r   n  IX/4334 del 26 ottobre 2012 « Determinazioni in ordine alla gestione del servizio socio sanitario regionale per l’ esercizio 2013 » che prevede che : −− « Ai sensi di quanto disposto dall’ articolo 12 della legge n  189/2012 in materia di riordino dei Comitati Etici , sarà competenza della DG Sanità dare le indicazioni operative ai sensi dei necessari provvedimenti che dovranno essere adottati in ottemperanza a quanto disposto dalla succitata norma » Considerato che la composizione dei nuovi CE dovrà essere conforme a quanto stabilito dal decreto del Ministro della salute previsto dal sopra citato decreto;1
45;Considerato che quanto emerso dagli Osservatori Territoriali delle ASL lombarde , mostra che la patologia del gioco d’ azzardo tocca vaste fasce di popolazione di tutte le età e genere;1
46;Considerato che il fenomeno ha una ricaduta importante sia in termini economici che sociali , soprattutto sulle fasce più deboli della popolazione e che la Lombardia è tra le regioni italiane con la maggior spesa pro capite per il gioco d’ azzardo;1
47;• la d c r   del 9 luglio 2013 n  78 , « Programma Regionale di Sviluppo della X Legislatura » che prevede , all’ interno del capitolo « Programmazione e governo della rete dei servizi sociosanitari e sociali » , di sostenere gli interventi di prevenzione e cura delle ludopatie , allo scopo di proteggere e tutelare soprattutto le categorie più deboli ( giovani , anziani , disoccupati , etc  ) , che rappresentano i soggetti più colpiti da quella che è ormai una malattia sociale vera e propria;1
48;• la d g r   del 17 novembre 2010 , n  88 , che approva il Piano Socio Sanitario Regionale 2010 – 2014 dove , al paragrafo dedicato alle Dipendenze , è prevista una serie di azioni prioritarie sui nuovi bisogni emergenti , attraverso la formulazione di piani / programmi regionali d’ intervento , con la promozione di patti territoriali tra le diverse istituzioni per la presa in carico e il reinserimento delle persone con problemi di dipendenza e con il coinvolgimento delle realtà associative di aiuto e auto - aiuto delle famiglie delle persone con problemi di dipendenza;1
49;• la d g r;1
50;25 ottobre 2012 , n  4225 di adozione del Piano;1
51;Azione Regionale Dipendenze , che richiama l’ attenzione sul modificarsi dei comportamenti legati al consumo , all’ abuso e alla dipendenza anche senza sostanze , che originano domande di aiuto e di presa in carico e , rispetto alle quali , l’ attuale sistema di intervento necessita un adeguamento , differenziando gli interventi e le prestazioni in relazione ai bisogni delle persone , per garantire la continuità degli interventi stessi;1
52;Ritenuto altresì di rinviare a successivi provvedimenti delle Direzioni Generali interessate la declinazione operativa , il coordinamento ed il monitoraggio delle diverse azioni , nonché l’ individuazione delle risorse necessarie per dare piena attuazione al suddetto Programma 2014 , sulla base delle disponibilità di bilancio regionale , precisando che le attività di prevenzione , conoscenza , informazione e presa in carico delle persone e delle loro famiglie verranno assicurate attraverso un’ azione congiunta da parte della Direzione Generale Famiglia , Solidarietà Sociale e Volontariato e della Direzione Generale Salute;1
53;2   di rinviare a successivi provvedimenti delle Direzioni Generali interessate la declinazione operativa , il coordinamento ed il monitoraggio delle diverse azioni , nonché l’ individuazione delle risorse necessarie per dare piena attuazione al suddetto Programma 2014 , sulla base delle disponibilità di bilancio regionale , precisando che le attività di prevenzione , conoscenza , informazione e presa in carico delle persone e delle loro famiglie verranno assicurate attraverso un’ azione congiunta da parte della Direzione Generale Famiglia , Solidarietà Sociale e Volontariato e della Direzione Generale Salute;1
54;3   Di dare atto che , per quanto concerne le emissioni derivanti dall’ attività dell’ intero impianto , le relative prescrizioni di maggiore dettaglio sono disposte con specifico provvedimento autorizzatorio d lgs   152/06 e s m i;1
55;Vista la nota , pervenuta alla competente Struttura « Foreste » in data 17 dicembre 2012 , prot;1
56;F1 2012 0024294 , con la quale la Comunità Montana dell’ Oltrepò Pavese , esprimendo parere favorevole in merito , ha trasmesso la richiesta di riconoscimento di tartufaia controllata e di concessione di raccolta riservata , presentata dal Consorzio agro - silvo - pastorale Reganzo;1
57;Richiamato in particolare l’ Allegato A della sopra citata d g r   , che reca disposizioni circa le procedure da seguire nei casi di cambiamento dell’ ente gestore di una unità di offerta socio sanitaria accreditata;1
58;Evidenziato che a tal fine Ente Gestore uscente ed Ente Gestore subentrante hanno provveduto nei modi previsti dalla citata d g r   n  3540/12 a richiedere il parere preventivo per la voltura , fornendo i necessari elementi di conoscenza e il parere positivo è stato rilasciato con nota prot n  G1 2012 0015027 in data 20 novembre 2012;1
59;• l’ ASL di Como ha attestato il possesso dei requisiti di accreditamento in capo all’ Ente Gestore subentrante , con Determinazione n  64/2012 del 20 dicembre 2012 protocollato in data 2 gennaio 2013 n  prot;1
60;za dalla data di approvazione del presente decreto , sulla base delle verifiche compiute dalla competente ASL di Como ,;1
61;DECRETA 1   di procedere , con decorrenza dalla data del presente provvedimento , alla voltura dell’ accreditamento della seguente unità di offerta socio sanitaria : Comunità Terapeutica denominata « Centro di Accoglienza Padri Somaschi » con sede In Tavernerio ( CO ) , Via Montegrappa n  1 , già accreditata per n  21 posti di Servizio terapeutico riabilitativo , in favore del seguente nuovo ente gestore : « Fondazione Somaschi Onlus » con sede legale in;1
62;Milano , Piazza XXV Aprile n  2 , C F  97597340153 , sulla base delle verifiche compiute dall’ ASL di Como;1
63;Dato atto che è stata accertata , da parte della struttura « Regolazione , accreditamento e contratti » , la corrispondenza della richiesta con la documentazione agli atti;1
64;Preso atto altresì che il Piano della caratterizzazione approvato prevede , quale approccio metodologico , l’ intervento per singole sub - aree , in riferimento alle diverse caratteristiche delle porzioni di territorio comprese nel sito , in particolare per il loro uso pregresso , nonché per conciliare , su un sito di ampie dimensioni , le operazioni di bonifica e la realizzazione delle infrastrutture ed opere pubbliche previste dall’ evento;1
65;Preso atto di quanto indicato nel documento progettuale di cui sopra , ed in particolare della strategia dell’ intervento di bonifica che ha come obiettivo il raggiungimento delle Concentrazioni Soglia di Contaminazione ( C S C  ) per la specifica destinazione d’ uso;1
66;Considerato che ai fini istruttori , è stata convocata in data 14 dicembre 2012 , presso la Direzione Generale Ambiente , Energia e Reti , una Conferenza di Servizi ai sensi dell’ art  14 , l  7 agosto 1990 , n  241 , e s m i   , per l’ acquisizione dei pareri sul Progetto Operativo di bonifica degli areali 8A e 8B e per la quale è stata richiesta la presenza della Provincia di Milano , dei Comuni di Milano e Rho , dell’ A R P A  Lombardia – Dipartimento Provinciale di Milano , della Società Metropolitana Milanese s p a  e della Società Expo 2015 s p a;1
67;Preso atto che la Conferenza predetta , ha ritenuto opportuno , visto ed esaminato il documento progettuale presentato , di approvarne i contenuti , con le osservazioni e prescrizioni di cui alle considerazioni finali della Conferenza di Servizi indicate nel relativo verbale;1
68;– 68 – Serie Ordinaria n  2 - Venerdì 11 gennaio 2013 Ritenuto necessario che il verbale della Conferenza di Servizi costituisca parte integrante del presente provvedimento ( allegato 1)(omissis );1
69;3 aprile 2006 , n  152 , il « Progetto operativo di bonifica degli areali 8A e 8B » delle aree che ospiteranno l’ Esposizione Universale 2015 , ubicate nei Comuni di Milano e Rho ( MI ) , presentato dalla Società Metropolitana Milanese s p a  per conto della Società Expo 2015 s p a  e di autorizzare gli interventi in esso previsti , con le osservazioni e prescrizioni espresse dalla Conferenza di Servizi , di cui all’ allegato 1 al presente atto(omissis );1
70;3 aprile 2006 , n  152 , a seguito delle risultanze della caratterizzazione effettuata , la riperimetrazione delle aree oggetto di bonifica , escludendo dal relativo procedimento la restante parte del Comparto 8 risultata non contaminata , secondo la documentazione trasmessa dalla Società Metropolitana Milanese s p a  per conto dalla Società Expo 2015 s p a  , ed in particolare secondo la Figura 19 che costituisce parte integrante del presente provvedimento ( allegato 2)(omissis ) , del Progetto Operativo di Bonifica degli Areali 8A e 8B di cui alla nota di parte 726/2012;1
71;DECRETA 1   di approvare ai sensi del comma 7 , dell’ art  242 del d lgs;1
72;3 aprile 2006 , n  152 , il « Progetto operativo di bonifica degli areali 8A e 8B » delle aree che ospiteranno l’ Esposizione Universale 2015 , ubicate nei Comuni di Milano e Rho ( MI ) , presentato dalla Società Metropolitana Milanese s p a  per conto della Società Expo 2015 s p a  e di autorizzare gli interventi in esso previsti , con le osservazioni e prescrizioni espresse dalla Conferenza di Servizi , il cui verbale costituisce parte integrante del presente provvedimento ( allegato 1)(omissis );1
73;3   di approvare ai sensi dell’ art  242 del d lgs;1
74;3 aprile 2006 , n  152 , a seguito delle risultanze della caratterizzazione effettuata , la riperimetrazione delle aree oggetto di bonifica , escludendo dal relativo procedimento la restante parte del Comparto 8 risultata non contaminata , secondo la documentazione trasmessa dalla Società Metropolitana Milanese s p a  per conto dalla Società Expo 2015 s p a  , ed in particolare secondo la Figura 19 che costituisce parte integrante del presente provvedimento ( allegato 2)(omissis ) , del Progetto Operativo di Bonifica degli Areali 8A e 8B di cui alla nota di parte 726/2012;1
75;Atteso che : −− l ’ ASL di Lecco ha verificato il possesso dei requisiti di accreditamento in capo all’ Ente Gestore subentrante , come attestato dalla deliberazione del Direttore Generale n  3 del 13 gennaio 2014 , trasmessa alla Direzione Generale Famiglia , Solidarietà Sociale e Volontariato con nota protocollata in data 21 gennaio 2014 prot   n  701 , −− l’ immobile dove è esercitata l’ attività dell’ unità di offerta oggetto della presente voltura è di proprietà di Villa Serena s p a  e sarà condotto a titolo di concessione , da parte dell’ Ente Gestore subentrante , −− l’ attività è esercitata a seguito di sottoscrizione di contratto di concessione per la gestione della R S A  sino al 31 dicembre 2035 , −− per la realizzazione dell’ immobile sede dell’ attività sono stati impiegati finanziamenti regionali ex d g r;1
76;Ritenuto : −− di provvedere alla iscrizione nell’ apposito registro regionale della voltura di cui all’ oggetto , con decorrenza dalla data di adozione del presente decreto , sulla base delle verifiche compiute dalla competente ASL di Lecco , −− di stabilire che il nuovo soggetto gestore subentra nel contratto sottoscritto con l’ ASL di Lecco , che dovrà essere modificato in relazione alla variazione del soggetto gestore e conseguentemente trasmesso alla Direzione Generale Famiglia , Solidarietà Sociale e Volontariato;1
77;Richiamata , in particolare , la d g r   n  IX/4491 del 13 dicembre 2012 « Determinazioni in merito alle modalità per la valutazione e il finanziamento di progetti di ricerca indipendente in materia sanitaria » che : • ha approvato i criteri di valutazione e le modalità operative per la realizzazione del bando per il finanziamento dei progetti di ricerca indipendente nel settore sanitario;1
78;• ha destinato al finanziamento dei progetti di ricerca indipendente , di cui al punto precedente , la somma complessiva di Euro 4 000 000,00 a valere sulla disponibilità del capitolo 2 2 0 2 256 7644 del bilancio regionale;1
79;• ha rinviato a successivi atti della Direzione generale Sanità l’ assunzione di tutti i provvedimenti necessari per l’ attuazione delle finalità indicate nel provvedimento di cui trattasi;1
80;Dato atto che le risorse destinate al finanziamento del bando , di cui trattasi , pari a Euro 4 000 000,00 , trovano copertura al capitolo 2 2 0 2 256 7644 del bilancio regionale;1
81;Di stabilire che le risorse destinate al finanziamento del bando di cui al punto 1 ) , pari a Euro 4 000 000,00 , trovano copertura al capitolo 2 2 0 2 256 7644 del bilancio regionale;1
82;Ricordato che le analisi eseguite con POCT di solito sono molto più costose di quelle eseguite su « normale » strumentazione di laboratorio e che la proliferazione di fonti di produzione di esami di laboratorio può generare risultati non confrontabili tra di loro;1
83;Stabilito , infine , che in ogni caso per poter utilizzare correttamente le strumentazioni POCT e i loro risultati ci si debba attenere alle procedure tecniche di cui all’ allegato 1 , parte integrante del presente provvedimento , e che queste procedure debbano consistere in documenti aggiornati ed accessibili agli utilizzatori dei POCT;1
84;c ) per poter utilizzare correttamente le strumentazioni POCT e i loro risultati ci si deve attenere alle procedure tecniche di cui all’ allegato 1 , parte integrante del presente provvedimento , precisato che queste procedure debbano consistere in documenti aggiornati ed accessibili agli utilizzatori dei POCT;1
85;Considerato che ai fini istruttori , è stata convocata in data 16 novembre 2012 , presso la Direzione Generale Ambiente , Energia e Reti , una Conferenza di Servizi ai sensi dell’ art  14 , l  7 agosto 1990 , n  241 , e s m i   , per l’ acquisizione dei pareri sul « Piano integrativo d’ indagine Settore C107 : relazione descrittiva delle attività svolte e analisi di rischio sito – specifica » , e per la quale è stata richiesta la presenza delle province di Milano e di Monza Brianza , dei Comuni di Ceriano Laghetto , Bovisio Masciago , Limbiate e Cesano Maderno , dell’ A R P A  Lombardia – Dipartimenti di Monza Brianza , dell’ ASL di Monza Brianza e della società Bracco Imaging s p a;1
86;Preso atto che la Conferenza predetta , ha ritenuto opportuno , visto ed esaminato il documento progettuale presentato , di approvarne i contenuti , con le osservazioni e prescrizioni di cui alle considerazioni finali della Conferenza di Servizi indicate nel relativo verbale;1
87;Considerato che il comune di Ceriano Laghetto , con nota n  8716 del 15 novembre 2012 , agli atti regionali con prot;1
88;22929 del 16 novembre 2012 , ha segnalato , in riferimento ai lavori della Conferenza di Servizi del 15 novembre 2012 , che l’ area C 107 , confina con un’ area oggetto di istanza di Permesso di Costruire per la costruzione di una nuova centrale termoelettrica da 125 MWE e che l’ istanza è stata diniegata con provvedimento del 27 luglio 2009 , atti n  7339;1
89;Considerato che la provincia di Monza Brianza , con nota n  48754 del 7 dicembre 2012 , ha trasmesso il parere relativo al documento oggetto di esame da parte della Conferenza di servizi del 16 novembre 2012;1
90;Ritenuto pertanto , di approvare ai sensi del comma 4 , dell’ art  242 del d lgs;1
91;3 aprile 2006 , n  152 , il « Piano integrativo d’ indagine Settore C107 : relazione descrittiva delle attività svolte e analisi di rischio sito – specifica » , ricadente all’ interno dell’ ex area Acna di Cesano Maderno , Limbiate , Bovisio Masciago e Ceriano Laghetto con le osservazioni e prescrizioni espresse dalla Conferenza di Servizi , di cui all’ allegato 1)(omissis ) al presente atto;1
92;DECRETA 1   di approvare , ai sensi del comma 4 , dell’ art  242 del d lgs;1
93;3 aprile 2006 , n  152 , il « Piano integrativo d’ indagine Settore C107 : relazione descrittiva delle attività svolte e analisi di rischio sito – specifica » , ricadente all’ interno dell’ ex area Acna di Cesano Maderno , Limbiate , Bovisio Masciago e Ceriano Laghetto , presentato dalla Società Bracco Imaging s p a  , con sede legale in via Egidio Folli , 50 del comune di Milano , con le osservazioni e prescrizioni espresse dalla Conferenza di Servizi , il cui verbale costituisce parte integrante del presente provvedimento ( allegato 1)(omissis );1
94;Preso atto che con le dd g r   citate sono state definite le procedure per l’ accreditamento delle unità d’ offerta socio - sanitarie;1
95;Vista la circolare regionale n  21 del 5 luglio 2007 « Chiarimenti in ordine a d g r   n  3257 del 4 ottobre 2006 » che indica , tra l’ altro , le modalità per ottenere il riconoscimento di Ente Unico;1
96;Dato atto che è stata accertata , da parte della struttura « Regolazione , accreditamento e contratti » , la corrispondenza della richiesta con la documentazione agli atti;1
97;Richiamato l’ art 25 del d lgs;1
98;33/2013 ( Obblighi di pubblicazione concernenti i controlli sulle imprese ) che prevede che le ASL , nella qualità di autorità deputate al controllo , inseriscano la tipologia dei controlli in oggetto nella lista dei controlli pubblicata sul proprio sito , unitamente all’ indicazione dei criteri e delle modalità di svolgimento delle relative attività e all’ elenco degli obblighi e degli adempimenti che le imprese sono tenute a rispettare per ottemperare alle disposizioni normative;1
99;Considerato che il Piano regionale dei controlli ufficiali sulla presenza di Organismi Geneticamente Modificati negli alimenti è stato inserito dal 2009 tra gli indicatori utilizzati per la certificazione degli obblighi informativi delle regioni , oggetto di valutazione da parte del « Tavolo di verifica degli adempimenti » , istituito con l’ art  12 dell’ Intesa Stato – Regioni del 23 Marzo 2005;1
