SentenceID;Sentences ;Label 
12; • la d.g.r. 491 n. del 2 agosto 2018 « Determinazioni in ordine alla gestione del servizio sociosanitario per l’ esercizio 2018 – secondo provvedimento 2018 » e in particolare, l’ allegato « Disciplina delle collaborazioni di enti esterni con Regione Lombardia nell’ ambito dell’ attività di programmazione, gestione e controllo e valutazione dell’ assistenza sanitaria previste dall’ art. 85, comma 1, lettera b ) del d.lgs. 196/2003 e del conseguente accesso ai dati del datawarehouse regionale »;1
13; • la deliberazione della Giunta regionale n. IX/4474 del 5 dicembre 2012, con la quale la Regione Lombardia ha provveduto all’ aggiornamento della d.g.r. n. IX/266 del 14 luglio 2010, con particolare riguardo alle procedure di iscrizione e di mantenimento dei laboratori nel registro regionale;0
14; • la deliberazione della Giunta regionale n. IX/4474 del 5 dicembre 2012, con la quale la Regione Lombardia ha provveduto all’ aggiornamento della d.g.r. n. IX/266 del 14 luglio 2010, con particolare riguardo alle procedure di iscrizione e di mantenimento dei laboratori nel registro regionale;0
15; • la l.r. 30 dicembre 2009, n. 33, « Testo unico delle leggi regionali in materia di sanità » come modificata con l.r. 11 agosto 2015, n. 23, « Evoluzione del sistema sociosanitario lombardo: modifiche al Titolo I e al Titolo II della legge regionale 30 dicembre 2009 n. 33 ( Testo unico delle leggi regionali in materia di sanità ) »;0
16; • punto 9 della dgr n. XI/3322/2020 la D.G. Welfare, entro il 31 ottobre 2020 e a partire dall’ anno 2021 entro il 31 marzo, provvederà a dare avviso pubblico ove il monitoraggio del trend della scelta crematoria e degli esiti positivi delle verifiche preventive di cui sopra evidenzino la sussistenza di un fabbisogno regionale, al fine di poter raccogliere le istanze da parte dei Comuni interessati;1
17; −− – 9 maggio 2003, n. 12903, « Indirizzi e criteri per la remunerazione regionale dei Centri Diurni Integrati accreditati in attuazione della d.g.r. 22 marzo 2002, n. 8494 »;0
18; −− 14 dicembre 2001, n. 7435, « Attuazione dell’ art. 12, commi 3 e 4 della l.r. 11 luglio 1997, n. 31: Requisiti per l’ autorizzazione al funzionamento e per l’ accreditamento delle Residenze Sanitario Assistenziali per Anziani ( RSA ) »;0
19; −− 16 dicembre 2019, n. 2672, « Determinazioni in ordine alla gestione del servizio sociosanitario per l’ esercizio 2020 »;0
20; −− 22 marzo 2002, n. 8494, « Requisiti per l’ autorizzazione al funzionamento e l’ accreditamento dei Centri diurni integrati »;0
21;31 ottobre 2014, n. 2569, « Revisione del sistema di esercizio e accreditamento delle unità di offerta sociosanitarie e linee operative per le attività di vigilanza e controllo » come modificata con d.g.r. 29 dicembre 2015, n. 4702, « Determinazioni in ordine alla gestione del servizio socio sanitario regionale per l’ esercizio 2016 »;1
22;7 aprile 2003, n. 12618, « Definizione degli standard di personale per l’ autorizzazione al funzionamento e l’ accreditamento delle Residenze Sanitario Assistenziali per anziani ( RSA ) e prima revisione del sistema di remunerazione regionale ( in attuazione della d.g.r. n. 7435 del 14 dicembre 2001 ) »;1
23;AFNOR 03/04 - 04/05 per la ricerca di Listeria monocytogenes in alimenti;1
24; −− CDD 2 Mincio, CUDES 001924, con sede in Cremona, via Mincio n. 25, 2. di fare obbligo all’ Ente Unico di comunicare tempestivamente alla Regione e alle ATS di ubicazione delle unità di offerta, tutti quegli elementi che eventualmente in futuro possano incidere sul riconoscimento di Ente Unico, ivi comprese la cessazione o la cessione dell’ attività e richiedere, ove necessario, una modifica del riconoscimento medesimo;0
25;CDD 2 Mincio, CUDES 001924, con sede in Cremona, via Mincio n. 25, Ritenuto di accogliere la richiesta di modifica del riconoscimento di Ente Unico per le unità di offerta sociosanitarie di cui sopra, avendo verificato in fase istruttoria la conformità rispetto alla d.g.r. n. 2569/2014, come modificata con DGR n. 4702/2015, la completezza dell’ attestazione del possesso dei requisiti prodotta dalla ATS competente e di iscrivere il riconoscimento nell’ apposito registro regionale delle unità di offerta sociosanitarie accreditate;1
26; −− d.g.r. 10 aprile 2015, n. 3383, « Attuazione delle dd.g.r. n. 1185/2013 e 2989/2014: prima applicazione di profili e requisiti sperimentali della unità di offerta sociosanitaria cure intermedie »;0
27; −− d.g.r. 16 dicembre 2004, n. 19883, « Riordino della rete delle attività di riabilitazione »;0
28; −− d.g.r. 20 dicembre 2013, n. 1185, « Determinazioni in ordine alla gestione del servizio sociosanitario regionale per l’ esercizio 2014 »;0
29; −− d.g.r. 23 luglio 2004, n. 18334, « Definizione della nuova unità di offerta Centro Diurno per persone con disabilità ( CDD ): requisiti per l’ autorizzazione al funzionamento e per l’ accreditamento »;0
30; −− IISG s.r.l. di Cabiate ( CO ), con n. di iscrizione 030013303009;0
31; −− IISG s.r.l. di Cabiate ( CO ), con n. di iscrizione 030013303009, pervenuto in data 29 marzo 2018, prot. n. G1.2018.0011732;0
32; −− il d.p.c.m. 12 gennaio 2017 « Livelli essenziali di assistenza »;0
33; −− il d.p.r. 14 gennaio 1997, « Approvazione dell’ atto di indirizzo e coordinamento alle Regioni ed alle Province autonome di Trento e Bolzano in materia di requisiti strutturali, tecnologici ed organizzativi minimi per l’ esercizio delle attività sanitarie da parte delle strutture pubbliche e private »;0
34; −− il Regolamento ( UE ) 2017/625 del 15 marzo 2017 relativo ai controlli ufficiali e alle altre attività ufficiali effettuati per garantire l’ applicazione della legislazione sugli alimenti e sui mangimi, delle norme sulla salute e sul benessere degli animali, sulla sanità delle piante nonché sui prodotti fitosanitari ( … );0
35;in questa prospettiva occorre rendere riconoscibili i prodotti agroalimentari e fornire informazioni ed assicurazioni circa la loro qualità effettiva con particolare riguardo sia alle norme cogenti in materia di sicurezza alimentare che alle comuni prassi operative;1
36;la circolare n. 2 del 4 febbraio 2019 recante « Linee guida per la predisposizione, da parte di ciascuna ATS, del piano integrato aziendale della prevenzione veterinaria ( PIAPV 2019 ) », che prevede l’ attuazione degli obiettivi 36, 38, 39, 50, 51, 54 e 56 correlati con la prevenzione del rischio chimico negli alimenti;1
37; −− la d.c.r. 17 novembre 2010, n. 88, « Piano Socio Sanitario Regionale 2010 – 2014 »;0
38; −− la l.r. 30 dicembre 2009, n. 33, « Testo unico delle leggi regionali in materia di sanità » come modificata con l.r. 11 agosto 2015, n. 23, « Evoluzione del sistema sociosanitario lombardo: modifiche al Titolo I e al Titolo II della legge regionale 30 dicembre 2009 n. 33 ( Testo unico delle leggi regionali in materia di sanità ) »;0
39; −− la l.r. n. 33/2009 e s.m.i. « Testo Unico delle leggi regionali in materia di sanità »;0
40; −− la legge regionale 7 Luglio 2008, n. 20 e s.m.i., nonché i provvedimenti organizzativi della XI legislatura;0
41; −− LABORATORIO ANALISI AMBIENTALI s.r.l. Unipersonale di Angera ( VA ), con n. di iscrizione 030012314001;0
42;LABORATORIO ANALISI AMBIENTALI s.r.l. Unipersonale di Angera ( VA ), con n. di iscrizione 030012314001, pervenuto in data 20 settembre 2018, prot. n. G1.2018.0029331;0
43; −− Laboratorio Synlab Ambiente s.r.l. di Merone ( CO ), con n. di iscrizione 030013303001;0
44;LAM s.r.l. – Laboratorio Analisi Microbiologiche di Sesto Calende ( VA ), con n. di iscrizione 030012314006, pervenuto in data 26 marzo 2018, prot. n. G1.2018.0011331;1
45; −− LAM srl – Laboratorio Analisi Microbiologiche di Sesto Calende ( VA ), con n. di iscrizione 030012314006;0
46; −− MADE HSE s.r.l. di Gazoldo degli Ippoliti ( MN ), con n. di iscrizione 030020307009;0
47;MADE HSE s.r.l. di Gazoldo degli Ippoliti ( MN ), con n. di iscrizione 030020307009, pervenuto in data 26 marzo 2018, prot. n. G1.2018.0011221;1
48;monitorare i risultati delle misure di prevenzione dell’ antimicrobicoresistenza attraverso lo scambio di informazioni tra le Autorità sanitarie e i portatori di interesse;1
49;promuovere la cogestione delle misure sanitarie volte a prevenire i fenomeni di antimicrobicoresistenza;1
50; −− puntare sulla qualità richiede l’ attivazione di una serie di processi complessi mirati alla esatta definizione degli attributi qualitativi del prodotto;0
51; −− SAVI laboratori & service srl di Roncoferraro ( MN ), con n. di iscrizione 030020307002;0
52;SAVI Laboratori & Service srl di Roncoferraro ( MN ), con n. di iscrizione 030020307002, pervenuto in data 20 marzo 2018, prot. n. G1.2018.0010458;1
53; −− STUDIO F2 s.r.l. di Castellucchio ( MN ), con n. di iscrizione O30020307013, pervenuto in data 24 settembre 2018, prot. n. G1.2018.0029627;1
54; −− STUDIO F2 srl di Castellucchio ( MN ), con n. di iscrizione 030020307013;0
55; −− TESTINGPOINT 3 s.r.l. di Cernusco sul Naviglio ( MI ), con n. di iscrizione 030015310002;0
56; −− TESTINGPOINT 3 s.r.l. di Cernusco sul Naviglio ( MI ), con n. di iscrizione 030015310002, pervenuto in data 26 settembre 2018, prot. n. G1.2018.0029835;1
57; 2. Di aggiornare contestualmente il suddetto Registro, nel quale risultano iscritti con le relative prove i laboratori di cui all’ allegato A;0
58; 2. di approvare l’ Allegato B parte integrante e sostanziale del presente atto che richiama le indicazioni puntuali cui saranno assoggettate, per un primo vaglio, le domande pervenute da parte dei Comuni interessati;0
59; 2. Di cancellare dal Registro della Regione Lombardia dei laboratori che effettuano analisi nell’ ambito delle procedure di autocontrollo delle industrie alimentari il laborario THUSIALAB SRL di Somma Lombardo ( VA );0
60; 2. di stabilire che il presente atto non comparta oneri a carico del bilancio regionale;0
61; 2.vdi fare obbligo all’ Ente Unico in oggetto di comunicare tempestivamente alla Regione e alla ATS competente, tutti quegli elementi che eventualmente in futuro possano incidere sul presente riconoscimento, ivi comprese la cessazione o la cessione dell’ attività e richiedere, ove necessario, una modifica del riconoscimento medesimo;0
62; 3. Ai sensi delle vigenti disposizioni, il numero attribuito e gli estremi del provvedimento di iscrizione dovranno essere riportati sui rapporti di prova riferiti ad analisi effettuate ai fini dell’ autocontrollo;0
63; 3. Di aggiornare la ragione sociale e l’ elenco delle prove relative al laboratorio BETALAB di LOSSI ANNA MARIA & C SRL di Villa Carcina ( BS ), con n. di iscrizione 030017302010, nella scheda relativa, parte integrante del presente atto ( Allegato B );0
64; 3. di approvare l’ Avviso pubblico per manifestazione d’ interesse, Allegato C parte integrante e sostanziale del presente atto;0
65; 3. di attestare che il presente atto non è soggetto agli obblighi di pubblicazione di cui agli artt. 26 e 27 del d.lgs. 33/2013;0
66; 3. Di attestare che il presente atto non è soggetto agli obblighi di pubblicazione di cui agli artt. 26 e 27 del d.lgs. 33/2013. Di pubblicare il presente atto sul B.U.R.L e sul portale di Regione Lombardia ( www.regione.lombardia.it ). Il direttore generale Luigi Cajazzo — — — • — — — Bollettino Ufficiale – 33 – Serie Ordinaria n. 48 - Giovedì 28 novembre 2019 D.G. Welfare D.d.u.o. 12 novembre 2019 - n. 16256 Recepimento delle Determinazioni della commissione istituita per l’ istruttoria delle domande presentate da università e irccs ai fini dell’ iscrizione all’ albo regionale di cui al decreto dirigenziale n. 10403 del 30 agosto 2017 IL DIRIGENTE DELLA U.O. OSSERVATORIO EPIDEMIOLOGICO REGIONALE Richiamate provazione del documento ‘ Disciplina delle collaborazioni di enti esterni con Regione Lombardia nell’ ambito delle attività di programmazione, gestione, controllo e valutazione dell’ assistenza sanitaria, previste dall’ art. 85, comma 1, lettera b ) del d.lgs.196/2003 e del conseguente accesso ai dati del datawarehouse regionale ’ - Modifiche ed integrazioni alla d.g.r. n. 2017 del 1 luglio 2014 »;0
67; 3. di pubblicare il presente atto sul Bollettino Ufficiale della Regione Lombardia e di inviarne una copia alla ATS competente;0
68;" 3. di pubblicare il presente atto sul Bollettino Ufficiale della Regione Lombardia e di inviarne una copia alle ATS interessate.""";0
69; 3. di pubblicare il presente atto sul BURL e sul Portale di Regione Lombardia;0
70; 4. Di aggiornare l’ elenco delle prove relative ai laboratori −− SALUMIFICIO FRATELLI BERETTA s.p.a. di Medolago ( BG ), con n. di iscrizione 030016301012;0
71; 4. di attestare che il presente atto non è soggetto agli obblighi di pubblicazione di cui agli artt. 26 e 27 del d.lgs. 33/2013. Il dirigente Aida Andreassi Bollettino Ufficiale – 97 – Serie Ordinaria n. 31 - Lunedì 29 luglio 2019 D ) ATTI DIRIGENZIALI Giunta regionale D.G. Welfare D.d.u.o. 22 luglio 2019 - n. 10815 Protocollo operativo per l’ attuazione delle misure di contrasto all ’ antimicrobicoresistenza, ai sensi della d.g.r. n. 996/2018 IL DIRIGENTE DELLA U.O. VETERINARIA Visti: −− il Regolamento ( CE ) n. 882/2004 del 29 aprile 2004 relativo ai controlli ufficiali intesi a verificare la conformità alla normativa in materia di mangimi e di alimenti e alle norme sulla salute e sul benessere degli animali;0
72; 4. di attestare che il presente atto non è soggetto agli obblighi di pubblicazione di cui agli artt. 26 e 27 del d.lgs. 33/2013. Il dirigente Luca Giuseppe Merlino — — — • — — — – 194 – Bollettino Ufficiale Serie Ordinaria n. 50 - Venerdì 11 dicembre 2020 D.G. Welfare D.d.u.o. 1 dicembre 2020 - n. 15010 Ente « Residenza Angelo Maj Fondazione Onlus », con sede legale in Darfo Boario Terme ( BS ), via Galileo Galilei n. 16: riconoscimento di ente unico di una pluralità di unità di offerta sociosanitarie accreditate IL DIRIGENTE DELLA U. O. POLO OSPEDALIERO Visti: • il d.lgs. 30 dicembre 1992, n. 502 e successive modificazioni e integrazioni;0
73; 4. Di notificare il presente atto a tutti i soggetti interessati;0
74; 4. di pubblicare il presente atto sul Bollettino Ufficiale di Regione Lombardia. Il direttore generale Marco Trivelli — — — • — — — Bollettino Ufficiale – 3 – Serie Ordinaria n. 16 - Mercoledì 18 aprile 2018 D ) ATTI DIRIGENZIALI Giunta regionale D.G. Welfare D.d.u.o. 12 aprile 2018 - n. 5205 Aggiornamento del registro della Regione Lombardia dei laboratori che effettuano analisi nell’ ambito delle procedure di autocontrollo delle industrie alimentari IL DIRIGENTE DELLA UNITÀ ORGANIZZATIVA PREVENZIONE Richiamate • la deliberazione della Giunta regionale n. IX/266 del 14 luglio 2010, con la quale la Regione Lombardia ha provveduto alla istituzione, ai sensi della legge 88/2009, del registro dei laboratori che effettuano analisi nell’ ambito delle procedure di autocontrollo delle industrie alimentari, fissando altresì le modalità operative per l’ iscrizione, l’ aggiornamento e la cancellazione;0
75; 4. di pubblicare il presente atto sul BURL e sul portale istituzionale della Regione Lombardia. Il dirigente Piero Frazzi — — — • — — — Bollettino Ufficiale – 87 – Serie Ordinaria n. 45 - Mercoledì 04 novembre 2020 D.G. Welfare D.d.g. 30 ottobre 2020 - n. 13065 Aggiornamento del monitoraggio del trend della scelta crematoria ai sensi della d.g.r. 30 giugno 2020 n. XI/3322 IL DIRETTORE GENERALE DELLA DG WELFARE Vista la delibera Giunta regionale 30 giugno 2020 n. XI/3322 « La cremazione in Lombardia. Aggiornamento delle indicazioni per l’ evoluzione della rete degli impianti elaborate in esito all’ analisi dei dati raccolti in conformità alla d.g.r. X/3770 del 3 luglio 2015 e individuazione delle caratteristiche costruttive ed emissive degli impianti - ( di concerto con l’ assessore Cattaneo ) » Preso atto che al: • punto 3 della d.g.r. n. XI/3322/2020 si conferma in capo alla D.G. Welfare il compito di monitorare la materia, analizzando il trend della scelta crematoria;0
76; 5. Di aggiornare contestualmente il suddetto Registro, nel quale risultano iscritti con le relative prove i laboratori di cui all’ allegato A;0
77; 5. Di pubblicare sul Bollettino Ufficiale di Regione Lombardia ( BURL ) e sul portale di Regione Lombardia all’ indirizzo www.regione.lombardia.it il presente provvedimento, completo dei propri allegati. Il dirigente Maria Gramegna — — — • — — — – 12 – Serie Ordinaria n. 16 - Mercoledì 17 aprile 2019 Comunicato regionale 10 aprile 2019 - n. 49 Direzione generale welfarE - U.O. veterinaria e u.o. prevenzione – Tariffe fatturate dalle agenzie di tutela della salute della Regione Lombardia nell’ esercizio finanziario 2018, ai sensi dell’ articolo 8 del d.lgs. n. 194/2008 « Disciplina delle modalità di rifinanziamento dei controlli sanitari ufficiali in attuazione del reg. ( CE ) n. 882/2004 ». In ottemperanza alle disposizioni di cui al Capo VI del reg. ( CE ) n. 882/2004 del Parlamento Europeo e del Consiglio del 29 aprile 2004 « relativo ai controlli ufficiali intesi a verificare la conformità alla normativa in materia di mangimi e di alimenti e alle norme sulla salute e sul benessere degli animali » e in conformità agli adempimenti previsti dal combinato disposto di cui all ’ art. 8 del d.lgs. n. 194/2008 e al d.m. 24 gennaio 2011 « Modalità tecniche per il versamento delle tariffe e la rendicontazione delle somme riscosse ai sensi del decreto legislativo 19 novembre2008, n.194 », si pubblicano i dati relativi alle tariffe fatturate dalle Agenzie di Tutela della Salute della Regione Lombardia nel corso dell’ esercizio finanziario 2018. Il presente comunicato riporta: • Nell’ Allegato A la rendicontazione delle tariffe riscosse dai DVSAOA ( Dipartimenti Veterinari e Sicurezza degli Alimenti di Origine Animale ) nell’ esercizio del controllo ufficiale attuato ai sensi del reg. ( CE ) n. 882/2004 • Nell’ Allegato B la rendicontazione delle tariffe riscosse dai DIPS ( Dipartimenti di Igiene e Prevenzione Sanitaria ) nell’ esercizio del controllo ufficiale attuato ai sensi del reg. ( CE ) n. 882/2004 Il dirigente della u.o. veterinaria Piero Frazzi Il dirigente della u.o. prevenzione Maria Gramegna Bollettino Ufficiale Bollettino Ufficiale – 11 – Serie Ordinaria n. 43 - Martedì 23 ottobre 2018 D.G. Welfare D.d.u.o. 17 ottobre 2018 - n. 14911 Aggiornamento del registro della Regione Lombardia dei laboratori che effettuano analisi nell’ ambito delle procedure di autocontrollo delle industrie alimentari IL DIRIGENTE DELLA UNITA ’ ORGANIZZATIVA PREVENZIONE Richiamate • la deliberazione della Giunta regionale n. IX/266 del 14 luglio 2010, con la quale la Regione Lombardia ha provveduto alla istituzione, ai sensi della Legge 88/2009, del registro dei laboratori che effettuano analisi nell’ ambito delle procedure di autocontrollo delle industrie alimentari, fissando altresì le modalità operative per l’ iscrizione, l’ aggiornamento e la cancellazione;1
78; 6. Ai sensi delle vigenti disposizioni, il numero attribuito e gli estremi del provvedimento di iscrizione dovranno essere riportati sui rapporti di prova riferiti ad analisi effettuate ai fini dell’ autocontrollo;0
79; 7. Di notificare il presente atto a tutti i soggetti interessati;0
80; 8. Di pubblicare sul Bollettino Ufficiale di Regione Lombardia ( BURL ) e sul portale di Regione Lombardia all’ indirizzo www.regione.lombardia.it il presente provvedimento, completo dei propri allegati. Il dirigente Maria Gramegna — — — • — — — Bollettino Ufficiale – 71 – Serie Ordinaria n. 6 - Venerdì 07 febbraio 2020 D.G. Welfare D.d.s. 31 gennaio 2020 - n. 1083 Ente « Fondazione Istituto Ospedaliero di Sospiro ONLUS », con sede legale in Sospiro ( CR ), via don Luigi Sturzo n. 5: modifica del riconoscimento di ente unico di una pluralità di unità di offerta sociosanitarie accreditate IL DIRIGENTE DELLA STRUTTURA ACCREDITAMENTO E NEGOZIAZIONE RETE TERRITORIALE Visti: −− il d.lgs. 30 dicembre 1992, n. 502 e successive modificazioni e integrazioni;0
81; Considerato che il documento « RELAZIONE », allegato A parte integrante al presente atto, rappresenta l’ esito del monitoraggio che la D.G. Welfare ha condotto al fine di stimare il fabbisogno di cremazioni al 2024 dal quale si evince che occorre assicurare in Lombardia nel 2024 un numero di cremazioni / anno compreso tra circa 10.000 ( previsione crescita lineare del trend ) e 18.000 ( previsione crescita esponenziale del trend ), corrispondenti in via teorica a 9 - 15 linee di cremazione;1
82; Considerato che il presente atto non è soggetto agli obblighi di pubblicazione di cui agli artt. 26 e 27 del d.lgs. 33/2013;0
83; Considerato che le suddette delibere dispongono, in particolare: tività di programmazione, gestione, controllo e valutazione dell’ assistenza sanitaria, disposte dall’ art. 85, comma 1, lettera b ) del d.lgs. 196/2003, di collaborare con determinati enti esterni: IRCCS pubblici e privati e Università pubbliche e private, in possesso di specifici requisiti;0
84; Considerato che: −− gli obiettivi di qualità sono una priorità del sistema agroalimentare, in quanto le aree suscettibili di recuperare margini di competitività sul fronte della produttività e dunque della compressione dei costi di produzione sono piuttosto limitate;0
85; Dato atto che il presente provvedimento conclude il relativo procedimento nei termini previsti dalla d.g.r. n. 2569/14, come modificata con d.g.r. n. 4702/2015, con scadenza in data 22 dicembre 2020;0
86; Dato atto che il presente provvedimento conclude il relativo procedimento nei termini previsti dalla d.g.r. n. 2569/14, come modificata con d.g.r. n. 4702/2015, con scadenza in data 26 febbraio 2020;0
87; Dato atto che il presente provvedimento conclude il relativo procedimento nei termini previsti dalla d.g.r. n. IX/4474 del 05 dicembre 2012, quindi entro 30 giorni dal ricevimento della documentazione;0
88; Dato atto che il presente provvedimento conclude il relativo procedimento nei termini previsti dalla d.g.r. n. IX/4474 del 5 dicembre 2012, quindi entro 30 giorni dal ricevimento della documentazione;0
89; Dato atto che l’ adozione del presente provvedimento rientra tra le competenze della Struttura Accreditamento e Negoziazione Polo Ospedaliero e Rete Territoriale, individuate dalla d.g.r. XI/294 del 28 giugno 2018;0
90; Dato atto che l’ adozione del presente provvedimento rientra tra le competenze della Struttura Accreditamento e Negoziazione Rete Territoriale, individuate dalla d.g.r. XI/294 del 28 giugno 2018;0
91; Dato atto che la Commissione, costituita a norma del sopra richiamato decreto n. 14352/2019, riunitasi in unica seduta il giorno 25 ottobre, ha valutato le candidature pervenute, verificando che gli enti istanti fossero in possesso dei requisiti richiesti dal combinato disposto delle d.g.r. n. 4893 del 7 marzo 2016 e n. 491 del 2 agosto 2018 Preso atto degli esiti istruttori della suddetta riunione, come da verbale agli atti della DG Welfare, dai quali emerge che delle n. 6 domande pervenute, n. 2 appartengono a enti già iscritti all’ albo vigente, approvato con decreto n. 10403/2017, mentre le restanti 4 nuove candidature risultano presentate da enti in possesso dei requisiti richiesti e sono pertanto accoglibili;0
92; Dato atto infine che l’ elenco completo delle prove accreditate dai laboratori inseriti nel Registro regionale è consultabile sul sito dell’ organismo di accreditamento Accredia;0
93; Dato atto quindi che nel registro regionale della Lombardia relativo ai laboratori che effettuano analisi nell’ ambito delle procedure di autocontrollo delle industrie alimentari sono iscritti, con le relative prove, i laboratori di cui all’ Allegato A, parte integrante del presente atto;0
94; DECRETA 1. Di aggiornare l’ elenco delle prove relative al laboratorio −− SAL – Società Acqua Lodigiana srl di Lodi, con n. di iscrizione 030098306002;0
95; DECRETA 1. di approvare l’ allegato documento recante « Protocollo operativo per l’ attuazione della strategia regionale di contrasto all’ antimicrobicoresistenza ( AMR ) », parte integrante e sostanziale del presente atto;0
96; DECRETA 1. di prendere atto della « RELAZIONE », Allegato A parte integrante e sostanziale del presente atto, con cui vengono definiti il fabbisogno di cremazione e la conseguente evoluzione della rete degli impianti di cremazione in Lombardia;1
97; DECRETA 1. di procedere alla modifica del riconoscimento di Ente Unico, nell’ apposito registro regionale delle unità di offerta sociosanitarie accreditate, per l’ ente « Fondazione Istituto Ospedaliero di Sospiro Onlus », C.F. 80004030195, con sede legale in Sospiro ( Cr ), piazza Libertà n. 2, che ricomprende le seguenti unità di offerta: −− RSD A, CUDES 001889, con sede in Sospiro ( Cr ), piazza Libertà n. 2, −− RSD B, CUDES 001933, con sede in Sospiro ( Cr ), piazza Libertà n. 2, −− RSD Leonardo Arvedi, CUDES 009022, con sede in Brescia, via Mantova n. 89/91, −− RSD Marie Curie, CUDES 009023, con sede in Bedizzole ( Bs ), via Sonvigo n.22, −− RSA A, CUDES 001888, con sede in Sospiro ( Cr ), piazza Libertà n. 2, −− CDI Alzheimer, CUDES 001854, con sede in Sospiro ( Cr ), piazza Libertà n. 2, −− Cure Intermedie, CUDES 030289, con sede in Sospiro ( Cr ), piazza Libertà n. 2, −− Riabilitazione, CUDES 030289, che comprende: • Ciclo Diurno Continuo, con sede in Spinadesco ( Cr ), via Roma n. 36, • Prestazioni Ambulatoriali Età Evolutiva, con sede in Spinadesco ( Cr ), via Roma n. 36, • Ciclo Diurno Continuo, con sede in Sospiro ( Cr ), piazza Libertà n. 2, • Prestazioni Ambulatoriali, con sede in Sospiro ( Cr ), piazza Libertà n. 2;0
98; DECRETA 1. di recepire le determinazioni della Commissione di cui al decreto dirigenziale n. 14352 del 8 ottobre 2019 accogliendo le candidature presentate dai seguenti IRCCS e Università: IRCCS ISTITUTO AUXOLOGICO ITALIANO UNIVERSITÀ DELL’ INSUBRIA DI VARESE FONDAZIONE IRCSS ISTITUTO NAZIONALE DEI TUMORI UNIVERSITÀ VITA E SALUTE SAN RAFFAELE 2. di aggiornare il vigente Albo Regionale inserendovi le Università e gli IRCCS di cui al punto 1 come da allegato A parte integrante del presente provvedimento;0
99; DECRETA 1. Di reintegrare le prove −− AFNOR 03/06 - 12/07 per la ricerca di Salmonella spp. in alimenti;1
100; DECRETA 1. di riconoscere, con decorrenza dalla data di approvazione del presente provvedimento, l’ ente « Residenza Angelo Maj Fondazione Onlus », con sede legale in Darfo Boario Terme ( BS ), via Galileo Galilei n. 16, C.F.: 81001070176, Ente Unico gestore delle seguenti unità di offerta sociosanitarie: • RSA « Residenza Angelo Maj Fondazione Onlus », CUDES 000943, con sede operativa in Darfo Boario Terme ( BS ), via Galileo Galilei n. 16, • RSA « Lucia Lorenzetti », CUDES 000941, con sede operativa in Artogne ( Bs ), via Tenente Franzoni n. 11, • CDI « Residenza Angelo Maj Fondazione Onlus », CUDES 000945, con sede operativa in Darfo Boario Terme ( BS ), via Galileo Galilei n. 16, • ADI « Angelo Maj », CUDES 004581, con sede operativa in Darfo Boario Terme ( BS ), via Galileo Galilei n. 16;0
101; Evidenziato che il documento sopra citato si prefigge lo scopo di attuare le azioni previste dalla d.g.r. n. 996/2018 al fine di perseguire i seguenti obiettivi: −− armonizzare i comportamenti all’ interno della filiera del farmaco veterinario per assicurare un uso prudente dei farmaci antimicrobici, a complemento e integrazione delle forme, più o meno dirette, di assicurazione della qualità ( autocontrollo ) dei prodotti alimentari;0
102; laborare a titolo gratuito con Regione Lombardia per le finalità di cui sopra, devono presentare alla DG Welfare una formale domanda di accreditamento e iscrizione ad un apposito albo regionale di durata quinquennale;0
